Date,Team 1,FT,Team 2
Sat Aug 26 1933,Stockport County,3-0,Accrington Stanley
Sat Aug 26 1933,York City,2-2,Walsall
Sat Aug 26 1933,Barnsley,3-0,Wrexham
Sat Aug 26 1933,Doncaster Rovers,1-0,New Brighton
Sat Aug 26 1933,Mansfield Town,1-1,Hartlepool United
Sat Aug 26 1933,Chesterfield,6-2,Gateshead
Sat Aug 26 1933,Tranmere Rovers,5-0,Southport
Sat Aug 26 1933,Barrow,0-3,Crewe Alexandra
Sat Aug 26 1933,Carlisle United,1-0,Halifax Town
Sat Aug 26 1933,Rochdale,1-0,Darlington
Sat Aug 26 1933,Chester,5-1,Rotherham United
Mon Aug 28 1933,Mansfield Town,0-0,Tranmere Rovers
Mon Aug 28 1933,Rotherham United,0-2,Barnsley
Mon Aug 28 1933,Stockport County,4-3,Doncaster Rovers
Tue Aug 29 1933,Southport,1-1,Accrington Stanley
Wed Aug 30 1933,Crewe Alexandra,5-3,York City
Wed Aug 30 1933,Gateshead,2-2,Darlington
Wed Aug 30 1933,Hartlepool United,2-1,Rochdale
Wed Aug 30 1933,New Brighton,2-0,Walsall
Wed Aug 30 1933,Wrexham,2-3,Chesterfield
Wed Aug 30 1933,Halifax Town,1-0,Chester
Thu Aug 31 1933,Carlisle United,0-0,Barrow
Sat Sep 2 1933,Hartlepool United,2-0,York City
Sat Sep 2 1933,Rotherham United,0-0,Doncaster Rovers
Sat Sep 2 1933,New Brighton,2-2,Barrow
Sat Sep 2 1933,Gateshead,2-1,Rochdale
Sat Sep 2 1933,Wrexham,5-0,Mansfield Town
Sat Sep 2 1933,Darlington,1-3,Tranmere Rovers
Sat Sep 2 1933,Accrington Stanley,1-0,Chesterfield
Sat Sep 2 1933,Halifax Town,4-2,Stockport County
Sat Sep 2 1933,Crewe Alexandra,4-0,Carlisle United
Sat Sep 2 1933,Walsall,5-0,Chester
Sat Sep 2 1933,Southport,2-2,Barnsley
Mon Sep 4 1933,Doncaster Rovers,0-2,Stockport County
Mon Sep 4 1933,Walsall,2-1,New Brighton
Mon Sep 4 1933,Barrow,2-0,Carlisle United
Mon Sep 4 1933,Tranmere Rovers,3-2,Mansfield Town
Tue Sep 5 1933,Rochdale,3-0,Hartlepool United
Wed Sep 6 1933,York City,4-1,Crewe Alexandra
Wed Sep 6 1933,Chesterfield,4-0,Wrexham
Wed Sep 6 1933,Chester,1-2,Halifax Town
Wed Sep 6 1933,Darlington,3-3,Gateshead
Sat Sep 9 1933,Mansfield Town,2-2,Southport
Sat Sep 9 1933,Chester,1-1,York City
Sat Sep 9 1933,Hartlepool United,4-1,Wrexham
Sat Sep 9 1933,Rochdale,0-1,Accrington Stanley
Sat Sep 9 1933,Tranmere Rovers,2-1,Gateshead
Sat Sep 9 1933,Doncaster Rovers,4-0,Walsall
Sat Sep 9 1933,Barnsley,4-0,Darlington
Sat Sep 9 1933,Barrow,4-1,Rotherham United
Sat Sep 9 1933,Chesterfield,4-2,Halifax Town
Sat Sep 9 1933,Stockport County,1-1,Crewe Alexandra
Sat Sep 9 1933,Carlisle United,1-2,New Brighton
Mon Sep 11 1933,Accrington Stanley,5-2,Gateshead
Sat Sep 16 1933,Rotherham United,0-1,Carlisle United
Sat Sep 16 1933,Accrington Stanley,2-2,Tranmere Rovers
Sat Sep 16 1933,Chesterfield,3-0,Rochdale
Sat Sep 16 1933,Southport,0-2,Hartlepool United
Sat Sep 16 1933,New Brighton,2-1,Stockport County
Sat Sep 16 1933,Crewe Alexandra,1-1,Halifax Town
Sat Sep 16 1933,York City,1-2,Doncaster Rovers
Sat Sep 16 1933,Walsall,2-4,Barrow
Sat Sep 16 1933,Darlington,1-4,Mansfield Town
Sat Sep 16 1933,Gateshead,1-4,Barnsley
Sat Sep 16 1933,Wrexham,0-3,Chester
Sat Sep 23 1933,Barrow,2-2,York City
Sat Sep 23 1933,Barnsley,6-0,Accrington Stanley
Sat Sep 23 1933,Wrexham,2-1,Southport
Sat Sep 23 1933,Doncaster Rovers,3-1,Chester
Sat Sep 23 1933,Carlisle United,3-2,Walsall
Sat Sep 23 1933,Halifax Town,1-1,New Brighton
Sat Sep 23 1933,Stockport County,3-1,Rotherham United
Sat Sep 23 1933,Tranmere Rovers,0-1,Chesterfield
Sat Sep 23 1933,Rochdale,2-0,Crewe Alexandra
Sat Sep 23 1933,Hartlepool United,6-2,Darlington
Sat Sep 23 1933,Mansfield Town,1-1,Gateshead
Tue Sep 26 1933,Accrington Stanley,3-2,Southport
Sat Sep 30 1933,Accrington Stanley,1-1,Mansfield Town
Sat Sep 30 1933,Chesterfield,3-0,Barnsley
Sat Sep 30 1933,Walsall,2-0,Stockport County
Sat Sep 30 1933,Darlington,2-1,Wrexham
Sat Sep 30 1933,Gateshead,6-3,Hartlepool United
Sat Sep 30 1933,Rochdale,1-0,Tranmere Rovers
Sat Sep 30 1933,New Brighton,2-1,Crewe Alexandra
Sat Sep 30 1933,Rotherham United,1-2,Halifax Town
Sat Sep 30 1933,Southport,0-0,Doncaster Rovers
Sat Sep 30 1933,Chester,1-3,Barrow
Sat Sep 30 1933,York City,4-1,Carlisle United
Sat Oct 7 1933,Southport,3-2,Darlington
Sat Oct 7 1933,Crewe Alexandra,0-2,Rotherham United
Sat Oct 7 1933,Barnsley,4-1,Rochdale
Sat Oct 7 1933,Hartlepool United,3-0,Accrington Stanley
Sat Oct 7 1933,Stockport County,2-1,York City
Sat Oct 7 1933,Tranmere Rovers,1-0,New Brighton
Sat Oct 7 1933,Barrow,2-1,Doncaster Rovers
Sat Oct 7 1933,Wrexham,2-3,Gateshead
Sat Oct 7 1933,Mansfield Town,0-3,Chesterfield
