Date,Team 1,FT,Team 2
Sat Aug 23 1952,Tranmere Rovers,0-0,Oldham Athletic
Sat Aug 23 1952,Darlington,3-1,Southport
Sat Aug 23 1952,Gateshead,2-0,Carlisle United
Sat Aug 23 1952,Rochdale,0-1,Crewe Alexandra
Sat Aug 23 1952,Stockport County,4-1,Chester
Sat Aug 23 1952,Workington,2-0,Halifax Town
Sat Aug 23 1952,Bradford City,1-0,Port Vale
Sat Aug 23 1952,Chesterfield,4-1,Mansfield Town
Sat Aug 23 1952,York City,3-1,Bradford Park Avenue
Sat Aug 23 1952,Hartlepool United,4-1,Accrington Stanley
Sat Aug 23 1952,Grimsby Town,2-0,Wrexham
Sat Aug 23 1952,Barrow,2-1,Scunthorpe United
Mon Aug 25 1952,Port Vale,2-0,Tranmere Rovers
Mon Aug 25 1952,Halifax Town,3-2,Hartlepool United
Mon Aug 25 1952,Southport,2-0,Workington
Mon Aug 25 1952,Barrow,1-0,Stockport County
Mon Aug 25 1952,Mansfield Town,2-0,Gateshead
Mon Aug 25 1952,Bradford Park Avenue,2-1,Rochdale
Mon Aug 25 1952,Wrexham,2-1,Bradford City
Tue Aug 26 1952,Oldham Athletic,5-0,Darlington
Wed Aug 27 1952,Accrington Stanley,1-0,Carlisle United
Wed Aug 27 1952,Chesterfield,1-0,Crewe Alexandra
Wed Aug 27 1952,Chester,1-1,York City
Thu Aug 28 1952,Scunthorpe United,0-1,Grimsby Town
Sat Aug 30 1952,Bradford Park Avenue,0-3,Grimsby Town
Sat Aug 30 1952,Scunthorpe United,2-2,Stockport County
Sat Aug 30 1952,Oldham Athletic,2-1,York City
Sat Aug 30 1952,Carlisle United,4-1,Hartlepool United
Sat Aug 30 1952,Crewe Alexandra,0-1,Darlington
Sat Aug 30 1952,Port Vale,5-2,Rochdale
Sat Aug 30 1952,Mansfield Town,1-0,Tranmere Rovers
Sat Aug 30 1952,Wrexham,4-0,Barrow
Sat Aug 30 1952,Accrington Stanley,0-1,Workington
Sat Aug 30 1952,Southport,3-2,Gateshead
Sat Aug 30 1952,Halifax Town,3-1,Chesterfield
Sat Aug 30 1952,Chester,2-0,Bradford City
Mon Sep 1 1952,Stockport County,6-1,Barrow
Mon Sep 1 1952,York City,0-0,Chester
Mon Sep 1 1952,Gateshead,1-2,Mansfield Town
Mon Sep 1 1952,Crewe Alexandra,2-1,Chesterfield
Mon Sep 1 1952,Hartlepool United,0-0,Halifax Town
Tue Sep 2 1952,Rochdale,1-0,Bradford Park Avenue
Tue Sep 2 1952,Tranmere Rovers,1-1,Port Vale
