Date,Team 1,Team 2,FT,HT
2008-08-09,Aberdeen,Inverness C,0-2,0-1
2008-08-09,Falkirk,Rangers,0-1,0-0
2008-08-09,Hearts,Motherwell,3-2,2-1
2008-08-09,Kilmarnock,Hibernian,1-0,0-0
2008-08-10,Celtic,St Mirren,1-0,0-0
2008-08-11,Hamilton,Dundee United,3-1,2-1
2008-08-16,Hibernian,Falkirk,3-2,2-1
2008-08-16,Inverness C,Hamilton,0-1,0-1
2008-08-16,Motherwell,Aberdeen,0-1,0-0
2008-08-16,Rangers,Hearts,2-0,1-0
2008-08-16,St Mirren,Kilmarnock,0-0,0-0
2008-08-17,Dundee United,Celtic,1-1,0-0
2008-08-23,Aberdeen,Rangers,1-1,1-1
2008-08-23,Celtic,Falkirk,3-0,2-0
2008-08-23,Hearts,St Mirren,2-1,1-0
2008-08-23,Inverness C,Hibernian,1-1,1-0
2008-08-23,Kilmarnock,Hamilton,1-0,1-0
2008-08-23,Motherwell,Dundee United,1-1,1-1
2008-08-30,Dundee United,Kilmarnock,0-2,0-1
2008-08-30,Falkirk,Inverness C,1-2,0-0
2008-08-30,Hamilton,Hearts,1-2,0-1
2008-08-30,Hibernian,Motherwell,0-1,0-0
2008-08-30,St Mirren,Aberdeen,0-1,0-1
2008-08-31,Celtic,Rangers,2-4,1-1
2008-09-13,Aberdeen,Hamilton,1-2,1-1
2008-09-13,Falkirk,Hearts,2-1,1-0
2008-09-13,Hibernian,Dundee United,2-1,1-1
2008-09-13,Inverness C,St Mirren,1-2,1-0
2008-09-13,Motherwell,Celtic,2-4,0-4
2008-09-13,Rangers,Kilmarnock,2-1,0-1
2008-09-20,Aberdeen,Dundee United,0-1,0-0
2008-09-20,Hamilton,Hibernian,0-1,0-1
2008-09-20,Hearts,Inverness C,1-0,1-0
2008-09-20,St Mirren,Falkirk,1-1,0-0
2008-09-21,Kilmarnock,Celtic,1-3,0-1
2008-09-21,Rangers,Motherwell,2-1,0-0
2008-09-27,Celtic,Aberdeen,3-2,1-0
2008-09-27,Dundee United,Hearts,3-0,1-0
2008-09-27,Falkirk,Hamilton,4-1,1-0
2008-09-27,Inverness C,Kilmarnock,3-1,2-1
2008-09-27,Motherwell,St Mirren,2-1,0-1
2008-09-28,Hibernian,Rangers,0-3,0-2
2008-10-04,Aberdeen,Hibernian,1-2,1-1
2008-10-04,Celtic,Hamilton,4-0,2-0
2008-10-04,Dundee United,Inverness C,2-1,1-0
2008-10-04,Hearts,Kilmarnock,1-2,1-1
2008-10-05,Motherwell,Falkirk,3-2,2-1
2008-10-05,St Mirren,Rangers,1-0,0-0
2008-10-18,Falkirk,Aberdeen,0-1,0-0
2008-10-18,Hamilton,St Mirren,1-2,1-2
2008-10-18,Inverness C,Celtic,1-2,0-0
2008-10-18,Kilmarnock,Motherwell,1-0,0-0
2008-10-19,Hibernian,Hearts,1-1,1-1
2008-10-25,Celtic,Hibernian,4-2,2-1
2008-10-25,Dundee United,St Mirren,2-0,0-0
2008-10-25,Hamilton,Rangers,1-3,1-1
2008-10-25,Hearts,Aberdeen,1-1,1-1
2008-10-25,Inverness C,Motherwell,1-2,0-0
2008-10-25,Kilmarnock,Falkirk,1-2,0-1
2008-11-01,Aberdeen,Kilmarnock,1-0,0-0
2008-11-01,Falkirk,Dundee United,0-0,0-0
2008-11-01,Motherwell,Hamilton,2-0,1-0
2008-11-01,Rangers,Inverness C,5-0,5-0
2008-11-01,St Mirren,Hibernian,0-0,0-0
2008-11-02,Hearts,Celtic,0-2,0-2
2008-11-04,Rangers,Dundee United,3-3,2-2
2008-11-08,Celtic,Motherwell,2-0,1-0
2008-11-08,Dundee United,Aberdeen,2-1,2-0
2008-11-08,Hamilton,Falkirk,1-1,1-0
2008-11-08,Hibernian,Inverness C,1-2,0-1
2008-11-08,St Mirren,Hearts,0-1,0-0
2008-11-09,Kilmarnock,Rangers,0-4,0-0
2008-11-11,Aberdeen,St Mirren,2-0,0-0
2008-11-12,Celtic,Kilmarnock,3-0,1-0
2008-11-12,Dundee United,Hibernian,2-0,0-0
2008-11-12,Hearts,Hamilton,1-0,1-0
2008-11-12,Inverness C,Falkirk,1-1,0-1
2008-11-12,Motherwell,Rangers,0-0,0-0
2008-11-15,Falkirk,Motherwell,1-0,1-0
2008-11-15,Hibernian,Aberdeen,2-2,0-1
2008-11-15,Inverness C,Hearts,0-1,0-1
2008-11-15,Kilmarnock,Dundee United,2-0,1-0
2008-11-15,Rangers,St Mirren,2-1,2-0
2008-11-16,Hamilton,Celtic,1-2,1-1
2008-11-22,Dundee United,Hamilton,1-1,0-1
2008-11-22,Hearts,Falkirk,2-1,1-1
2008-11-22,Kilmarnock,Inverness C,1-2,0-2
2008-11-22,Motherwell,Hibernian,1-4,1-1
2008-11-22,Rangers,Aberdeen,2-0,0-0
2008-11-22,St Mirren,Celtic,1-3,0-0
2008-11-29,Aberdeen,Motherwell,2-0,0-0
2008-11-29,Celtic,Inverness C,1-0,1-0
2008-11-29,Falkirk,Hibernian,1-1,0-0
2008-11-29,Hamilton,Kilmarnock,1-0,0-0
2008-11-29,Hearts,Rangers,2-1,2-1
2008-11-29,St Mirren,Dundee United,0-2,0-1
2008-12-06,Falkirk,St Mirren,1-2,0-1
2008-12-06,Inverness C,Dundee United,1-3,0-0
2008-12-06,Rangers,Hamilton,7-1,2-1
2008-12-07,Hibernian,Celtic,2-0,0-0
2008-12-13,Aberdeen,Falkirk,2-1,2-0
2008-12-13,Celtic,Hearts,1-1,0-1
2008-12-13,Dundee United,Rangers,2-2,0-1
2008-12-13,Hibernian,Hamilton,2-0,1-0
2008-12-13,St Mirren,Inverness C,2-0,1-0
2008-12-15,Motherwell,Kilmarnock,0-2,0-1
2008-12-20,Hamilton,Motherwell,2-0,1-0
2008-12-20,Hearts,Dundee United,0-0,0-0
2008-12-20,Inverness C,Aberdeen,0-3,0-1
2008-12-20,Kilmarnock,St Mirren,0-1,0-1
2008-12-20,Rangers,Hibernian,1-0,0-0
2008-12-21,Falkirk,Celtic,0-3,0-0
2008-12-27,Aberdeen,Hearts,1-0,1-0
2008-12-27,Dundee United,Falkirk,1-0,1-0
2008-12-27,Hibernian,Kilmarnock,2-4,2-2
2008-12-27,Motherwell,Inverness C,3-2,2-1
2008-12-27,Rangers,Celtic,0-1,0-0
2008-12-27,St Mirren,Hamilton,1-0,0-0
2009-01-03,Celtic,Dundee United,2-2,1-0
2009-01-03,Falkirk,Kilmarnock,1-1,1-0
2009-01-03,Hamilton,Aberdeen,2-0,0-0
2009-01-03,Hearts,Hibernian,0-0,0-0
2009-01-03,St Mirren,Motherwell,0-0,0-0
2009-01-04,Inverness C,Rangers,0-3,0-0
2009-01-07,Motherwell,Hearts,1-0,1-0
2009-01-13,Kilmarnock,Aberdeen,1-2,1-1
2009-01-17,Hamilton,Inverness C,1-0,1-0
2009-01-17,Hibernian,St Mirren,2-0,1-0
2009-01-17,Kilmarnock,Hearts,0-2,0-0
2009-01-17,Rangers,Falkirk,3-1,1-1
2009-01-18,Aberdeen,Celtic,4-2,2-1
2009-01-18,Dundee United,Motherwell,0-4,0-3
2009-01-24,Aberdeen,Rangers,0-0,0-0
2009-01-24,Celtic,Hibernian,3-1,2-1
2009-01-24,Dundee United,St Mirren,3-2,0-1
