Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 2 Aug 2008 (30),Albion Rovers (1),1-3,1-1,Forfar Athletic (1)
?,(Sat) 2 Aug 2008 (30),Berwick Rangers (1),2-1,2-1,East Stirlingshire FC (1)
?,(Sat) 2 Aug 2008 (30),Cowdenbeath (1),1-4,1-1,Annan Athletic (1)
?,(Sat) 2 Aug 2008 (30),Dumbarton (1),1-1,0-1,Montrose (1)
?,(Sat) 2 Aug 2008 (30),Stenhousemuir (1),3-0,1-0,Elgin City (1)
?,(Sat) 9 Aug 2008 (31),Annan Athletic (2),1-1,1-1,Stenhousemuir (2)
?,(Sat) 9 Aug 2008 (31),East Stirlingshire FC (2),1-0,1-0,Albion Rovers (2)
?,(Sat) 9 Aug 2008 (31),Elgin City (2),1-1,1-0,Dumbarton (2)
?,(Sat) 9 Aug 2008 (31),Forfar Athletic (2),0-1,0-0,Cowdenbeath (2)
?,(Sat) 9 Aug 2008 (31),Montrose (2),1-1,1-0,Berwick Rangers (2)
?,(Sat) 16 Aug 2008 (32),Annan Athletic (3),2-1,0-1,East Stirlingshire FC (3)
?,(Sat) 16 Aug 2008 (32),Berwick Rangers (3),1-2,1-0,Dumbarton (3)
?,(Sat) 16 Aug 2008 (32),Cowdenbeath (3),2-1,1-0,Albion Rovers (3)
?,(Sat) 16 Aug 2008 (32),Forfar Athletic (3),0-1,0-0,Elgin City (3)
?,(Sat) 16 Aug 2008 (32),Stenhousemuir (3),2-2,0-2,Montrose (3)
?,(Sat) 23 Aug 2008 (33),Albion Rovers (4),2-0,1-0,Berwick Rangers (4)
?,(Sat) 23 Aug 2008 (33),Dumbarton (4),1-2,0-1,Stenhousemuir (4)
?,(Sat) 23 Aug 2008 (33),East Stirlingshire FC (4),0-3,0-1,Forfar Athletic (4)
?,(Sat) 23 Aug 2008 (33),Elgin City (4),0-2,0-0,Cowdenbeath (4)
?,(Sat) 23 Aug 2008 (33),Montrose (4),1-1,1-0,Annan Athletic (4)
?,(Sat) 30 Aug 2008 (34),Annan Athletic (5),2-4,1-2,Albion Rovers (5)
?,(Sat) 30 Aug 2008 (34),Berwick Rangers (5),2-2,1-1,Forfar Athletic (5)
?,(Sat) 30 Aug 2008 (34),Dumbarton (5),1-1,1-0,East Stirlingshire FC (5)
?,(Sat) 30 Aug 2008 (34),Montrose (5),1-0,0-0,Elgin City (5)
?,(Sat) 30 Aug 2008 (34),Stenhousemuir (5),1-0,0-0,Cowdenbeath (5)
?,(Sat) 13 Sep 2008 (36),Albion Rovers (6),1-3,0-2,Dumbarton (6)
?,(Sat) 13 Sep 2008 (36),Cowdenbeath (6),2-1,2-0,Berwick Rangers (6)
?,(Sat) 13 Sep 2008 (36),East Stirlingshire FC (6),0-2,0-1,Stenhousemuir (6)
?,(Sat) 13 Sep 2008 (36),Elgin City (6),1-2,0-1,Annan Athletic (6)
?,(Sat) 13 Sep 2008 (36),Forfar Athletic (6),0-1,0-0,Montrose (6)
?,(Sat) 20 Sep 2008 (37),Annan Athletic (7),1-3,1-1,Forfar Athletic (7)
?,(Sat) 20 Sep 2008 (37),Dumbarton (7),2-1,1-0,Cowdenbeath (7)
?,(Sat) 20 Sep 2008 (37),Elgin City (7),1-6,0-2,Albion Rovers (7)
?,(Sat) 20 Sep 2008 (37),Montrose (7),3-0,1-0,East Stirlingshire FC (7)
?,(Sat) 20 Sep 2008 (37),Stenhousemuir (7),2-0,1-0,Berwick Rangers (7)
?,(Sat) 27 Sep 2008 (38),Albion Rovers (8),1-2,0-1,Stenhousemuir (8)
?,(Sat) 27 Sep 2008 (38),Berwick Rangers (8),3-0,1-0,Annan Athletic (8)
?,(Sat) 27 Sep 2008 (38),Cowdenbeath (8),2-1,1-1,Montrose (8)
?,(Sat) 27 Sep 2008 (38),East Stirlingshire FC (8),5-2,3-1,Elgin City (8)
?,(Sat) 27 Sep 2008 (38),Forfar Athletic (8),2-2,0-1,Dumbarton (8)
?,(Sat) 4 Oct 2008 (39),Albion Rovers (9),0-1,0-0,Montrose (9)
?,(Sat) 4 Oct 2008 (39),Berwick Rangers (9),1-1,1-0,Elgin City (9)
?,(Sat) 4 Oct 2008 (39),Cowdenbeath (9),0-0,0-0,East Stirlingshire FC (9)
?,(Sat) 4 Oct 2008 (39),Dumbarton (9),4-1,4-0,Annan Athletic (9)
?,(Sat) 4 Oct 2008 (39),Stenhousemuir (9),1-1,0-0,Forfar Athletic (9)
?,(Sat) 18 Oct 2008 (41),Annan Athletic (10),0-1,0-1,Cowdenbeath (10)
?,(Sat) 18 Oct 2008 (41),East Stirlingshire FC (10),1-0,1-0,Berwick Rangers (10)
?,(Sat) 18 Oct 2008 (41),Elgin City (10),4-2,1-2,Stenhousemuir (10)
?,(Sat) 18 Oct 2008 (41),Forfar Athletic (10),0-0,0-0,Albion Rovers (10)
?,(Sat) 18 Oct 2008 (41),Montrose (10),1-2,0-1,Dumbarton (10)
?,(Sat) 1 Nov 2008 (43),Albion Rovers (11),3-1,1-0,Cowdenbeath (11)
?,(Sat) 1 Nov 2008 (43),Dumbarton (11),5-2,3-1,Berwick Rangers (11)
?,(Sat) 1 Nov 2008 (43),Elgin City (11),0-1,0-1,Forfar Athletic (11)
?,(Sat) 1 Nov 2008 (43),Montrose (11),0-3,0-2,Stenhousemuir (11)
?,(Sat) 8 Nov 2008 (44),Annan Athletic (11),1-2,1-1,Montrose (12)
?,(Sat) 8 Nov 2008 (44),Berwick Rangers (12),0-3,0-1,Albion Rovers (12)
?,(Sat) 8 Nov 2008 (44),Cowdenbeath (12),4-1,3-1,Elgin City (12)
?,(Sat) 8 Nov 2008 (44),Forfar Athletic (12),2-3,2-2,East Stirlingshire FC (11)
?,(Sat) 8 Nov 2008 (44),Stenhousemuir (12),1-1,0-0,Dumbarton (12)
?,(Wed) 12 Nov 2008 (45),East Stirlingshire FC (12),2-1,0-1,Annan Athletic (12)
?,(Sat) 15 Nov 2008 (45),Albion Rovers (13),0-1,0-1,Annan Athletic (13)
?,(Sat) 15 Nov 2008 (45),Cowdenbeath (13),1-2,0-2,Stenhousemuir (13)
?,(Sat) 15 Nov 2008 (45),East Stirlingshire FC (13),5-2,2-0,Dumbarton (13)
?,(Sat) 15 Nov 2008 (45),Elgin City (13),1-2,0-0,Montrose (13)
?,(Sat) 15 Nov 2008 (45),Forfar Athletic (13),2-1,1-1,Berwick Rangers (13)
?,(Sat) 22 Nov 2008 (46),Annan Athletic (14),5-0,1-0,Elgin City (14)
?,(Sat) 22 Nov 2008 (46),Berwick Rangers (14),2-3,1-1,Cowdenbeath (14)
?,(Sat) 22 Nov 2008 (46),Dumbarton (14),1-1,1-1,Albion Rovers (14)
?,(Sat) 22 Nov 2008 (46),Montrose (14),1-0,1-0,Forfar Athletic (14)
?,(Sat) 22 Nov 2008 (46),Stenhousemuir (14),1-1,0-1,East Stirlingshire FC (14)
?,(Sat) 6 Dec 2008 (48),Berwick Rangers (15),3-2,2-1,Stenhousemuir (15)
?,(Sat) 6 Dec 2008 (48),East Stirlingshire FC (15),5-0,1-0,Montrose (15)
?,(Sat) 13 Dec 2008 (49),Annan Athletic (15),1-2,1-1,Berwick Rangers (16)
?,(Sat) 13 Dec 2008 (49),Dumbarton (15),3-0,1-0,Forfar Athletic (15)
?,(Sat) 13 Dec 2008 (49),Elgin City (15),0-4,0-1,East Stirlingshire FC (16)
?,(Sat) 13 Dec 2008 (49),Montrose (16),0-1,0-1,Cowdenbeath (15)
?,(Sat) 13 Dec 2008 (49),Stenhousemuir (16),1-0,0-0,Albion Rovers (15)
?,(Sat) 20 Dec 2008 (50),Annan Athletic (16),2-1,1-1,Dumbarton (16)
?,(Sat) 20 Dec 2008 (50),East Stirlingshire FC (17),1-4,1-1,Cowdenbeath (16)
?,(Sat) 20 Dec 2008 (50),Elgin City (16),0-2,0-1,Berwick Rangers (17)
?,(Sat) 20 Dec 2008 (50),Forfar Athletic (16),1-0,0-0,Stenhousemuir (17)
?,(Sat) 20 Dec 2008 (50),Montrose (17),1-2,1-0,Albion Rovers (16)
?,(Sat) 27 Dec 2008 (51),Berwick Rangers (18),3-2,0-2,Montrose (18)
?,(Sat) 27 Dec 2008 (51),Stenhousemuir (18),0-0,0-0,Annan Athletic (17)
?,(Sat) 3 Jan 2009 (0),East Stirlingshire FC (18),0-3,0-2,Stenhousemuir (19)
?,(Sat) 10 Jan 2009 (1),Cowdenbeath (17),2-0,1-0,Dumbarton (17)
?,(Sat) 10 Jan 2009 (1),Montrose (19),3-1,1-1,Elgin City (17)
?,(Tue) 13 Jan 2009 (2),Cowdenbeath (18),2-0,1-0,Berwick Rangers (19)
?,(Sat) 17 Jan 2009 (2),Albion Rovers (17),2-1,1-1,Berwick Rangers (20)
?,(Sat) 17 Jan 2009 (2),Dumbarton (18),1-0,1-0,Stenhousemuir (20)
?,(Sat) 17 Jan 2009 (2),East Stirlingshire FC (19),3-2,2-0,Forfar Athletic (17)
?,(Sat) 17 Jan 2009 (2),Elgin City (18),1-1,0-0,Cowdenbeath (19)
?,(Sat) 17 Jan 2009 (2),Montrose (20),0-3,0-1,Annan Athletic (18)
?,(Sat) 24 Jan 2009 (3),Annan Athletic (19),4-0,2-0,East Stirlingshire FC (20)
?,(Sat) 24 Jan 2009 (3),Berwick Rangers (21),1-2,1-2,Dumbarton (19)
?,(Sat) 24 Jan 2009 (3),Cowdenbeath (20),2-1,2-1,Albion Rovers (18)
?,(Sat) 24 Jan 2009 (3),Stenhousemuir (21),1-3,1-1,Montrose (21)
?,(Sat) 31 Jan 2009 (4),Albion Rovers (19),2-0,1-0,Forfar Athletic (18)
?,(Sat) 31 Jan 2009 (4),Cowdenbeath (21),1-0,1-0,Annan Athletic (20)
?,(Sat) 31 Jan 2009 (4),Dumbarton (20),1-1,1-0,Montrose (22)
?,(Sat) 31 Jan 2009 (4),Stenhousemuir (22),4-2,2-0,Elgin City (19)
?,(Sat) 7 Feb 2009 (5),Annan Athletic (21),1-1,1-0,Stenhousemuir (23)
?,(Sat) 7 Feb 2009 (5),East Stirlingshire FC (21),0-1,0-1,Albion Rovers (20)
?,(Sat) 7 Feb 2009 (5),Montrose (23),1-1,1-0,Berwick Rangers (22)
?,(Sat) 14 Feb 2009 (6),East Stirlingshire FC (22),1-0,1-0,Elgin City (20)
?,(Sat) 21 Feb 2009 (7),Annan Athletic (22),1-0,1-0,Forfar Athletic (19)
?,(Sat) 21 Feb 2009 (7),Dumbarton (21),1-1,1-0,Cowdenbeath (22)
?,(Sat) 21 Feb 2009 (7),Elgin City (21),1-0,1-0,Albion Rovers (21)
?,(Sat) 21 Feb 2009 (7),Montrose (24),0-2,0-0,East Stirlingshire FC (23)
?,(Sat) 21 Feb 2009 (7),Stenhousemuir (24),1-2,1-0,Berwick Rangers (23)
?,(Tue) 24 Feb 2009 (8),Berwick Rangers (24),1-1,1-1,Annan Athletic (23)
?,(Sat) 28 Feb 2009 (8),Albion Rovers (22),2-1,1-1,Annan Athletic (24)
?,(Sat) 28 Feb 2009 (8),Cowdenbeath (23),1-0,0-0,Stenhousemuir (25)
?,(Sat) 28 Feb 2009 (8),East Stirlingshire FC (24),3-1,1-1,Dumbarton (22)
?,(Sat) 28 Feb 2009 (8),Elgin City (22),1-0,0-0,Montrose (25)
?,(Sat) 28 Feb 2009 (8),Forfar Athletic (20),5-4,1-0,Berwick Rangers (25)
?,(Tue) 3 Mar 2009 (9),Albion Rovers (23),2-1,1-1,Elgin City (23)
?,(Tue) 3 Mar 2009 (9),Dumbarton (23),2-0,2-0,East Stirlingshire FC (25)
?,(Tue) 3 Mar 2009 (9),Forfar Athletic (21),2-1,0-0,Annan Athletic (25)
?,(Tue) 3 Mar 2009 (9),Stenhousemuir (26),1-0,1-0,Cowdenbeath (24)
?,(Sat) 7 Mar 2009 (9),Annan Athletic (26),6-0,3-0,Elgin City (24)
?,(Sat) 7 Mar 2009 (9),Berwick Rangers (26),1-0,0-0,Cowdenbeath (25)
?,(Sat) 7 Mar 2009 (9),Dumbarton (24),1-0,0-0,Albion Rovers (24)
?,(Sat) 7 Mar 2009 (9),Montrose (26),1-3,0-1,Forfar Athletic (22)
?,(Sat) 7 Mar 2009 (9),Stenhousemuir (27),1-4,1-3,East Stirlingshire FC (26)
?,(Tue) 10 Mar 2009 (10),Albion Rovers (25),0-2,0-2,East Stirlingshire FC (27)
?,(Tue) 10 Mar 2009 (10),Cowdenbeath (26),0-0,0-0,Forfar Athletic (23)
?,(Tue) 10 Mar 2009 (10),Dumbarton (25),2-0,1-0,Elgin City (25)
?,(Sat) 14 Mar 2009 (10),Annan Athletic (27),3-1,1-1,Cowdenbeath (27)
?,(Sat) 14 Mar 2009 (10),East Stirlingshire FC (28),0-4,0-1,Berwick Rangers (27)
?,(Sat) 14 Mar 2009 (10),Elgin City (26),2-0,0-0,Stenhousemuir (28)
?,(Sat) 14 Mar 2009 (10),Forfar Athletic (24),4-0,1-0,Albion Rovers (26)
?,(Sat) 14 Mar 2009 (10),Montrose (27),1-0,0-0,Dumbarton (26)
?,(Tue) 17 Mar 2009 (11),Albion Rovers (27),1-1,1-0,Dumbarton (27)
?,(Tue) 17 Mar 2009 (11),Berwick Rangers (28),0-2,0-0,Forfar Athletic (25)
?,(Tue) 17 Mar 2009 (11),Cowdenbeath (28),2-1,2-1,Montrose (28)
?,(Sat) 21 Mar 2009 (11),Albion Rovers (28),0-1,0-0,Montrose (29)
?,(Sat) 21 Mar 2009 (11),Berwick Rangers (29),2-1,1-1,Elgin City (27)
?,(Sat) 21 Mar 2009 (11),Cowdenbeath (29),2-0,1-0,East Stirlingshire FC (29)
?,(Sat) 21 Mar 2009 (11),Dumbarton (28),0-2,0-2,Annan Athletic (28)
?,(Sat) 21 Mar 2009 (11),Stenhousemuir (29),0-1,0-1,Forfar Athletic (26)
?,(Tue) 24 Mar 2009 (12),Forfar Athletic (27),1-1,1-1,Elgin City (28)
?,(Wed) 25 Mar 2009 (12),Annan Athletic (29),1-1,1-0,Albion Rovers (29)
