Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 5 Aug 2000 (W31),Arbroath (1),1-1,1-1,Partick Thistle (1)
?,(Sat) 5 Aug 2000 (W31),Queen's Park (1),1-0,0-0,Berwick Rangers (1)
?,(Sat) 5 Aug 2000 (W31),Stenhousemuir (1),4-3,3-0,Queen of the South (1)
?,(Sat) 5 Aug 2000 (W31),Stirling Albion (1),2-2,1-2,Clydebank FC (1)
?,(Sat) 5 Aug 2000 (W31),Stranraer (1),2-0,0-0,Forfar Athletic (1)
?,(Sat) 12 Aug 2000 (W32),Berwick Rangers (2),2-1,2-1,Arbroath (2)
?,(Sat) 12 Aug 2000 (W32),Clydebank FC (2),1-0,0-0,Stenhousemuir (2)
?,(Sat) 12 Aug 2000 (W32),Forfar Athletic (2),0-1,0-0,Queen's Park (2)
?,(Sat) 12 Aug 2000 (W32),Partick Thistle (2),2-1,1-0,Stranraer (2)
?,(Sat) 12 Aug 2000 (W32),Queen of the South (2),0-0,0-0,Stirling Albion (2)
?,(Sat) 19 Aug 2000 (W33),Arbroath (3),1-0,1-0,Clydebank FC (3)
?,(Sat) 19 Aug 2000 (W33),Queen's Park (3),1-0,1-0,Queen of the South (3)
?,(Sat) 19 Aug 2000 (W33),Stenhousemuir (3),4-0,3-0,Partick Thistle (3)
?,(Sat) 19 Aug 2000 (W33),Stirling Albion (3),3-3,2-2,Forfar Athletic (3)
?,(Sat) 19 Aug 2000 (W33),Stranraer (3),2-2,0-0,Berwick Rangers (3)
?,(Sat) 26 Aug 2000 (W34),Clydebank FC (4),1-2,1-1,Queen of the South (4)
?,(Sat) 26 Aug 2000 (W34),Forfar Athletic (4),2-2,1-2,Stenhousemuir (4)
?,(Sat) 26 Aug 2000 (W34),Partick Thistle (4),1-1,0-1,Berwick Rangers (4)
?,(Sat) 26 Aug 2000 (W34),Stirling Albion (4),0-1,0-1,Queen's Park (4)
?,(Sat) 26 Aug 2000 (W34),Stranraer (4),2-1,1-0,Arbroath (4)
?,(Sat) 9 Sep 2000 (W36),Arbroath (5),3-4,0-3,Forfar Athletic (5)
?,(Sat) 9 Sep 2000 (W36),Berwick Rangers (5),3-1,0-0,Clydebank FC (5)
?,(Sat) 9 Sep 2000 (W36),Queen of the South (5),1-4,0-1,Stranraer (5)
?,(Sat) 9 Sep 2000 (W36),Queen's Park (5),0-1,0-0,Partick Thistle (5)
?,(Sat) 9 Sep 2000 (W36),Stenhousemuir (5),0-2,0-0,Stirling Albion (5)
?,(Sat) 16 Sep 2000 (W37),Arbroath (6),3-0,1-0,Stenhousemuir (6)
?,(Sat) 16 Sep 2000 (W37),Berwick Rangers (6),0-4,0-2,Queen of the South (6)
?,(Sat) 16 Sep 2000 (W37),Forfar Athletic (6),0-2,0-2,Clydebank FC (6)
?,(Sat) 16 Sep 2000 (W37),Partick Thistle (6),3-1,1-0,Stirling Albion (6)
?,(Sat) 16 Sep 2000 (W37),Stranraer (6),3-0,0-0,Queen's Park (6)
?,(Sat) 23 Sep 2000 (W38),Clydebank FC (7),2-1,0-0,Partick Thistle (7)
?,(Sat) 23 Sep 2000 (W38),Queen of the South (7),0-1,0-1,Forfar Athletic (7)
?,(Sat) 23 Sep 2000 (W38),Queen's Park (7),0-0,0-0,Arbroath (7)
?,(Sat) 23 Sep 2000 (W38),Stenhousemuir (7),2-0,2-0,Berwick Rangers (7)
?,(Sat) 23 Sep 2000 (W38),Stirling Albion (7),2-0,2-0,Stranraer (7)
?,(Sat) 30 Sep 2000 (W39),Arbroath (8),2-0,1-0,Queen of the South (8)
?,(Sat) 30 Sep 2000 (W39),Berwick Rangers (8),2-2,2-0,Stirling Albion (8)
?,(Sat) 30 Sep 2000 (W39),Partick Thistle (8),1-1,0-0,Forfar Athletic (8)
?,(Sat) 30 Sep 2000 (W39),Queen's Park (8),2-0,0-0,Stenhousemuir (8)
?,(Sat) 30 Sep 2000 (W39),Stranraer (8),0-2,0-1,Clydebank FC (8)
?,(Sat) 7 Oct 2000 (W40),Clydebank FC (9),2-0,1-0,Queen's Park (9)
?,(Sat) 7 Oct 2000 (W40),Forfar Athletic (9),3-5,1-3,Berwick Rangers (9)
?,(Sat) 7 Oct 2000 (W40),Queen of the South (9),1-2,0-1,Partick Thistle (9)
?,(Sat) 7 Oct 2000 (W40),Stenhousemuir (9),1-2,0-0,Stranraer (9)
?,(Sat) 7 Oct 2000 (W40),Stirling Albion (9),0-0,0-0,Arbroath (9)
?,(Sat) 14 Oct 2000 (W41),Berwick Rangers (10),1-1,0-1,Queen's Park (10)
?,(Sat) 14 Oct 2000 (W41),Clydebank FC (10),3-0,2-0,Stirling Albion (10)
?,(Sat) 14 Oct 2000 (W41),Forfar Athletic (10),0-0,0-0,Stranraer (10)
?,(Sat) 14 Oct 2000 (W41),Partick Thistle (10),1-1,0-0,Arbroath (10)
?,(Sat) 14 Oct 2000 (W41),Queen of the South (10),4-2,2-0,Stenhousemuir (10)
?,(Sat) 21 Oct 2000 (W42),Arbroath (11),0-2,0-1,Berwick Rangers (11)
?,(Sat) 21 Oct 2000 (W42),Queen's Park (11),0-0,0-0,Forfar Athletic (11)
?,(Sat) 21 Oct 2000 (W42),Stenhousemuir (11),2-1,0-1,Clydebank FC (11)
?,(Sat) 21 Oct 2000 (W42),Stirling Albion (11),0-1,0-0,Queen of the South (11)
?,(Sat) 21 Oct 2000 (W42),Stranraer (11),0-3,0-1,Partick Thistle (11)
?,(Sat) 28 Oct 2000 (W43),Arbroath (12),1-1,1-0,Stranraer (12)
?,(Sat) 28 Oct 2000 (W43),Berwick Rangers (12),1-2,1-1,Partick Thistle (12)
?,(Sat) 28 Oct 2000 (W43),Queen of the South (12),1-1,1-0,Clydebank FC (12)
?,(Sat) 28 Oct 2000 (W43),Queen's Park (12),3-0,0-0,Stirling Albion (12)
?,(Sat) 28 Oct 2000 (W43),Stenhousemuir (12),2-0,1-0,Forfar Athletic (12)
?,(Sat) 4 Nov 2000 (W44),Clydebank FC (13),0-1,0-0,Berwick Rangers (13)
?,(Sat) 4 Nov 2000 (W44),Forfar Athletic (13),0-1,0-0,Arbroath (13)
?,(Sat) 4 Nov 2000 (W44),Partick Thistle (13),2-1,2-1,Queen's Park (13)
?,(Sat) 4 Nov 2000 (W44),Stirling Albion (13),2-3,1-0,Stenhousemuir (13)
?,(Sat) 4 Nov 2000 (W44),Stranraer (13),3-2,2-2,Queen of the South (13)
?,(Sat) 11 Nov 2000 (W45),Arbroath (14),2-2,1-1,Queen's Park (14)
?,(Sat) 11 Nov 2000 (W45),Berwick Rangers (14),4-1,2-0,Stenhousemuir (14)
?,(Sat) 11 Nov 2000 (W45),Forfar Athletic (14),0-1,0-0,Queen of the South (14)
?,(Sat) 11 Nov 2000 (W45),Partick Thistle (14),2-0,1-0,Clydebank FC (14)
?,(Sat) 11 Nov 2000 (W45),Stranraer (14),1-1,0-1,Stirling Albion (14)
?,(Sat) 18 Nov 2000 (W46),Clydebank FC (15),1-1,1-1,Forfar Athletic (15)
?,(Sat) 18 Nov 2000 (W46),Queen of the South (15),2-1,2-0,Berwick Rangers (15)
?,(Sat) 18 Nov 2000 (W46),Queen's Park (15),1-2,1-0,Stranraer (15)
?,(Sat) 18 Nov 2000 (W46),Stenhousemuir (15),3-1,0-1,Arbroath (15)
?,(Sat) 18 Nov 2000 (W46),Stirling Albion (15),1-1,0-1,Partick Thistle (15)
?,(Sat) 25 Nov 2000 (W47),Arbroath (16),3-2,1-2,Stirling Albion (16)
?,(Sat) 25 Nov 2000 (W47),Berwick Rangers (16),1-1,1-1,Forfar Athletic (16)
?,(Sat) 25 Nov 2000 (W47),Partick Thistle (16),2-1,2-1,Queen of the South (16)
?,(Sat) 25 Nov 2000 (W47),Queen's Park (16),1-1,1-1,Clydebank FC (16)
?,(Sat) 25 Nov 2000 (W47),Stranraer (16),1-4,0-1,Stenhousemuir (16)
?,(Sat) 2 Dec 2000 (W48),Forfar Athletic (17),0-1,0-0,Partick Thistle (17)
?,(Sat) 2 Dec 2000 (W48),Queen of the South (17),1-1,0-0,Arbroath (17)
?,(Sat) 2 Dec 2000 (W48),Stenhousemuir (17),1-1,1-0,Queen's Park (17)
?,(Sat) 2 Dec 2000 (W48),Stirling Albion (17),1-1,0-0,Berwick Rangers (17)
?,(Tue) 5 Dec 2000 (W49),Clydebank FC (17),2-3,2-2,Stranraer (17)
?,(Sat) 16 Dec 2000 (W50),Arbroath (18),1-1,1-0,Partick Thistle (18)
?,(Sat) 16 Dec 2000 (W50),Queen's Park (18),0-2,0-0,Berwick Rangers (18)
?,(Sat) 16 Dec 2000 (W50),Stirling Albion (18),0-0,0-0,Clydebank FC (18)
?,(Sat) 16 Dec 2000 (W50),Stranraer (18),3-1,1-1,Forfar Athletic (18)
