Date,Team 1,Team 2,FT,HT
2000-07-29,Dunfermline,Aberdeen,0-0,0-0
2000-07-29,Motherwell,Dundee,0-2,0-1
2000-07-29,Rangers,St Johnstone,2-1,0-1
2000-07-29,St Mirren,Kilmarnock,0-1,0-0
2000-07-30,Dundee United,Celtic,1-2,0-1
2000-07-30,Hearts,Hibernian,0-0,0-0
2000-08-05,Aberdeen,St Mirren,2-1,1-1
2000-08-05,Celtic,Motherwell,1-0,1-0
2000-08-05,Dundee,Dunfermline,3-0,1-0
2000-08-05,Hibernian,Dundee United,3-0,2-0
2000-08-05,Kilmarnock,Rangers,2-4,2-1
2000-08-06,St Johnstone,Hearts,2-2,1-0
2000-08-12,Dundee United,Motherwell,1-1,0-1
2000-08-12,Dunfermline,St Johnstone,1-1,1-0
2000-08-12,Hibernian,Dundee,5-1,2-1
2000-08-13,Aberdeen,Hearts,1-1,1-1
2000-08-13,Celtic,Kilmarnock,2-1,0-1
2000-08-13,St Mirren,Rangers,1-3,0-1
2000-08-16,Kilmarnock,Hibernian,0-1,0-1
2000-08-16,Motherwell,Dunfermline,0-1,0-0
2000-08-19,Aberdeen,Hibernian,0-2,0-1
2000-08-19,Dundee United,St Johnstone,1-2,0-2
2000-08-19,Hearts,Celtic,2-4,0-3
2000-08-19,Kilmarnock,Motherwell,3-2,1-1
2000-08-19,Rangers,Dunfermline,4-1,3-1
2000-08-19,St Mirren,Dundee,2-1,0-0
2000-08-26,Dunfermline,Dundee United,1-0,1-0
2000-08-26,Hibernian,St Mirren,2-0,1-0
2000-08-26,St Johnstone,Kilmarnock,1-1,1-1
2000-08-27,Celtic,Rangers,6-2,3-1
2000-08-27,Dundee,Hearts,1-1,0-0
2000-08-27,Motherwell,Aberdeen,1-1,1-1
2000-09-09,Aberdeen,St Johnstone,1-1,0-0
2000-09-09,Celtic,Hibernian,3-0,2-0
2000-09-09,Dundee,Rangers,1-1,0-0
2000-09-09,Hearts,Dunfermline,2-0,1-0
2000-09-09,Kilmarnock,Dundee United,1-0,1-0
2000-09-09,St Mirren,Motherwell,0-1,0-0
2000-09-16,Dundee United,St Mirren,0-0,0-0
2000-09-16,Hibernian,Motherwell,2-0,0-0
2000-09-16,Kilmarnock,Aberdeen,1-0,1-0
2000-09-16,St Johnstone,Dundee,0-0,0-0
2000-09-17,Rangers,Hearts,1-0,0-0
2000-09-18,Dunfermline,Celtic,1-2,0-0
2000-09-20,Dundee,Dundee United,3-0,0-0
2000-09-20,Hearts,St Mirren,2-0,0-0
2000-09-23,Celtic,Dundee,1-0,0-0
2000-09-23,Dundee United,Aberdeen,3-5,0-3
2000-09-23,Dunfermline,Hibernian,1-1,0-1
2000-09-23,Motherwell,Rangers,0-1,0-1
2000-09-23,St Mirren,St Johnstone,0-1,0-1
2000-09-24,Hearts,Kilmarnock,0-2,0-1
2000-09-30,Dundee,Kilmarnock,0-0,0-0
2000-09-30,St Johnstone,Hibernian,0-3,0-2
2000-09-30,St Mirren,Dunfermline,2-1,2-0
2000-10-01,Aberdeen,Celtic,1-1,1-0
2000-10-01,Hearts,Motherwell,3-0,2-0
2000-10-01,Rangers,Dundee United,3-0,2-0
2000-10-14,Aberdeen,Dundee,0-2,0-1
2000-10-14,Celtic,St Mirren,2-0,1-0
2000-10-14,Dundee United,Hearts,0-4,0-3
2000-10-14,Hibernian,Rangers,1-0,1-0
2000-10-14,Kilmarnock,Dunfermline,2-1,1-1
2000-10-14,Motherwell,St Johnstone,4-0,2-0
2000-10-17,St Johnstone,Celtic,0-2,0-1
2000-10-21,Aberdeen,Dunfermline,0-0,0-0
2000-10-21,Celtic,Dundee United,2-1,1-0
2000-10-21,Dundee,Motherwell,1-2,1-2
2000-10-21,Kilmarnock,St Mirren,2-1,0-1
2000-10-22,Hibernian,Hearts,6-2,2-1
2000-10-22,St Johnstone,Rangers,2-1,1-0
