Date,Team 1,FT,Team 2
Sat Oct 29 1921,Nelson,2-0,Chesterfield
Sat Oct 29 1921,Halifax Town,1-2,Wigan Borough
Sat Oct 29 1921,Darlington,2-2,Durham City
Sat Oct 29 1921,Stockport County,3-0,Rochdale
Sat Oct 29 1921,Grimsby Town,0-0,Southport
Sat Oct 29 1921,Hartlepool United,1-0,Walsall
Sat Oct 29 1921,Stalybridge Celtic,4-0,Tranmere Rovers
Sat Nov 5 1921,Halifax Town,3-0,Hartlepool United
Sat Nov 5 1921,Darlington,3-0,Barrow
Sat Nov 5 1921,Wrexham,6-1,Chesterfield
Sat Nov 5 1921,Lincoln City,4-1,Ashington
Sat Nov 5 1921,Accrington Stanley,5-1,Durham City
Sat Nov 5 1921,Stockport County,0-1,Grimsby Town
Sat Nov 5 1921,Wigan Borough,0-0,Tranmere Rovers
Sat Nov 5 1921,Rochdale,2-1,Stalybridge Celtic
Sat Nov 5 1921,Crewe Alexandra,2-1,Nelson
Sat Nov 5 1921,Southport,3-0,Walsall
Sat Nov 12 1921,Hartlepool United,4-0,Halifax Town
Sat Nov 12 1921,Nelson,1-2,Crewe Alexandra
Sat Nov 12 1921,Ashington,4-2,Lincoln City
Sat Nov 12 1921,Chesterfield,3-0,Wrexham
Sat Nov 12 1921,Durham City,3-1,Accrington Stanley
Sat Nov 12 1921,Stalybridge Celtic,1-0,Rochdale
Sat Nov 12 1921,Tranmere Rovers,2-0,Wigan Borough
Sat Nov 12 1921,Barrow,0-2,Darlington
Sat Nov 12 1921,Grimsby Town,2-1,Stockport County
Sat Nov 12 1921,Walsall,4-1,Southport
Sat Nov 19 1921,Hartlepool United,0-1,Durham City
Sat Nov 19 1921,Southport,3-0,Halifax Town
Sat Nov 19 1921,Rochdale,0-2,Grimsby Town
Sat Nov 19 1921,Darlington,4-2,Lincoln City
Sat Nov 26 1921,Durham City,3-1,Chesterfield
Sat Nov 26 1921,Halifax Town,1-1,Southport
Sat Nov 26 1921,Stalybridge Celtic,0-0,Wigan Borough
Sat Nov 26 1921,Accrington Stanley,3-0,Barrow
Sat Nov 26 1921,Stockport County,3-1,Walsall
Sat Nov 26 1921,Grimsby Town,3-0,Rochdale
Sat Nov 26 1921,Hartlepool United,0-0,Tranmere Rovers
Sat Nov 26 1921,Wrexham,4-2,Nelson
Sat Nov 26 1921,Lincoln City,2-3,Crewe Alexandra
Sat Dec 10 1921,Wigan Borough,3-2,Rochdale
Sat Dec 10 1921,Wrexham,1-0,Crewe Alexandra
Sat Dec 10 1921,Walsall,2-1,Grimsby Town
Sat Dec 10 1921,Halifax Town,2-1,Accrington Stanley
Sat Dec 10 1921,Southport,1-1,Tranmere Rovers
Sat Dec 10 1921,Barrow,1-0,Chesterfield
Sat Dec 17 1921,Hartlepool United,0-0,Wigan Borough
Sat Dec 17 1921,Lincoln City,1-1,Accrington Stanley
Sat Dec 17 1921,Tranmere Rovers,0-2,Stockport County
Sat Dec 17 1921,Chesterfield,2-1,Durham City
Sat Dec 17 1921,Crewe Alexandra,2-1,Halifax Town
Sat Dec 24 1921,Grimsby Town,4-1,Halifax Town
Sat Dec 24 1921,Rochdale,7-0,Walsall
Sat Dec 24 1921,Darlington,0-1,Crewe Alexandra
Sat Dec 24 1921,Accrington Stanley,2-0,Lincoln City
Sat Dec 24 1921,Southport,5-1,Stalybridge Celtic
Sat Dec 24 1921,Ashington,1-0,Chesterfield
Sat Dec 24 1921,Wigan Borough,1-0,Hartlepool United
Sat Dec 24 1921,Barrow,0-2,Nelson
Sat Dec 24 1921,Stockport County,0-0,Tranmere Rovers
Sat Dec 24 1921,Durham City,3-0,Wrexham
Mon Dec 26 1921,Stockport County,0-0,Halifax Town
Mon Dec 26 1921,Tranmere Rovers,2-3,Ashington
Mon Dec 26 1921,Stalybridge Celtic,1-3,Hartlepool United
Mon Dec 26 1921,Grimsby Town,2-2,Chesterfield
Mon Dec 26 1921,Lincoln City,0-2,Darlington
Mon Dec 26 1921,Crewe Alexandra,2-0,Rochdale
Mon Dec 26 1921,Southport,1-1,Accrington Stanley
Mon Dec 26 1921,Nelson,3-5,Durham City
Mon Dec 26 1921,Wrexham,3-2,Wigan Borough
Tue Dec 27 1921,Accrington Stanley,3-0,Ashington
Tue Dec 27 1921,Walsall,2-2,Wrexham
Tue Dec 27 1921,Barrow,2-1,Southport
Tue Dec 27 1921,Halifax Town,1-0,Stockport County
Tue Dec 27 1921,Tranmere Rovers,1-2,Hartlepool United
Tue Dec 27 1921,Chesterfield,4-1,Grimsby Town
Tue Dec 27 1921,Stalybridge Celtic,2-0,Nelson
Tue Dec 27 1921,Rochdale,2-0,Crewe Alexandra
Tue Dec 27 1921,Lincoln City,3-0,Durham City
Sat Dec 31 1921,Stalybridge Celtic,0-4,Stockport County
Sat Dec 31 1921,Lincoln City,2-1,Chesterfield
Sat Dec 31 1921,Darlington,3-0,Accrington Stanley
Sat Dec 31 1921,Ashington,4-0,Nelson
Sat Dec 31 1921,Wigan Borough,3-2,Southport
Sat Dec 31 1921,Barrow,5-2,Wrexham
Sat Dec 31 1921,Halifax Town,1-3,Walsall
Sat Dec 31 1921,Crewe Alexandra,3-2,Durham City
Sat Dec 31 1921,Tranmere Rovers,2-2,Grimsby Town
Sat Dec 31 1921,Hartlepool United,5-3,Rochdale
Mon Jan 2 1922,Ashington,2-1,Accrington Stanley
Mon Jan 2 1922,Southport,2-0,Crewe Alexandra
Mon Jan 2 1922,Hartlepool United,0-1,Stalybridge Celtic
Mon Jan 2 1922,Nelson,4-0,Wrexham
Mon Jan 2 1922,Chesterfield,2-0,Barrow
Mon Jan 2 1922,Durham City,2-0,Lincoln City
Mon Jan 2 1922,Darlington,5-0,Walsall
Tue Jan 3 1922,Darlington,5-0,Ashington
Sat Jan 7 1922,Wrexham,3-1,Durham City
Sat Jan 7 1922,Wigan Borough,0-2,Stalybridge Celtic
Sat Jan 7 1922,Barrow,3-1,Accrington Stanley
Sat Jan 7 1922,Crewe Alexandra,0-2,Lincoln City
Sat Jan 14 1922,Grimsby Town,5-1,Tranmere Rovers
Sat Jan 14 1922,Southport,1-1,Wigan Borough
Sat Jan 14 1922,Durham City,4-2,Crewe Alexandra
Sat Jan 14 1922,Stockport County,4-0,Stalybridge Celtic
Sat Jan 14 1922,Nelson,0-2,Ashington
Sat Jan 14 1922,Rochdale,0-1,Hartlepool United
Sat Jan 14 1922,Wrexham,0-0,Barrow
Sat Jan 14 1922,Chesterfield,3-0,Lincoln City
Sat Jan 14 1922,Walsall,4-1,Halifax Town
Sat Jan 14 1922,Accrington Stanley,1-0,Darlington
Mon Jan 16 1922,Halifax Town,2-0,Grimsby Town
Mon Jan 16 1922,Walsall,0-2,Stockport County
Sat Jan 21 1922,Ashington,2-3,Walsall
Sat Jan 21 1922,Chesterfield,1-1,Wigan Borough
Sat Jan 21 1922,Darlington,2-1,Rochdale
Sat Jan 21 1922,Durham City,0-2,Stockport County
Sat Jan 21 1922,Lincoln City,3-1,Halifax Town
Sat Jan 21 1922,Barrow,2-2,Grimsby Town
Sat Jan 21 1922,Stalybridge Celtic,2-2,Crewe Alexandra
Sat Jan 21 1922,Tranmere Rovers,2-4,Accrington Stanley
Sat Jan 21 1922,Nelson,0-4,Hartlepool United
Sat Jan 21 1922,Wrexham,2-0,Southport
Sat Jan 28 1922,Accrington Stanley,3-0,Tranmere Rovers
Sat Jan 28 1922,Hartlepool United,6-1,Nelson
Sat Jan 28 1922,Rochdale,0-2,Darlington
Sat Jan 28 1922,Stockport County,4-0,Durham City
Sat Jan 28 1922,Grimsby Town,4-0,Barrow
Sat Jan 28 1922,Southport,1-2,Wrexham
Sat Jan 28 1922,Crewe Alexandra,5-1,Stalybridge Celtic
Sat Jan 28 1922,Walsall,6-2,Ashington
Sat Feb 4 1922,Rochdale,0-2,Lincoln City
Sat Feb 4 1922,Nelson,3-2,Southport
Sat Feb 4 1922,Ashington,3-1,Halifax Town
Sat Feb 4 1922,Stalybridge Celtic,3-1,Accrington Stanley
Sat Feb 4 1922,Darlington,4-0,Tranmere Rovers
Sat Feb 4 1922,Durham City,1-2,Grimsby Town
Sat Feb 4 1922,Walsall,3-1,Barrow
Sat Feb 4 1922,Crewe Alexandra,2-1,Wigan Borough
Sat Feb 4 1922,Chesterfield,2-1,Hartlepool United
Sat Feb 11 1922,Barrow,3-0,Walsall
Sat Feb 11 1922,Accrington Stanley,4-1,Stalybridge Celtic
Sat Feb 11 1922,Tranmere Rovers,0-1,Darlington
Sat Feb 11 1922,Hartlepool United,7-0,Chesterfield
Sat Feb 11 1922,Halifax Town,2-0,Ashington
Sat Feb 11 1922,Southport,0-1,Nelson
Sat Feb 11 1922,Stockport County,0-0,Wrexham
Sat Feb 11 1922,Lincoln City,1-2,Rochdale
Sat Feb 11 1922,Grimsby Town,5-2,Durham City
Sat Feb 11 1922,Wigan Borough,2-0,Crewe Alexandra
Thu Feb 16 1922,Halifax Town,1-2,Lincoln City
Sat Feb 18 1922,Darlington,3-0,Stalybridge Celtic
Sat Feb 18 1922,Chesterfield,2-1,Southport
Sat Feb 18 1922,Accrington Stanley,4-0,Wigan Borough
Sat Feb 18 1922,Wrexham,0-1,Grimsby Town
Sat Feb 18 1922,Durham City,2-0,Walsall
Sat Feb 18 1922,Ashington,7-3,Rochdale
Sat Feb 18 1922,Lincoln City,4-1,Tranmere Rovers
Sat Feb 18 1922,Nelson,2-2,Stockport County
Sat Feb 18 1922,Barrow,1-1,Halifax Town
Sat Feb 18 1922,Crewe Alexandra,2-0,Hartlepool United
Sat Feb 25 1922,Stockport County,3-0,Nelson
Sat Feb 25 1922,Tranmere Rovers,4-0,Lincoln City
Sat Feb 25 1922,Grimsby Town,2-0,Wrexham
Sat Feb 25 1922,Walsall,2-0,Durham City
Sat Feb 25 1922,Southport,3-0,Chesterfield
Sat Feb 25 1922,Wigan Borough,0-1,Accrington Stanley
Sat Feb 25 1922,Halifax Town,3-2,Barrow
Sat Feb 25 1922,Rochdale,2-1,Ashington
Sat Feb 25 1922,Hartlepool United,1-0,Crewe Alexandra
Sat Feb 25 1922,Stalybridge Celtic,1-0,Darlington
Tue Feb 28 1922,Stalybridge Celtic,0-0,Southport
Sat Mar 4 1922,Darlington,3-0,Wigan Borough
Sat Mar 4 1922,Ashington,1-0,Tranmere Rovers
Sat Mar 4 1922,Durham City,3-1,Halifax Town
Sat Mar 4 1922,Nelson,3-0,Grimsby Town
Sat Mar 4 1922,Chesterfield,0-1,Stockport County
Sat Mar 4 1922,Wrexham,4-0,Walsall
Sat Mar 4 1922,Hartlepool United,2-1,Accrington Stanley
Sat Mar 4 1922,Lincoln City,2-1,Stalybridge Celtic
Sat Mar 4 1922,Rochdale,0-1,Barrow
Wed Mar 8 1922,Wrexham,0-0,Stockport County
Sat Mar 11 1922,Southport,0-0,Ashington
Sat Mar 11 1922,Stalybridge Celtic,2-0,Lincoln City
Sat Mar 11 1922,Accrington Stanley,4-1,Hartlepool United
Sat Mar 11 1922,Barrow,1-0,Rochdale
Sat Mar 11 1922,Grimsby Town,3-1,Nelson
Sat Mar 11 1922,Halifax Town,3-2,Durham City
Sat Mar 11 1922,Stockport County,2-1,Chesterfield
Mon Mar 13 1922,Wigan Borough,1-2,Chesterfield
Sat Mar 18 1922,Wrexham,5-1,Halifax Town
Sat Mar 18 1922,Rochdale,1-0,Durham City
Sat Mar 18 1922,Hartlepool United,0-0,Darlington
Sat Mar 18 1922,Ashington,2-3,Stalybridge Celtic
Sat Mar 18 1922,Walsall,2-0,Nelson
Sat Mar 18 1922,Tranmere Rovers,2-2,Barrow
Sat Mar 18 1922,Stockport County,1-1,Crewe Alexandra
Sat Mar 18 1922,Wigan Borough,3-1,Lincoln City
Sat Mar 18 1922,Accrington Stanley,1-2,Southport
Wed Mar 22 1922,Chesterfield,0-1,Ashington
Sat Mar 25 1922,Stalybridge Celtic,2-0,Ashington
Sat Mar 25 1922,Lincoln City,3-0,Wigan Borough
Sat Mar 25 1922,Darlington,0-0,Hartlepool United
Sat Mar 25 1922,Halifax Town,0-0,Wrexham
Sat Mar 25 1922,Durham City,0-2,Rochdale
Sat Mar 25 1922,Barrow,2-0,Tranmere Rovers
Sat Mar 25 1922,Crewe Alexandra,0-1,Stockport County
Wed Mar 29 1922,Wigan Borough,3-3,Darlington
Sat Apr 1 1922,Southport,3-1,Darlington
Sat Apr 1 1922,Nelson,0-0,Halifax Town
Sat Apr 1 1922,Stalybridge Celtic,3-0,Barrow
Sat Apr 1 1922,Wigan Borough,1-1,Ashington
Sat Apr 1 1922,Grimsby Town,3-0,Crewe Alexandra
Sat Apr 1 1922,Rochdale,3-0,Wrexham
Sat Apr 1 1922,Tranmere Rovers,3-3,Durham City
Sat Apr 1 1922,Walsall,2-1,Chesterfield
Sat Apr 1 1922,Hartlepool United,1-1,Lincoln City
Sat Apr 1 1922,Stockport County,2-1,Accrington Stanley
Wed Apr 5 1922,Ashington,1-0,Darlington
Sat Apr 8 1922,Halifax Town,3-1,Nelson
Sat Apr 8 1922,Durham City,3-0,Tranmere Rovers
Sat Apr 8 1922,Lincoln City,1-1,Hartlepool United
Sat Apr 8 1922,Accrington Stanley,1-3,Stockport County
Sat Apr 8 1922,Crewe Alexandra,1-2,Grimsby Town
Sat Apr 8 1922,Ashington,3-1,Wigan Borough
Sat Apr 8 1922,Chesterfield,1-0,Walsall
Sat Apr 8 1922,Barrow,2-1,Stalybridge Celtic
Sat Apr 8 1922,Wrexham,1-1,Rochdale
Sat Apr 8 1922,Darlington,3-0,Southport
Fri Apr 14 1922,Wrexham,2-0,Stalybridge Celtic
Fri Apr 14 1922,Tranmere Rovers,2-0,Chesterfield
Fri Apr 14 1922,Rochdale,4-2,Wigan Borough
Fri Apr 14 1922,Ashington,2-0,Stockport County
Fri Apr 14 1922,Durham City,2-0,Nelson
Fri Apr 14 1922,Grimsby Town,3-1,Lincoln City
Fri Apr 14 1922,Southport,1-0,Barrow
Fri Apr 14 1922,Crewe Alexandra,7-3,Darlington
Sat Apr 15 1922,Wigan Borough,1-2,Barrow
Sat Apr 15 1922,Darlington,1-0,Stockport County
Sat Apr 15 1922,Hartlepool United,2-1,Ashington
Sat Apr 15 1922,Stalybridge Celtic,4-3,Durham City
Sat Apr 15 1922,Walsall,1-0,Crewe Alexandra
Sat Apr 15 1922,Halifax Town,1-2,Chesterfield
Sat Apr 15 1922,Southport,0-0,Lincoln City
Sat Apr 15 1922,Rochdale,2-2,Nelson
Sat Apr 15 1922,Grimsby Town,2-1,Accrington Stanley
Sat Apr 15 1922,Tranmere Rovers,0-0,Wrexham
Mon Apr 17 1922,Crewe Alexandra,1-0,Southport
Mon Apr 17 1922,Chesterfield,3-0,Tranmere Rovers
Mon Apr 17 1922,Lincoln City,0-2,Grimsby Town
Mon Apr 17 1922,Stockport County,3-2,Ashington
Mon Apr 17 1922,Accrington Stanley,1-2,Halifax Town
Mon Apr 17 1922,Walsall,0-1,Darlington
Mon Apr 17 1922,Nelson,1-1,Barrow
Mon Apr 17 1922,Wigan Borough,2-1,Wrexham
Tue Apr 18 1922,Durham City,0-1,Hartlepool United
Tue Apr 18 1922,Walsall,4-0,Rochdale
Tue Apr 18 1922,Tranmere Rovers,0-1,Southport
Sat Apr 22 1922,Durham City,3-1,Stalybridge Celtic
Sat Apr 22 1922,Crewe Alexandra,2-0,Walsall
Sat Apr 22 1922,Chesterfield,2-0,Halifax Town
Sat Apr 22 1922,Stockport County,1-0,Darlington
Sat Apr 22 1922,Ashington,4-1,Hartlepool United
Sat Apr 22 1922,Accrington Stanley,1-0,Grimsby Town
Sat Apr 22 1922,Nelson,4-1,Rochdale
Sat Apr 22 1922,Wrexham,1-3,Tranmere Rovers
Sat Apr 22 1922,Barrow,2-0,Wigan Borough
Sat Apr 22 1922,Lincoln City,3-1,Southport
Tue Apr 25 1922,Nelson,1-0,Walsall
Sat Apr 29 1922,Accrington Stanley,3-3,Walsall
Sat Apr 29 1922,Hartlepool United,3-1,Barrow
Sat Apr 29 1922,Tranmere Rovers,4-0,Nelson
Sat Apr 29 1922,Stockport County,2-2,Lincoln City
Sat Apr 29 1922,Grimsby Town,3-1,Darlington
Sat Apr 29 1922,Stalybridge Celtic,4-1,Wrexham
Sat Apr 29 1922,Wigan Borough,2-0,Durham City
Sat Apr 29 1922,Ashington,2-2,Southport
Sat Apr 29 1922,Halifax Town,5-5,Crewe Alexandra
Sat Apr 29 1922,Rochdale,0-1,Chesterfield
Sat May 6 1922,Lincoln City,0-1,Stockport County
Sat May 6 1922,Chesterfield,2-1,Rochdale
Sat May 6 1922,Darlington,2-0,Grimsby Town
Sat May 6 1922,Durham City,6-0,Wigan Borough
Sat May 6 1922,Crewe Alexandra,3-0,Wrexham
Sat May 6 1922,Nelson,0-0,Tranmere Rovers
Sat May 6 1922,Barrow,0-1,Hartlepool United
Sat May 6 1922,Walsall,6-1,Accrington Stanley
