Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 6 Aug 2016 (W31),Annan Athletic (1),3-2,3-1,Stirling Albion (1)
?,(Sat) 6 Aug 2016 (W31),Arbroath (1),1-1,0-0,Berwick Rangers (1)
?,(Sat) 6 Aug 2016 (W31),Clyde (1),2-1,1-0,Montrose (1)
?,(Sat) 6 Aug 2016 (W31),Cowdenbeath (1),0-1,0-0,Elgin City (1)
?,(Sat) 6 Aug 2016 (W31),Edinburgh City (1),2-3,1-2,Forfar Athletic (1)
?,(Sat) 13 Aug 2016 (W32),Berwick Rangers (2),2-0,1-0,Annan Athletic (2)
?,(Sat) 13 Aug 2016 (W32),Elgin City (2),3-0,3-0,Edinburgh City (2)
?,(Sat) 13 Aug 2016 (W32),Forfar Athletic (2),4-3,2-1,Cowdenbeath (2)
?,(Sat) 13 Aug 2016 (W32),Montrose (2),1-1,0-1,Arbroath (2)
?,(Sat) 13 Aug 2016 (W32),Stirling Albion (2),1-1,0-0,Clyde (2)
?,(Sat) 20 Aug 2016 (W33),Annan Athletic (3),3-2,1-0,Clyde (3)
?,(Sat) 20 Aug 2016 (W33),Berwick Rangers (3),1-2,0-1,Forfar Athletic (3)
?,(Sat) 20 Aug 2016 (W33),Cowdenbeath (3),2-0,1-0,Edinburgh City (3)
?,(Sat) 20 Aug 2016 (W33),Elgin City (3),0-1,0-0,Arbroath (3)
?,(Sat) 20 Aug 2016 (W33),Stirling Albion (3),2-0,0-0,Montrose (3)
?,(Sat) 27 Aug 2016 (W34),Arbroath (4),5-3,1-1,Stirling Albion (4)
?,(Sat) 27 Aug 2016 (W34),Clyde (4),5-3,3-2,Cowdenbeath (4)
?,(Sat) 27 Aug 2016 (W34),Edinburgh City (4),1-2,0-0,Berwick Rangers (4)
?,(Sat) 27 Aug 2016 (W34),Forfar Athletic (4),3-2,1-2,Elgin City (4)
?,(Sat) 27 Aug 2016 (W34),Montrose (4),2-2,0-2,Annan Athletic (4)
?,(Sat) 10 Sep 2016 (W36),Annan Athletic (5),1-2,1-0,Forfar Athletic (5)
?,(Sat) 10 Sep 2016 (W36),Berwick Rangers (5),2-4,1-2,Elgin City (5)
?,(Sat) 10 Sep 2016 (W36),Clyde (5),3-2,2-2,Arbroath (5)
?,(Sat) 10 Sep 2016 (W36),Montrose (5),1-2,1-1,Cowdenbeath (5)
?,(Sat) 10 Sep 2016 (W36),Stirling Albion (5),1-1,0-0,Edinburgh City (5)
?,(Sat) 17 Sep 2016 (W37),Arbroath (6),1-1,0-0,Annan Athletic (6)
?,(Sat) 17 Sep 2016 (W37),Cowdenbeath (6),0-2,0-2,Berwick Rangers (6)
?,(Sat) 17 Sep 2016 (W37),Edinburgh City (6),0-1,0-0,Montrose (6)
?,(Sat) 17 Sep 2016 (W37),Elgin City (6),0-2,0-2,Clyde (6)
