Date,Team 1,FT,Team 2
Sat Aug 9 1997,Chester,2-0,Lincoln City
Sat Aug 9 1997,Notts County,2-1,Rochdale
Sat Aug 9 1997,Colchester United,2-1,Darlington
Sat Aug 9 1997,Macclesfield,2-1,Torquay United
Sat Aug 9 1997,Scarborough,1-0,Cambridge United
Sat Aug 9 1997,Leyton Orient,0-1,Cardiff City
Sat Aug 9 1997,Shrewsbury Town,2-1,Doncaster Rovers
Sat Aug 9 1997,Exeter City,1-1,Hartlepool United
Sat Aug 9 1997,Mansfield Town,2-0,Hull City
Sat Aug 9 1997,Swansea City,1-0,Brighton & Hove Albion
Sat Aug 9 1997,Peterborough United,0-1,Scunthorpe United
Sat Aug 9 1997,Rotherham United,2-3,Barnet
Sat Aug 16 1997,Brighton & Hove Albion,1-1,Macclesfield
Sat Aug 16 1997,Scunthorpe United,1-0,Leyton Orient
Sat Aug 16 1997,Doncaster Rovers,0-5,Peterborough United
Sat Aug 16 1997,Lincoln City,1-0,Shrewsbury Town
Sat Aug 16 1997,Barnet,1-2,Exeter City
Sat Aug 16 1997,Rochdale,2-0,Mansfield Town
Sat Aug 16 1997,Cambridge United,2-1,Rotherham United
Sat Aug 16 1997,Torquay United,1-0,Scarborough
Sat Aug 16 1997,Hartlepool United,3-2,Colchester United
Sat Aug 16 1997,Hull City,0-3,Notts County
Fri Aug 22 1997,Scarborough,2-1,Brighton & Hove Albion
Fri Aug 22 1997,Colchester United,1-1,Barnet
Sat Aug 23 1997,Notts County,1-2,Lincoln City
Sat Aug 23 1997,Macclesfield,3-0,Doncaster Rovers
Sat Aug 23 1997,Shrewsbury Town,1-2,Torquay United
Sat Aug 23 1997,Chester,1-1,Cambridge United
Sat Aug 23 1997,Mansfield Town,1-2,Cardiff City
Sat Aug 23 1997,Leyton Orient,2-0,Rochdale
Sat Aug 23 1997,Exeter City,1-0,Darlington
Sat Aug 23 1997,Swansea City,2-0,Scunthorpe United
Sat Aug 23 1997,Peterborough United,2-0,Hull City
Sat Aug 23 1997,Rotherham United,2-1,Hartlepool United
Sat Aug 30 1997,Scunthorpe United,1-0,Mansfield Town
Sat Aug 30 1997,Brighton & Hove Albion,0-1,Leyton Orient
Sat Aug 30 1997,Lincoln City,3-3,Scarborough
Sat Aug 30 1997,Darlington,1-1,Rotherham United
Sat Aug 30 1997,Hartlepool United,0-0,Macclesfield
Sat Aug 30 1997,Cambridge United,4-3,Shrewsbury Town
Sat Aug 30 1997,Rochdale,1-2,Peterborough United
Sat Aug 30 1997,Barnet,2-1,Chester
Sat Aug 30 1997,Torquay United,1-1,Colchester United
Sat Aug 30 1997,Hull City,7-4,Swansea City
Sat Aug 30 1997,Doncaster Rovers,0-1,Exeter City
Sat Aug 30 1997,Cardiff City,1-1,Notts County
Tue Sep 2 1997,Rochdale,2-0,Macclesfield
Tue Sep 2 1997,Lincoln City,0-2,Mansfield Town
Tue Sep 2 1997,Doncaster Rovers,1-4,Leyton Orient
Tue Sep 2 1997,Hartlepool United,1-1,Notts County
Tue Sep 2 1997,Cambridge United,4-1,Colchester United
Tue Sep 2 1997,Hull City,0-0,Rotherham United
Tue Sep 2 1997,Darlington,1-2,Scarborough
Tue Sep 2 1997,Scunthorpe United,2-1,Chester
Tue Sep 2 1997,Cardiff City,2-2,Shrewsbury Town
Tue Sep 2 1997,Barnet,2-0,Swansea City
Tue Sep 2 1997,Torquay United,1-2,Exeter City
Wed Sep 3 1997,Brighton & Hove Albion,2-2,Peterborough United
Fri Sep 5 1997,Mansfield Town,1-1,Doncaster Rovers
Fri Sep 5 1997,Macclesfield,2-1,Darlington
Fri Sep 5 1997,Chester,1-0,Hull City
Fri Sep 5 1997,Swansea City,2-0,Torquay United
Fri Sep 5 1997,Leyton Orient,0-2,Cambridge United
Sun Sep 7 1997,Scarborough,1-1,Hartlepool United
Sun Sep 7 1997,Notts County,2-1,Scunthorpe United
Sun Sep 7 1997,Peterborough United,5-1,Barnet
Mon Sep 8 1997,Colchester United,3-1,Brighton & Hove Albion
Tue Sep 9 1997,Exeter City,1-1,Cardiff City
Tue Sep 9 1997,Shrewsbury Town,1-0,Rochdale
Tue Sep 9 1997,Darlington,3-2,Swansea City
Wed Sep 10 1997,Rotherham United,3-1,Lincoln City
Fri Sep 12 1997,Colchester United,1-0,Scarborough
Sat Sep 13 1997,Cambridge United,1-3,Barnet
Sat Sep 13 1997,Hull City,0-2,Lincoln City
Sat Sep 13 1997,Scunthorpe United,1-1,Doncaster Rovers
Sat Sep 13 1997,Brighton & Hove Albion,0-0,Darlington
Sat Sep 13 1997,Rotherham United,2-2,Peterborough United
Sat Sep 13 1997,Macclesfield,3-0,Swansea City
Sat Sep 13 1997,Leyton Orient,1-0,Exeter City
Sat Sep 13 1997,Chester,2-0,Shrewsbury Town
Sat Sep 13 1997,Cardiff City,2-1,Rochdale
Sat Sep 13 1997,Hartlepool United,3-0,Torquay United
Sat Sep 13 1997,Notts County,1-0,Mansfield Town
Tue Sep 16 1997,Cardiff City,0-2,Chester
Sat Sep 20 1997,Barnet,0-1,Scunthorpe United
Sat Sep 20 1997,Swansea City,0-1,Colchester United
Sat Sep 20 1997,Scarborough,2-1,Macclesfield
Sat Sep 20 1997,Darlington,1-1,Hartlepool United
Sat Sep 20 1997,Exeter City,3-1,Rotherham United
Sat Sep 20 1997,Doncaster Rovers,0-0,Cambridge United
Sat Sep 20 1997,Mansfield Town,4-1,Chester
Sat Sep 20 1997,Lincoln City,1-0,Cardiff City
Sat Sep 20 1997,Peterborough United,2-0,Leyton Orient
Sat Sep 20 1997,Torquay United,3-0,Brighton & Hove Albion
Sat Sep 20 1997,Rochdale,2-1,Hull City
Sat Sep 20 1997,Shrewsbury Town,1-2,Notts County
Sat Sep 27 1997,Brighton & Hove Albion,2-1,Rochdale
Sat Sep 27 1997,Rotherham United,4-2,Chester
Sat Sep 27 1997,Cambridge United,2-2,Cardiff City
Sat Sep 27 1997,Barnet,0-0,Lincoln City
Sat Sep 27 1997,Scunthorpe United,2-0,Hull City
Sat Sep 27 1997,Hartlepool United,2-1,Shrewsbury Town
Sat Sep 27 1997,Scarborough,1-2,Notts County
Sat Sep 27 1997,Swansea City,1-1,Leyton Orient
Sat Sep 27 1997,Darlington,0-0,Mansfield Town
Sat Sep 27 1997,Macclesfield,1-1,Peterborough United
