Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 7 Aug 2004 (W32),Berwick Rangers (1),2-1,2-0,Greenock Morton (1)
?,(Sat) 7 Aug 2004 (W32),Dumbarton (1),1-0,1-0,Ayr United (1)
?,(Sat) 7 Aug 2004 (W32),Forfar Athletic (1),1-0,1-0,Brechin City (1)
?,(Sat) 7 Aug 2004 (W32),Stirling Albion (1),5-2,2-0,Arbroath (1)
?,(Sat) 7 Aug 2004 (W32),Stranraer (1),3-0,0-0,Alloa Athletic (1)
?,(Sat) 14 Aug 2004 (W33),Alloa Athletic (2),2-3,0-0,Forfar Athletic (2)
?,(Sat) 14 Aug 2004 (W33),Arbroath (2),0-2,0-1,Dumbarton (2)
?,(Sat) 14 Aug 2004 (W33),Ayr United (2),2-1,2-0,Berwick Rangers (2)
?,(Sat) 14 Aug 2004 (W33),Brechin City (2),0-3,0-2,Stirling Albion (2)
?,(Sat) 14 Aug 2004 (W33),Greenock Morton (2),3-1,2-0,Stranraer (2)
?,(Sat) 21 Aug 2004 (W34),Berwick Rangers (3),0-2,0-0,Brechin City (3)
?,(Sat) 21 Aug 2004 (W34),Dumbarton (3),0-3,0-1,Greenock Morton (3)
?,(Sat) 21 Aug 2004 (W34),Forfar Athletic (3),5-0,1-0,Arbroath (3)
?,(Sat) 21 Aug 2004 (W34),Stirling Albion (3),2-0,0-0,Alloa Athletic (3)
?,(Sat) 21 Aug 2004 (W34),Stranraer (3),2-1,0-1,Ayr United (3)
?,(Sat) 28 Aug 2004 (W35),Arbroath (4),0-1,0-0,Stranraer (4)
?,(Sat) 28 Aug 2004 (W35),Ayr United (4),2-0,0-0,Greenock Morton (4)
?,(Sat) 28 Aug 2004 (W35),Brechin City (4),4-0,3-0,Alloa Athletic (4)
?,(Sat) 28 Aug 2004 (W35),Dumbarton (4),0-1,0-0,Forfar Athletic (4)
?,(Sat) 28 Aug 2004 (W35),Stirling Albion (4),3-1,2-0,Berwick Rangers (4)
?,(Sat) 4 Sep 2004 (W36),Alloa Athletic (5),1-3,1-2,Ayr United (5)
?,(Sat) 4 Sep 2004 (W36),Berwick Rangers (5),0-4,0-2,Dumbarton (5)
?,(Sat) 4 Sep 2004 (W36),Forfar Athletic (5),0-2,0-0,Stirling Albion (5)
?,(Sat) 4 Sep 2004 (W36),Greenock Morton (5),2-1,1-0,Arbroath (5)
?,(Sat) 4 Sep 2004 (W36),Stranraer (5),4-2,2-0,Brechin City (5)
?,(Sat) 11 Sep 2004 (W37),Ayr United (6),3-3,2-2,Forfar Athletic (6)
?,(Sat) 11 Sep 2004 (W37),Berwick Rangers (6),2-3,1-2,Alloa Athletic (6)
?,(Sat) 11 Sep 2004 (W37),Brechin City (6),4-1,1-1,Arbroath (6)
?,(Sat) 11 Sep 2004 (W37),Dumbarton (6),1-3,0-1,Stranraer (6)
?,(Sat) 11 Sep 2004 (W37),Stirling Albion (6),1-1,1-1,Greenock Morton (6)
?,(Sat) 18 Sep 2004 (W38),Alloa Athletic (7),3-2,0-1,Dumbarton (7)
?,(Sat) 18 Sep 2004 (W38),Arbroath (7),0-0,0-0,Ayr United (7)
?,(Sat) 18 Sep 2004 (W38),Forfar Athletic (7),1-1,1-0,Berwick Rangers (7)
?,(Sat) 18 Sep 2004 (W38),Greenock Morton (7),0-3,0-1,Brechin City (7)
?,(Sat) 18 Sep 2004 (W38),Stranraer (7),0-0,0-0,Stirling Albion (7)
?,(Sat) 25 Sep 2004 (W39),Alloa Athletic (8),1-6,0-1,Greenock Morton (8)
?,(Sat) 25 Sep 2004 (W39),Ayr United (8),0-1,0-0,Brechin City (8)
?,(Sat) 25 Sep 2004 (W39),Berwick Rangers (8),0-3,0-0,Arbroath (8)
?,(Sat) 25 Sep 2004 (W39),Dumbarton (8),1-1,1-0,Stirling Albion (8)
?,(Sat) 25 Sep 2004 (W39),Forfar Athletic (8),0-1,0-0,Stranraer (8)
?,(Sat) 2 Oct 2004 (W40),Arbroath (9),0-3,0-1,Alloa Athletic (9)
?,(Sat) 2 Oct 2004 (W40),Brechin City (9),4-0,0-0,Dumbarton (9)
?,(Sat) 2 Oct 2004 (W40),Greenock Morton (9),2-1,0-1,Forfar Athletic (9)
?,(Sat) 2 Oct 2004 (W40),Stirling Albion (9),1-1,0-0,Ayr United (9)
?,(Sat) 2 Oct 2004 (W40),Stranraer (9),2-2,1-2,Berwick Rangers (9)
?,(Sat) 16 Oct 2004 (W42),Berwick Rangers (10),0-1,0-0,Ayr United (10)
?,(Sat) 16 Oct 2004 (W42),Dumbarton (10),1-3,0-2,Arbroath (10)
?,(Sat) 16 Oct 2004 (W42),Forfar Athletic (10),3-1,2-0,Alloa Athletic (10)
?,(Sat) 16 Oct 2004 (W42),Stirling Albion (10),1-5,0-1,Brechin City (10)
?,(Sat) 16 Oct 2004 (W42),Stranraer (10),1-0,0-0,Greenock Morton (10)
?,(Sat) 23 Oct 2004 (W43),Alloa Athletic (11),1-2,0-2,Stranraer (11)
?,(Sat) 23 Oct 2004 (W43),Arbroath (11),2-1,1-0,Stirling Albion (11)
?,(Sat) 23 Oct 2004 (W43),Ayr United (11),0-1,0-0,Dumbarton (11)
?,(Sat) 23 Oct 2004 (W43),Brechin City (11),2-0,1-0,Forfar Athletic (11)
?,(Sat) 23 Oct 2004 (W43),Greenock Morton (11),2-0,1-0,Berwick Rangers (11)
?,(Sat) 30 Oct 2004 (W44),Alloa Athletic (12),2-2,1-1,Brechin City (12)
?,(Sat) 30 Oct 2004 (W44),Berwick Rangers (12),0-1,0-0,Stirling Albion (12)
?,(Sat) 30 Oct 2004 (W44),Forfar Athletic (12),0-2,0-0,Dumbarton (12)
?,(Sat) 30 Oct 2004 (W44),Greenock Morton (12),0-1,0-0,Ayr United (12)
?,(Sat) 30 Oct 2004 (W44),Stranraer (12),2-1,1-1,Arbroath (12)
?,(Sat) 6 Nov 2004 (W45),Arbroath (13),0-3,0-0,Greenock Morton (13)
?,(Sat) 6 Nov 2004 (W45),Ayr United (13),4-3,1-1,Alloa Athletic (13)
?,(Sat) 6 Nov 2004 (W45),Brechin City (13),4-1,2-1,Stranraer (13)
?,(Sat) 6 Nov 2004 (W45),Dumbarton (13),3-1,2-0,Berwick Rangers (13)
?,(Sat) 6 Nov 2004 (W45),Stirling Albion (13),3-1,1-0,Forfar Athletic (13)
?,(Sat) 13 Nov 2004 (W46),Alloa Athletic (14),2-2,1-1,Berwick Rangers (14)
?,(Sat) 13 Nov 2004 (W46),Arbroath (14),2-2,0-1,Brechin City (14)
?,(Sat) 13 Nov 2004 (W46),Forfar Athletic (14),2-3,2-1,Ayr United (14)
?,(Sat) 13 Nov 2004 (W46),Greenock Morton (14),3-0,1-0,Stirling Albion (14)
?,(Sat) 13 Nov 2004 (W46),Stranraer (14),1-0,0-0,Dumbarton (14)
?,(Sat) 20 Nov 2004 (W47),Stirling Albion (15),0-1,0-1,Berwick Rangers (15)
?,(Sat) 27 Nov 2004 (W48),Ayr United (15),1-1,1-0,Arbroath (15)
?,(Sat) 27 Nov 2004 (W48),Brechin City (15),2-1,1-0,Greenock Morton (15)
?,(Sat) 27 Nov 2004 (W48),Stirling Albion (16),1-1,0-0,Stranraer (15)
?,(Tue) 30 Nov 2004 (W49),Berwick Rangers (16),1-0,0-0,Forfar Athletic (15)
?,(Tue) 30 Nov 2004 (W49),Dumbarton (15),0-1,0-0,Alloa Athletic (15)
?,(Sat) 4 Dec 2004 (W49),Arbroath (16),1-1,0-1,Berwick Rangers (17)
?,(Sat) 4 Dec 2004 (W49),Brechin City (16),5-0,4-0,Ayr United (16)
?,(Sat) 4 Dec 2004 (W49),Greenock Morton (16),2-2,2-1,Alloa Athletic (16)
?,(Sat) 4 Dec 2004 (W49),Stirling Albion (17),1-0,0-0,Dumbarton (16)
?,(Sat) 4 Dec 2004 (W49),Stranraer (16),1-0,0-0,Forfar Athletic (16)
?,(Sat) 18 Dec 2004 (W51),Alloa Athletic (17),4-2,0-1,Arbroath (17)
?,(Sat) 18 Dec 2004 (W51),Ayr United (17),3-2,1-0,Stirling Albion (18)
?,(Mon) 27 Dec 2004 (W53),Berwick Rangers (18),2-2,1-1,Greenock Morton (17)
?,(Mon) 27 Dec 2004 (W53),Dumbarton (17),1-1,1-1,Ayr United (18)
?,(Mon) 27 Dec 2004 (W53),Forfar Athletic (17),1-3,1-1,Brechin City (17)
?,(Mon) 27 Dec 2004 (W53),Stirling Albion (19),0-3,0-1,Arbroath (18)
