Date,Team 1,FT,Team 2
Sat Aug 25 1973,Bury,4-0,Torquay United
Sat Aug 25 1973,Swansea City,2-0,Chester
Sat Aug 25 1973,Crewe Alexandra,1-0,Gillingham
Sat Aug 25 1973,Exeter City,0-0,Bradford City
Sat Aug 25 1973,Barnsley,0-1,Colchester United
Sat Aug 25 1973,Peterborough United,2-1,Mansfield Town
Sat Aug 25 1973,Doncaster Rovers,1-1,Stockport County
Sat Aug 25 1973,Northampton Town,3-1,Rotherham United
Sat Aug 25 1973,Darlington,0-0,Workington
Sat Aug 25 1973,Lincoln City,1-0,Scunthorpe United
Sat Aug 25 1973,Newport County,0-0,Reading
Sat Aug 25 1973,Hartlepool United,1-0,Brentford
Fri Aug 31 1973,Chester,3-1,Hartlepool United
Sat Sep 1 1973,Gillingham,1-1,Newport County
Sat Sep 1 1973,Stockport County,1-1,Peterborough United
Sat Sep 1 1973,Brentford,0-1,Exeter City
Sat Sep 1 1973,Workington,0-0,Bury
Sat Sep 1 1973,Torquay United,2-1,Lincoln City
Sat Sep 1 1973,Colchester United,3-2,Crewe Alexandra
Sat Sep 1 1973,Scunthorpe United,3-0,Barnsley
Sat Sep 1 1973,Mansfield Town,2-0,Northampton Town
Sat Sep 1 1973,Bradford City,1-1,Doncaster Rovers
Sat Sep 1 1973,Reading,2-0,Darlington
Sat Sep 1 1973,Rotherham United,1-0,Swansea City
Fri Sep 7 1973,Northampton Town,0-0,Colchester United
Fri Sep 7 1973,Doncaster Rovers,0-1,Torquay United
Sat Sep 8 1973,Lincoln City,1-1,Stockport County
Sat Sep 8 1973,Exeter City,1-1,Workington
Sat Sep 8 1973,Hartlepool United,1-2,Reading
Sat Sep 8 1973,Bury,3-0,Bradford City
Sat Sep 8 1973,Darlington,1-2,Brentford
Sat Sep 8 1973,Swansea City,0-3,Gillingham
Sat Sep 8 1973,Peterborough United,1-0,Scunthorpe United
Sat Sep 8 1973,Newport County,0-2,Chester
Sat Sep 8 1973,Barnsley,1-1,Mansfield Town
Sat Sep 8 1973,Crewe Alexandra,1-8,Rotherham United
Mon Sep 10 1973,Stockport County,1-1,Mansfield Town
Mon Sep 10 1973,Brentford,0-0,Torquay United
Tue Sep 11 1973,Northampton Town,1-0,Newport County
Tue Sep 11 1973,Bury,1-0,Hartlepool United
Tue Sep 11 1973,Colchester United,0-0,Reading
Tue Sep 11 1973,Doncaster Rovers,1-0,Barnsley
Wed Sep 12 1973,Crewe Alexandra,0-0,Swansea City
Wed Sep 12 1973,Exeter City,3-0,Darlington
Wed Sep 12 1973,Chester,1-0,Workington
Wed Sep 12 1973,Gillingham,7-2,Scunthorpe United
Wed Sep 12 1973,Lincoln City,1-1,Peterborough United
Wed Sep 12 1973,Bradford City,2-1,Rotherham United
Fri Sep 14 1973,Stockport County,2-2,Northampton Town
Fri Sep 14 1973,Scunthorpe United,0-0,Crewe Alexandra
