Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 8 Aug 2015 (31),Arbroath (1),0-3,0-2,Elgin City (1)
?,(Sat) 8 Aug 2015 (31),Berwick Rangers (1),2-1,1-1,Montrose (1)
?,(Sat) 8 Aug 2015 (31),East Stirlingshire FC (1),1-0,0-0,East Fife (1)
?,(Sat) 8 Aug 2015 (31),Queen's Park (1),0-1,0-0,Annan Athletic (1)
?,(Sat) 8 Aug 2015 (31),Stirling Albion (1),0-1,0-0,Clyde (1)
?,(Sat) 15 Aug 2015 (32),Annan Athletic (2),1-1,0-0,Stirling Albion (2)
?,(Sat) 15 Aug 2015 (32),Clyde (2),0-2,0-0,Queen's Park (2)
?,(Sat) 15 Aug 2015 (32),East Fife (2),5-0,3-0,Berwick Rangers (2)
?,(Sat) 15 Aug 2015 (32),Elgin City (2),4-0,2-0,East Stirlingshire FC (2)
?,(Sat) 15 Aug 2015 (32),Montrose (2),3-0,2-0,Arbroath (2)
?,(Sat) 22 Aug 2015 (33),Arbroath (3),1-2,0-1,Queen's Park (3)
?,(Sat) 22 Aug 2015 (33),East Fife (3),2-1,1-1,Elgin City (3)
?,(Sat) 22 Aug 2015 (33),East Stirlingshire FC (3),3-1,1-1,Annan Athletic (3)
?,(Sat) 22 Aug 2015 (33),Montrose (3),2-0,0-0,Clyde (3)
?,(Sat) 22 Aug 2015 (33),Stirling Albion (3),1-3,0-2,Berwick Rangers (3)
?,(Sat) 29 Aug 2015 (34),Annan Athletic (4),3-2,2-0,Montrose (4)
?,(Sat) 29 Aug 2015 (34),Berwick Rangers (4),2-2,2-1,Arbroath (4)
?,(Sat) 29 Aug 2015 (34),Clyde (4),3-1,0-0,East Stirlingshire FC (4)
?,(Sat) 29 Aug 2015 (34),Elgin City (4),1-0,1-0,Stirling Albion (4)
?,(Sat) 29 Aug 2015 (34),Queen's Park (4),0-2,0-1,East Fife (4)
?,(Sat) 5 Sep 2015 (35),Annan Athletic (5),2-0,1-0,East Fife (5)
?,(Sat) 5 Sep 2015 (35),Arbroath (5),0-1,0-1,Clyde (5)
?,(Sat) 5 Sep 2015 (35),Berwick Rangers (5),1-0,1-0,Queen's Park (5)
?,(Sat) 5 Sep 2015 (35),East Stirlingshire FC (5),2-3,1-2,Stirling Albion (5)
?,(Sat) 5 Sep 2015 (35),Montrose (5),2-0,1-0,Elgin City (5)
?,(Sat) 12 Sep 2015 (36),Clyde (6),4-2,3-1,Annan Athletic (6)
?,(Sat) 12 Sep 2015 (36),East Fife (6),0-1,0-0,Arbroath (6)
?,(Sat) 12 Sep 2015 (36),Elgin City (6),4-1,1-1,Berwick Rangers (6)
?,(Sat) 12 Sep 2015 (36),Queen's Park (6),5-1,2-0,East Stirlingshire FC (6)
?,(Sat) 12 Sep 2015 (36),Stirling Albion (6),1-0,0-0,Montrose (6)
?,(Sat) 19 Sep 2015 (37),Arbroath (7),2-0,0-0,Stirling Albion (7)
?,(Sat) 19 Sep 2015 (37),Berwick Rangers (7),0-2,0-1,Annan Athletic (7)
?,(Sat) 19 Sep 2015 (37),East Fife (7),1-0,1-0,Clyde (7)
?,(Sat) 19 Sep 2015 (37),Montrose (7),2-1,2-0,East Stirlingshire FC (7)
?,(Sat) 19 Sep 2015 (37),Queen's Park (7),3-1,1-0,Elgin City (7)
?,(Sat) 26 Sep 2015 (38),Annan Athletic (8),1-1,1-0,Elgin City (8)
?,(Sat) 26 Sep 2015 (38),Clyde (8),1-1,1-0,Berwick Rangers (8)
?,(Sat) 26 Sep 2015 (38),East Stirlingshire FC (8),0-4,0-1,Arbroath (8)
?,(Sat) 26 Sep 2015 (38),Montrose (8),1-4,1-1,East Fife (8)
