Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 7 Aug 2015 (W32),Rangers FC (1),3-1,2-1,Saint Mirren FC (1)
?,(Sat) 8 Aug 2015 (W32),Dumbarton (1),2-1,1-1,Hibernian FC (1)
?,(Sat) 8 Aug 2015 (W32),Greenock Morton (1),1-1,0-1,Falkirk (1)
?,(Sat) 8 Aug 2015 (W32),Queen of the South (1),3-1,3-0,Alloa Athletic (1)
?,(Sat) 8 Aug 2015 (W32),Raith Rovers (1),3-0,2-0,Livingston FC (1)
?,(Sat) 15 Aug 2015 (W33),Falkirk (2),1-0,0-0,Raith Rovers (2)
?,(Sat) 15 Aug 2015 (W33),Hibernian FC (2),1-0,0-0,Greenock Morton (2)
?,(Sat) 15 Aug 2015 (W33),Livingston FC (2),0-1,0-0,Queen of the South (2)
?,(Sat) 15 Aug 2015 (W33),Saint Mirren FC (2),1-2,0-1,Dumbarton (2)
?,(Sun) 16 Aug 2015 (W33),Alloa Athletic (2),1-5,1-4,Rangers FC (2)
?,(Fri) 21 Aug 2015 (W34),Greenock Morton (3),0-0,0-0,Saint Mirren FC (3)
?,(Sat) 22 Aug 2015 (W34),Dumbarton (3),0-2,0-1,Queen of the South (3)
?,(Sat) 22 Aug 2015 (W34),Livingston FC (3),1-2,0-1,Falkirk (3)
?,(Sat) 22 Aug 2015 (W34),Raith Rovers (3),3-0,0-0,Alloa Athletic (3)
?,(Sun) 23 Aug 2015 (W34),Rangers FC (3),1-0,0-0,Hibernian FC (3)
?,(Fri) 28 Aug 2015 (W35),Falkirk (4),2-1,2-1,Dumbarton (4)
?,(Sat) 29 Aug 2015 (W35),Alloa Athletic (4),0-1,0-0,Greenock Morton (4)
?,(Sat) 29 Aug 2015 (W35),Hibernian FC (4),2-0,1-0,Raith Rovers (4)
?,(Sat) 29 Aug 2015 (W35),Saint Mirren FC (4),1-1,1-1,Livingston FC (4)
?,(Sun) 30 Aug 2015 (W35),Queen of the South (4),1-5,0-1,Rangers FC (4)
?,(Sat) 5 Sep 2015 (W36),Dumbarton (5),0-2,0-0,Alloa Athletic (5)
?,(Sat) 5 Sep 2015 (W36),Livingston FC (5),2-4,0-1,Greenock Morton (5)
?,(Sat) 5 Sep 2015 (W36),Queen of the South (5),0-2,0-2,Saint Mirren FC (5)
?,(Sat) 5 Sep 2015 (W36),Rangers FC (5),5-0,2-0,Raith Rovers (5)
?,(Sat) 12 Sep 2015 (W37),Hibernian FC (5),3-0,1-0,Alloa Athletic (6)
?,(Sat) 12 Sep 2015 (W37),Greenock Morton (6),0-0,0-0,Dumbarton (6)
