Date,Team 1,FT,Team 2
Sat Aug 31 1929,Wolverhampton Wanderers,2-4,West Bromwich Albion
Sat Aug 31 1929,Bury,0-2,Oldham Athletic
Sat Aug 31 1929,Blackpool,4-3,Millwall
Sat Aug 31 1929,Reading,2-0,Preston North End
Sat Aug 31 1929,Charlton Athletic,4-1,Cardiff City
Sat Aug 31 1929,Stoke City,2-0,Bradford City
Sat Aug 31 1929,Bradford Park Avenue,2-1,Tottenham Hotspur
Sat Aug 31 1929,Notts County,3-1,Bristol City
Sat Aug 31 1929,Chelsea,2-0,Nottingham Forest
Sat Aug 31 1929,Hull City,1-0,Swansea City
Sat Aug 31 1929,Barnsley,3-1,Southampton
Mon Sep 2 1929,Stoke City,2-1,Charlton Athletic
Mon Sep 2 1929,Southampton,2-2,Hull City
Mon Sep 2 1929,Blackpool,2-1,Bury
Mon Sep 2 1929,Cardiff City,2-0,Preston North End
Mon Sep 2 1929,Bradford City,2-0,Notts County
Mon Sep 2 1929,West Bromwich Albion,0-3,Oldham Athletic
Mon Sep 2 1929,Millwall,2-5,Tottenham Hotspur
Mon Sep 2 1929,Swansea City,1-1,Bristol City
Wed Sep 4 1929,Bradford Park Avenue,5-1,Nottingham Forest
Wed Sep 4 1929,Reading,3-1,Wolverhampton Wanderers
Sat Sep 7 1929,Millwall,2-4,Bury
Sat Sep 7 1929,Oldham Athletic,4-2,Chelsea
Sat Sep 7 1929,Preston North End,0-3,Charlton Athletic
Sat Sep 7 1929,Southampton,4-2,Blackpool
Sat Sep 7 1929,West Bromwich Albion,5-0,Bradford Park Avenue
Sat Sep 7 1929,Nottingham Forest,1-1,Notts County
Sat Sep 7 1929,Bradford City,2-2,Wolverhampton Wanderers
Sat Sep 7 1929,Swansea City,2-2,Stoke City
Sat Sep 7 1929,Tottenham Hotspur,2-1,Barnsley
Sat Sep 7 1929,Cardiff City,0-1,Hull City
Sat Sep 7 1929,Bristol City,5-3,Reading
Mon Sep 9 1929,Preston North End,2-3,Cardiff City
Mon Sep 9 1929,Blackpool,5-1,Nottingham Forest
Mon Sep 9 1929,Wolverhampton Wanderers,2-1,Reading
Mon Sep 9 1929,Southampton,3-2,West Bromwich Albion
Mon Sep 9 1929,Charlton Athletic,4-4,Stoke City
Mon Sep 9 1929,Notts County,2-0,Bradford City
Wed Sep 11 1929,Chelsea,2-0,Barnsley
Wed Sep 11 1929,Bristol City,2-1,Swansea City
Sat Sep 14 1929,Charlton Athletic,3-1,Bristol City
Sat Sep 14 1929,Chelsea,3-0,Millwall
Sat Sep 14 1929,Wolverhampton Wanderers,4-1,Swansea City
Sat Sep 14 1929,Hull City,2-0,Preston North End
Sat Sep 14 1929,Barnsley,2-2,West Bromwich Albion
Sat Sep 14 1929,Stoke City,1-1,Cardiff City
Sat Sep 14 1929,Blackpool,3-2,Tottenham Hotspur
Sat Sep 14 1929,Reading,2-0,Notts County
Sat Sep 14 1929,Bradford Park Avenue,0-2,Bradford City
Sat Sep 14 1929,Bury,4-2,Southampton
Sat Sep 14 1929,Nottingham Forest,1-2,Oldham Athletic
Mon Sep 16 1929,Swansea City,0-1,Reading
Mon Sep 16 1929,Hull City,2-0,Southampton
Mon Sep 16 1929,Cardiff City,3-1,Notts County
