Date,Team 1,FT,Team 2
Sat Aug 31 1929,Watford,2-0,Torquay United
Sat Aug 31 1929,Southend United,2-1,Newport County
Sat Aug 31 1929,Gillingham,2-1,Walsall
Sat Aug 31 1929,Coventry City,2-2,Merthyr Town
Sat Aug 31 1929,Exeter City,2-2,Luton Town
Sat Aug 31 1929,Leyton Orient,0-2,Plymouth Argyle
Sat Aug 31 1929,Norwich City,0-4,Fulham
Sat Aug 31 1929,Northampton Town,2-0,AFC Bournemouth
Sat Aug 31 1929,Brentford,3-2,Swindon Town
Sat Aug 31 1929,Bristol Rovers,1-0,Brighton & Hove Albion
Sat Aug 31 1929,Crystal Palace,1-1,Queens Park Rangers
Mon Sep 2 1929,Merthyr Town,1-0,Northampton Town
Mon Sep 2 1929,Luton Town,1-1,Norwich City
Mon Sep 2 1929,Fulham,3-3,AFC Bournemouth
Mon Sep 2 1929,Bristol Rovers,1-3,Coventry City
Mon Sep 2 1929,Southend United,3-2,Crystal Palace
Wed Sep 4 1929,Torquay United,3-4,Plymouth Argyle
Wed Sep 4 1929,Brighton & Hove Albion,2-1,Watford
Wed Sep 4 1929,Exeter City,3-0,Gillingham
Wed Sep 4 1929,Brentford,3-1,Leyton Orient
Thu Sep 5 1929,Newport County,2-1,Swindon Town
Thu Sep 5 1929,Queens Park Rangers,2-2,Walsall
Sat Sep 7 1929,Luton Town,0-3,Southend United
Sat Sep 7 1929,Walsall,1-2,Northampton Town
Sat Sep 7 1929,Queens Park Rangers,2-1,Gillingham
Sat Sep 7 1929,Newport County,1-0,Watford
Sat Sep 7 1929,Brighton & Hove Albion,6-3,Norwich City
Sat Sep 7 1929,Torquay United,1-3,Coventry City
Sat Sep 7 1929,Merthyr Town,0-1,Leyton Orient
Sat Sep 7 1929,Plymouth Argyle,1-1,Brentford
Sat Sep 7 1929,AFC Bournemouth,3-0,Exeter City
Sat Sep 7 1929,Swindon Town,2-2,Bristol Rovers
Sat Sep 7 1929,Fulham,1-2,Crystal Palace
Mon Sep 9 1929,Norwich City,1-1,Luton Town
Mon Sep 9 1929,Coventry City,1-0,Bristol Rovers
Mon Sep 9 1929,Walsall,4-0,Queens Park Rangers
Mon Sep 9 1929,Swindon Town,5-1,Newport County
Mon Sep 9 1929,Northampton Town,2-0,Merthyr Town
Wed Sep 11 1929,Crystal Palace,1-2,Southend United
Wed Sep 11 1929,AFC Bournemouth,5-0,Fulham
