Date,Team 1,FT,Team 2
Thu Sep 1 1898,Lincoln City,1-0,Barnsley
Sat Sep 3 1898,Leicester City,3-2,Lincoln City
Sat Sep 3 1898,Gainsborough Trinity,0-2,Manchester United
Sat Sep 3 1898,Port Vale,2-0,Barnsley
Sat Sep 3 1898,Walsall,7-0,Loughborough
Sat Sep 3 1898,Luton Town,0-1,Arsenal
Sat Sep 3 1898,Burton Swifts,2-6,Birmingham City
Sat Sep 3 1898,Glossop North End,4-1,Blackpool
Sat Sep 3 1898,Manchester City,7-2,Grimsby Town
Mon Sep 5 1898,Birmingham City,4-1,Lincoln City
Mon Sep 5 1898,Port Vale,3-0,Arsenal
Sat Sep 10 1898,Blackpool,1-2,Walsall
Sat Sep 10 1898,Loughborough,1-0,Burton Swifts
Sat Sep 10 1898,Barnsley,2-1,Luton Town
Sat Sep 10 1898,Birmingham City,1-2,Port Vale
Sat Sep 10 1898,Grimsby Town,1-1,Glossop North End
Sat Sep 10 1898,New Brighton Tower,3-2,Gainsborough Trinity
Sat Sep 10 1898,Arsenal,4-0,Leicester City
Sat Sep 10 1898,Lincoln City,2-0,Darwen
Sat Sep 10 1898,Manchester United,3-0,Manchester City
Sat Sep 17 1898,Port Vale,3-0,Loughborough
Sat Sep 17 1898,Walsall,4-1,Grimsby Town
Sat Sep 17 1898,Manchester City,1-1,New Brighton Tower
Sat Sep 17 1898,Birmingham City,3-1,Barnsley
Sat Sep 17 1898,Burton Swifts,3-1,Blackpool
Sat Sep 17 1898,Darwen,1-4,Arsenal
Sat Sep 17 1898,Glossop North End,1-2,Manchester United
Sat Sep 17 1898,Leicester City,1-1,Luton Town
Sat Sep 17 1898,Gainsborough Trinity,2-2,Lincoln City
Sat Sep 24 1898,Barnsley,3-4,Leicester City
Sat Sep 24 1898,Blackpool,0-4,Port Vale
Sat Sep 24 1898,Manchester United,1-0,Walsall
Sat Sep 24 1898,Lincoln City,3-1,Manchester City
Sat Sep 24 1898,Luton Town,8-1,Darwen
Sat Sep 24 1898,Grimsby Town,1-3,Burton Swifts
Sat Sep 24 1898,Arsenal,5-1,Gainsborough Trinity
Sat Sep 24 1898,Loughborough,1-1,Birmingham City
Sat Sep 24 1898,New Brighton Tower,2-2,Glossop North End
Mon Sep 26 1898,Walsall,1-1,Leicester City
Sat Oct 1 1898,Burton Swifts,5-1,Manchester United
Sat Oct 1 1898,Glossop North End,2-0,Lincoln City
Sat Oct 1 1898,Walsall,1-1,New Brighton Tower
Sat Oct 1 1898,Darwen,3-0,Leicester City
Sat Oct 1 1898,Gainsborough Trinity,2-3,Luton Town
Sat Oct 1 1898,Port Vale,2-0,Grimsby Town
Sat Oct 1 1898,Manchester City,3-1,Arsenal
Sat Oct 8 1898,Blackpool,2-1,Loughborough
Sat Oct 8 1898,New Brighton Tower,2-2,Burton Swifts
Sat Oct 8 1898,Manchester United,2-1,Port Vale
Sat Oct 8 1898,Leicester City,1-0,Gainsborough Trinity
Sat Oct 8 1898,Barnsley,6-0,Darwen
Sat Oct 8 1898,Grimsby Town,2-0,Birmingham City
Sat Oct 8 1898,Lincoln City,1-1,Walsall
Sat Oct 8 1898,Luton Town,0-3,Manchester City
Sat Oct 15 1898,Glossop North End,5-0,Luton Town
