Date,Team 1,FT,Team 2
Sat Aug 31 1946,Burnley,1-1,Coventry City
Sat Aug 31 1946,Leicester City,0-3,Manchester City
Sat Aug 31 1946,Bury,7-2,Fulham
Sat Aug 31 1946,Luton Town,4-1,Sheffield Wednesday
Sat Aug 31 1946,Tottenham Hotspur,1-2,Birmingham City
Sat Aug 31 1946,Chesterfield,1-1,Bradford Park Avenue
Sat Aug 31 1946,Plymouth Argyle,3-1,West Ham United
Sat Aug 31 1946,Millwall,1-4,Newcastle United
Sat Aug 31 1946,Swansea City,2-3,West Bromwich Albion
Sat Aug 31 1946,Barnsley,3-2,Nottingham Forest
Mon Sep 2 1946,Sheffield Wednesday,2-4,Barnsley
Mon Sep 2 1946,Coventry City,3-2,West Bromwich Albion
Mon Sep 2 1946,West Ham United,3-2,Fulham
Mon Sep 2 1946,Millwall,1-1,Plymouth Argyle
Wed Sep 4 1946,Southampton,4-0,Swansea City
Wed Sep 4 1946,Birmingham City,4-0,Leicester City
Wed Sep 4 1946,Bradford Park Avenue,2-1,Luton Town
Wed Sep 4 1946,Manchester City,3-1,Bury
Thu Sep 5 1946,Nottingham Forest,0-2,Newcastle United
Sat Sep 7 1946,West Bromwich Albion,3-2,Tottenham Hotspur
Sat Sep 7 1946,Manchester City,0-0,Chesterfield
Sat Sep 7 1946,Bradford Park Avenue,0-0,Millwall
Sat Sep 7 1946,Newcastle United,1-1,Swansea City
Sat Sep 7 1946,Birmingham City,0-2,Burnley
Sat Sep 7 1946,Coventry City,1-1,Barnsley
Sat Sep 7 1946,Fulham,2-1,Luton Town
Sat Sep 7 1946,Nottingham Forest,6-1,Newport County
Sat Sep 7 1946,Sheffield Wednesday,2-1,Plymouth Argyle
Sat Sep 7 1946,Southampton,1-1,Bury
Sat Sep 7 1946,West Ham United,0-2,Leicester City
Mon Sep 9 1946,Barnsley,4-1,Sheffield Wednesday
Mon Sep 9 1946,Swansea City,3-2,Nottingham Forest
Mon Sep 9 1946,Tottenham Hotspur,2-1,Southampton
Mon Sep 9 1946,Burnley,3-2,Newport County
Mon Sep 9 1946,Fulham,3-2,West Ham United
Wed Sep 11 1946,Newcastle United,3-1,Coventry City
Wed Sep 11 1946,Plymouth Argyle,1-0,Chesterfield
Wed Sep 11 1946,Luton Town,3-0,Millwall
Thu Sep 12 1946,Leicester City,2-1,Birmingham City
Sat Sep 14 1946,Newport County,4-2,Coventry City
Sat Sep 14 1946,Burnley,0-2,West Bromwich Albion
Sat Sep 14 1946,Chesterfield,3-1,West Ham United
Sat Sep 14 1946,Tottenham Hotspur,1-1,Newcastle United
Sat Sep 14 1946,Southampton,5-2,Nottingham Forest
Sat Sep 14 1946,Plymouth Argyle,2-2,Fulham
Sat Sep 14 1946,Leicester City,3-5,Sheffield Wednesday
Sat Sep 14 1946,Luton Town,2-0,Bury
Sat Sep 14 1946,Millwall,1-3,Manchester City
Sat Sep 14 1946,Barnsley,3-1,Birmingham City
Sat Sep 14 1946,Swansea City,1-6,Bradford Park Avenue
Mon Sep 16 1946,Coventry City,1-1,Newcastle United
Mon Sep 16 1946,Sheffield Wednesday,1-1,Fulham
Mon Sep 16 1946,Barnsley,1-0,Burnley
Wed Sep 18 1946,West Bromwich Albion,3-0,Birmingham City
Wed Sep 18 1946,Bury,2-2,Manchester City
Thu Sep 19 1946,Leicester City,0-1,Chesterfield
Thu Sep 19 1946,Newport County,2-4,Tottenham Hotspur
Sat Sep 21 1946,West Bromwich Albion,2-5,Barnsley
Sat Sep 21 1946,Birmingham City,1-1,Newport County
Sat Sep 21 1946,Bury,3-3,Plymouth Argyle
Sat Sep 21 1946,Swansea City,0-2,Tottenham Hotspur
Sat Sep 21 1946,Fulham,4-2,Leicester City
Sat Sep 21 1946,Coventry City,2-0,Southampton
Sat Sep 21 1946,Newcastle United,1-2,Burnley
Sat Sep 21 1946,West Ham United,3-1,Millwall
Sat Sep 21 1946,Nottingham Forest,4-2,Luton Town
Sat Sep 21 1946,Sheffield Wednesday,0-1,Chesterfield
Sat Sep 21 1946,Manchester City,7-2,Bradford Park Avenue
Wed Sep 25 1946,Birmingham City,1-0,West Bromwich Albion
Wed Sep 25 1946,Bradford Park Avenue,2-2,Bury
Sat Sep 28 1946,Tottenham Hotspur,0-0,Manchester City
Sat Sep 28 1946,Barnsley,1-1,Newcastle United
Sat Sep 28 1946,Nottingham Forest,1-0,Coventry City
Sat Sep 28 1946,Chesterfield,1-1,Fulham
Sat Sep 28 1946,Millwall,2-2,Sheffield Wednesday
Sat Sep 28 1946,Newport County,2-7,West Bromwich Albion
Sat Sep 28 1946,Burnley,1-0,Swansea City
Sat Sep 28 1946,Southampton,1-0,Birmingham City
Sat Sep 28 1946,Bradford Park Avenue,0-1,West Ham United
Sat Sep 28 1946,Leicester City,0-0,Bury
Sat Sep 28 1946,Plymouth Argyle,2-1,Luton Town
Mon Sep 30 1946,Burnley,2-2,Barnsley
Thu Oct 3 1946,Swansea City,4-2,Southampton
Sat Oct 5 1946,Sheffield Wednesday,1-2,Bradford Park Avenue
Sat Oct 5 1946,Swansea City,2-2,Barnsley
Sat Oct 5 1946,Fulham,3-2,Millwall
Sat Oct 5 1946,Birmingham City,4-0,Nottingham Forest
Sat Oct 5 1946,West Bromwich Albion,2-0,Southampton
Sat Oct 5 1946,Bury,0-2,Chesterfield
Sat Oct 5 1946,Luton Town,1-2,Leicester City
Sat Oct 5 1946,Plymouth Argyle,2-2,Coventry City
Sat Oct 5 1946,Newcastle United,13-0,Newport County
Sat Oct 5 1946,Tottenham Hotspur,1-1,Burnley
Sat Oct 5 1946,West Ham United,1-0,Manchester City
Mon Oct 7 1946,Millwall,2-0,Luton Town
Mon Oct 7 1946,Tottenham Hotspur,3-1,Newport County
Sat Oct 12 1946,Southampton,1-1,Newcastle United
Sat Oct 12 1946,Newport County,2-4,Swansea City
Sat Oct 12 1946,Chesterfield,2-1,Luton Town
Sat Oct 12 1946,Barnsley,1-3,Tottenham Hotspur
Sat Oct 12 1946,Millwall,1-0,Bury
Sat Oct 12 1946,Burnley,2-1,West Ham United
Sat Oct 12 1946,Coventry City,0-0,Birmingham City
Sat Oct 12 1946,Nottingham Forest,1-1,West Bromwich Albion
Sat Oct 12 1946,Manchester City,2-1,Sheffield Wednesday
Sat Oct 12 1946,Leicester City,4-1,Plymouth Argyle
Sat Oct 12 1946,Bradford Park Avenue,1-2,Fulham
Sat Oct 19 1946,Chesterfield,0-1,Birmingham City
Sat Oct 19 1946,Millwall,1-2,West Bromwich Albion
Sat Oct 19 1946,Sheffield Wednesday,1-2,Burnley
Sat Oct 19 1946,West Ham United,2-2,Tottenham Hotspur
Sat Oct 19 1946,Leicester City,1-0,Coventry City
Sat Oct 19 1946,Bradford Park Avenue,2-1,Newcastle United
Sat Oct 19 1946,Manchester City,1-1,Swansea City
Sat Oct 19 1946,Fulham,6-1,Barnsley
Sat Oct 19 1946,Bury,0-1,Newport County
Sat Oct 19 1946,Plymouth Argyle,2-0,Nottingham Forest
Sat Oct 19 1946,Luton Town,2-2,Southampton
Thu Oct 24 1946,Newport County,1-2,Southampton
Sat Oct 26 1946,Burnley,2-0,Fulham
Sat Oct 26 1946,Barnsley,4-0,Bury
Sat Oct 26 1946,Nottingham Forest,2-0,Leicester City
Sat Oct 26 1946,Newcastle United,3-2,Manchester City
Sat Oct 26 1946,Tottenham Hotspur,2-0,Sheffield Wednesday
Sat Oct 26 1946,Birmingham City,4-0,Millwall
Sat Oct 26 1946,Coventry City,1-1,Chesterfield
Sat Oct 26 1946,Southampton,5-1,Plymouth Argyle
Sat Oct 26 1946,Swansea City,2-1,West Ham United
Sat Oct 26 1946,West Bromwich Albion,1-1,Bradford Park Avenue
Sat Oct 26 1946,Newport County,1-3,Luton Town
Sat Nov 2 1946,Bury,2-2,Burnley
Sat Nov 2 1946,Millwall,3-5,Coventry City
Sat Nov 2 1946,West Ham United,0-2,Newcastle United
Sat Nov 2 1946,Manchester City,5-0,West Bromwich Albion
Sat Nov 2 1946,Sheffield Wednesday,3-0,Swansea City
Sat Nov 2 1946,Fulham,1-1,Tottenham Hotspur
Sat Nov 2 1946,Plymouth Argyle,4-1,Newport County
Sat Nov 2 1946,Chesterfield,1-1,Nottingham Forest
Sat Nov 2 1946,Luton Town,3-1,Barnsley
Sat Nov 2 1946,Leicester City,2-0,Southampton
Sat Nov 2 1946,Bradford Park Avenue,2-0,Birmingham City
Sat Nov 9 1946,Southampton,1-1,Chesterfield
Sat Nov 9 1946,Nottingham Forest,1-2,Millwall
Sat Nov 9 1946,Newcastle United,4-0,Sheffield Wednesday
Sat Nov 9 1946,Burnley,1-1,Luton Town
Sat Nov 9 1946,Newport County,2-3,Leicester City
Sat Nov 9 1946,Coventry City,0-0,Bradford Park Avenue
Sat Nov 9 1946,West Bromwich Albion,2-3,West Ham United
Sat Nov 9 1946,Barnsley,1-3,Plymouth Argyle
Sat Nov 9 1946,Tottenham Hotspur,2-1,Bury
Sat Nov 9 1946,Birmingham City,3-1,Manchester City
Sat Nov 9 1946,Swansea City,0-2,Fulham
Sat Nov 16 1946,Chesterfield,2-0,Newport County
Sat Nov 16 1946,Plymouth Argyle,2-2,Burnley
Sat Nov 16 1946,West Ham United,0-4,Birmingham City
Sat Nov 16 1946,Millwall,3-1,Southampton
Sat Nov 16 1946,Luton Town,3-2,Tottenham Hotspur
Sat Nov 16 1946,Leicester City,6-0,Barnsley
Sat Nov 16 1946,Fulham,0-3,Newcastle United
Sat Nov 16 1946,Bury,3-3,Swansea City
Sat Nov 16 1946,Manchester City,1-0,Coventry City
Sat Nov 16 1946,Bradford Park Avenue,0-1,Nottingham Forest
Sat Nov 16 1946,Sheffield Wednesday,2-2,West Bromwich Albion
Sat Nov 23 1946,Nottingham Forest,0-1,Manchester City
Sat Nov 23 1946,Birmingham City,3-1,Sheffield Wednesday
Sat Nov 23 1946,Tottenham Hotspur,2-1,Plymouth Argyle
Sat Nov 23 1946,Southampton,3-2,Bradford Park Avenue
Sat Nov 23 1946,Burnley,0-0,Leicester City
Sat Nov 23 1946,Barnsley,1-2,Chesterfield
Sat Nov 23 1946,Newport County,3-1,Millwall
Sat Nov 23 1946,Swansea City,2-0,Luton Town
Sat Nov 23 1946,West Bromwich Albion,6-1,Fulham
Sat Nov 23 1946,Coventry City,2-1,West Ham United
Sat Nov 23 1946,Newcastle United,1-1,Bury
Sat Nov 30 1946,Fulham,0-1,Birmingham City
Sat Nov 30 1946,Bradford Park Avenue,2-1,Newport County
Sat Nov 30 1946,Plymouth Argyle,2-1,Swansea City
Sat Nov 30 1946,West Ham United,2-2,Nottingham Forest
Sat Nov 30 1946,Manchester City,1-1,Southampton
Sat Nov 30 1946,Millwall,3-1,Barnsley
Sat Nov 30 1946,Luton Town,4-3,Newcastle United
Sat Nov 30 1946,Chesterfield,0-0,Burnley
Sat Nov 30 1946,Leicester City,1-1,Tottenham Hotspur
Sat Nov 30 1946,Bury,4-0,West Bromwich Albion
Sat Nov 30 1946,Sheffield Wednesday,4-2,Coventry City
Sat Dec 7 1946,Southampton,4-2,West Ham United
Sat Dec 7 1946,Tottenham Hotspur,3-4,Chesterfield
Sat Dec 7 1946,Nottingham Forest,2-2,Sheffield Wednesday
Sat Dec 7 1946,Newcastle United,3-2,Plymouth Argyle
Sat Dec 7 1946,Newport County,0-3,Manchester City
Sat Dec 7 1946,Burnley,3-0,Millwall
Sat Dec 7 1946,Barnsley,3-1,Bradford Park Avenue
Sat Dec 7 1946,West Bromwich Albion,1-2,Luton Town
Sat Dec 7 1946,Coventry City,1-0,Fulham
Sat Dec 7 1946,Birmingham City,3-0,Bury
Sat Dec 7 1946,Swansea City,3-4,Leicester City
Sat Dec 14 1946,Sheffield Wednesday,3-0,Southampton
