Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 9 Aug 2014 (31),Ayr United (1),1-0,0-0,Greenock Morton (1)
?,(Sat) 9 Aug 2014 (31),Dunfermline Athletic (1),0-0,0-0,Brechin City (1)
?,(Sat) 9 Aug 2014 (31),Peterhead (1),1-1,0-0,Stirling Albion (1)
?,(Sat) 9 Aug 2014 (31),Stenhousemuir (1),1-0,0-0,Airdrieonians (1)
?,(Sat) 9 Aug 2014 (31),Stranraer (1),1-1,1-0,Forfar Athletic (1)
?,(Sat) 16 Aug 2014 (32),Airdrieonians (2),0-2,0-0,Peterhead (2)
?,(Sat) 16 Aug 2014 (32),Brechin City (2),1-0,1-0,Stenhousemuir (2)
?,(Sat) 16 Aug 2014 (32),Forfar Athletic (2),2-0,0-0,Dunfermline Athletic (2)
?,(Sat) 16 Aug 2014 (32),Greenock Morton (2),4-0,3-0,Stranraer (2)
?,(Sat) 16 Aug 2014 (32),Stirling Albion (2),1-3,0-1,Ayr United (2)
?,(Sat) 23 Aug 2014 (33),Ayr United (3),2-0,0-0,Forfar Athletic (3)
?,(Sat) 23 Aug 2014 (33),Dunfermline Athletic (3),3-0,2-0,Airdrieonians (3)
?,(Sat) 23 Aug 2014 (33),Peterhead (3),1-2,0-0,Greenock Morton (3)
?,(Sat) 23 Aug 2014 (33),Stenhousemuir (3),4-5,2-1,Stirling Albion (3)
?,(Sat) 23 Aug 2014 (33),Stranraer (3),2-2,0-2,Brechin City (3)
?,(Sat) 30 Aug 2014 (34),Airdrieonians (4),0-0,0-0,Stirling Albion (4)
?,(Sat) 30 Aug 2014 (34),Brechin City (4),1-1,0-0,Peterhead (4)
?,(Sat) 30 Aug 2014 (34),Forfar Athletic (4),3-2,1-1,Greenock Morton (4)
?,(Sat) 30 Aug 2014 (34),Stenhousemuir (4),1-1,1-1,Ayr United (4)
?,(Sat) 30 Aug 2014 (34),Stranraer (4),1-2,1-1,Dunfermline Athletic (4)
?,(Sat) 13 Sep 2014 (36),Ayr United (5),0-2,0-0,Stranraer (5)
?,(Sat) 13 Sep 2014 (36),Dunfermline Athletic (5),2-0,0-0,Stenhousemuir (5)
?,(Sat) 13 Sep 2014 (36),Forfar Athletic (5),1-0,1-0,Peterhead (5)
?,(Sat) 13 Sep 2014 (36),Greenock Morton (5),2-1,0-1,Airdrieonians (5)
?,(Sat) 13 Sep 2014 (36),Stirling Albion (5),0-5,0-1,Brechin City (5)
?,(Sat) 20 Sep 2014 (37),Airdrieonians (6),3-3,2-1,Stranraer (6)
?,(Sat) 20 Sep 2014 (37),Brechin City (6),2-4,0-0,Ayr United (6)
?,(Sat) 20 Sep 2014 (37),Greenock Morton (6),2-1,1-0,Dunfermline Athletic (6)
?,(Sat) 20 Sep 2014 (37),Peterhead (6),1-0,1-0,Stenhousemuir (6)
?,(Sat) 20 Sep 2014 (37),Stirling Albion (6),2-2,0-1,Forfar Athletic (6)
?,(Sat) 27 Sep 2014 (38),Ayr United (7),2-3,0-1,Airdrieonians (7)
?,(Sat) 27 Sep 2014 (38),Dunfermline Athletic (7),3-0,0-0,Peterhead (7)
?,(Sat) 27 Sep 2014 (38),Forfar Athletic (7),3-1,2-1,Brechin City (7)
?,(Sat) 27 Sep 2014 (38),Stenhousemuir (7),2-1,1-1,Greenock Morton (7)
?,(Sat) 27 Sep 2014 (38),Stranraer (7),2-0,2-0,Stirling Albion (7)
?,(Sat) 4 Oct 2014 (39),Airdrieonians (8),1-2,1-0,Forfar Athletic (8)
?,(Sat) 4 Oct 2014 (39),Brechin City (8),3-1,2-0,Greenock Morton (8)
?,(Sat) 4 Oct 2014 (39),Peterhead (8),2-0,0-0,Ayr United (8)
?,(Sat) 4 Oct 2014 (39),Stenhousemuir (8),2-2,0-1,Stranraer (8)
?,(Sat) 4 Oct 2014 (39),Stirling Albion (8),0-2,0-0,Dunfermline Athletic (8)
?,(Fri) 10 Oct 2014 (40),Ayr United (9),0-1,0-1,Dunfermline Athletic (9)
?,(Sat) 11 Oct 2014 (40),Airdrieonians (9),4-0,2-0,Brechin City (9)
?,(Sat) 11 Oct 2014 (40),Forfar Athletic (9),3-0,1-0,Stenhousemuir (9)
?,(Sat) 11 Oct 2014 (40),Greenock Morton (9),2-0,1-0,Stirling Albion (9)
?,(Sat) 18 Oct 2014 (41),Brechin City (10),1-2,1-1,Stranraer (9)
?,(Sat) 18 Oct 2014 (41),Dunfermline Athletic (10),0-0,0-0,Forfar Athletic (10)
?,(Sat) 18 Oct 2014 (41),Greenock Morton (10),0-1,0-1,Ayr United (10)
?,(Sat) 18 Oct 2014 (41),Peterhead (9),1-1,1-1,Airdrieonians (10)
?,(Sat) 18 Oct 2014 (41),Stirling Albion (10),0-4,0-1,Stenhousemuir (10)
?,(Sat) 25 Oct 2014 (42),Ayr United (11),0-2,0-2,Brechin City (11)
?,(Sat) 25 Oct 2014 (42),Dunfermline Athletic (11),1-2,0-0,Greenock Morton (11)
?,(Sat) 25 Oct 2014 (42),Forfar Athletic (11),1-1,1-1,Stranraer (10)
?,(Sat) 25 Oct 2014 (42),Stenhousemuir (11),1-2,0-0,Peterhead (10)
?,(Sat) 25 Oct 2014 (42),Stirling Albion (11),2-2,1-0,Airdrieonians (11)
?,(Tue) 28 Oct 2014 (43),Stranraer (11),5-0,1-0,Peterhead (11)
