Date,Team 1,FT,Team 2
Sat Aug 18 1951,Southport,0-0,Oldham Athletic
Sat Aug 18 1951,Scunthorpe United,1-0,Bradford City
Sat Aug 18 1951,Halifax Town,3-1,Workington
Sat Aug 18 1951,Lincoln City,3-1,York City
Sat Aug 18 1951,Mansfield Town,1-0,Stockport County
Sat Aug 18 1951,Crewe Alexandra,3-0,Darlington
Sat Aug 18 1951,Chesterfield,3-1,Grimsby Town
Sat Aug 18 1951,Bradford Park Avenue,3-1,Barrow
Sat Aug 18 1951,Accrington Stanley,1-2,Gateshead
Sat Aug 18 1951,Rochdale,0-4,Carlisle United
Sat Aug 18 1951,Chester,2-1,Wrexham
Sat Aug 18 1951,Tranmere Rovers,4-1,Hartlepool United
Mon Aug 20 1951,Stockport County,1-0,Bradford Park Avenue
Mon Aug 20 1951,Hartlepool United,3-0,Crewe Alexandra
Mon Aug 20 1951,York City,1-1,Tranmere Rovers
Tue Aug 21 1951,Oldham Athletic,2-0,Gateshead
Wed Aug 22 1951,Darlington,2-1,Rochdale
Wed Aug 22 1951,Accrington Stanley,1-0,Mansfield Town
Wed Aug 22 1951,Bradford City,2-1,Southport
Wed Aug 22 1951,Workington,3-1,Chesterfield
Wed Aug 22 1951,Chester,3-1,Scunthorpe United
Wed Aug 22 1951,Grimsby Town,2-3,Lincoln City
Thu Aug 23 1951,Barrow,3-1,Wrexham
Thu Aug 23 1951,Carlisle United,2-2,Halifax Town
Sat Aug 25 1951,Gateshead,1-0,Crewe Alexandra
Sat Aug 25 1951,Workington,0-1,Mansfield Town
Sat Aug 25 1951,Hartlepool United,3-1,Scunthorpe United
Sat Aug 25 1951,Darlington,1-1,Southport
Sat Aug 25 1951,Oldham Athletic,3-0,Tranmere Rovers
Sat Aug 25 1951,Grimsby Town,3-0,Bradford Park Avenue
Sat Aug 25 1951,Wrexham,0-3,Chesterfield
Sat Aug 25 1951,Stockport County,1-0,Rochdale
Sat Aug 25 1951,Bradford City,1-1,Lincoln City
Sat Aug 25 1951,Carlisle United,4-1,Accrington Stanley
Sat Aug 25 1951,York City,4-2,Chester
Sat Aug 25 1951,Barrow,0-0,Halifax Town
Mon Aug 27 1951,Gateshead,3-0,Halifax Town
