Date,Team 1,FT,Team 2
Sat Aug 29 1931,Northampton Town,1-0,Cardiff City
Sat Aug 29 1931,Fulham,5-3,Coventry City
Sat Aug 29 1931,AFC Bournemouth,2-2,Bristol Rovers
Sat Aug 29 1931,Brentford,1-0,Queens Park Rangers
Sat Aug 29 1931,Southend United,2-0,Gillingham
Sat Aug 29 1931,Thames,0-0,Exeter City
Sat Aug 29 1931,Mansfield Town,3-2,Swindon Town
Sat Aug 29 1931,Reading,2-1,Luton Town
Sat Aug 29 1931,Crystal Palace,7-0,Torquay United
Sat Aug 29 1931,Watford,2-1,Leyton Orient
Sat Aug 29 1931,Brighton & Hove Albion,2-1,Norwich City
Mon Aug 31 1931,Luton Town,1-0,Northampton Town
Mon Aug 31 1931,Coventry City,0-2,Southend United
Mon Aug 31 1931,Leyton Orient,1-3,Crystal Palace
Mon Aug 31 1931,Bristol Rovers,1-1,Queens Park Rangers
Mon Aug 31 1931,Norwich City,1-1,Mansfield Town
Mon Aug 31 1931,Cardiff City,1-1,Brighton & Hove Albion
Wed Sep 2 1931,Exeter City,0-3,Fulham
Wed Sep 2 1931,Torquay United,1-1,AFC Bournemouth
Wed Sep 2 1931,Swindon Town,4-1,Watford
Wed Sep 2 1931,Gillingham,1-1,Reading
Thu Sep 3 1931,Thames,1-1,Brentford
Sat Sep 5 1931,Norwich City,0-0,Northampton Town
Sat Sep 5 1931,Coventry City,2-0,Thames
Sat Sep 5 1931,Bristol Rovers,6-1,Crystal Palace
Sat Sep 5 1931,Leyton Orient,4-0,Mansfield Town
Sat Sep 5 1931,Swindon Town,1-2,Brighton & Hove Albion
Sat Sep 5 1931,Cardiff City,5-1,Reading
Sat Sep 5 1931,Exeter City,4-1,Brentford
Sat Sep 5 1931,Torquay United,3-6,Watford
Sat Sep 5 1931,Gillingham,2-1,Fulham
Sat Sep 5 1931,Luton Town,1-3,Southend United
Sat Sep 5 1931,Queens Park Rangers,0-3,AFC Bournemouth
Mon Sep 7 1931,Mansfield Town,3-2,Watford
Mon Sep 7 1931,Fulham,10-2,Torquay United
Mon Sep 7 1931,Southend United,1-1,Thames
Mon Sep 7 1931,Leyton Orient,1-0,Bristol Rovers
Mon Sep 7 1931,Northampton Town,2-1,Exeter City
Mon Sep 7 1931,Coventry City,2-1,Cardiff City
Wed Sep 9 1931,Gillingham,1-3,Luton Town
Wed Sep 9 1931,Reading,1-2,Brentford
Wed Sep 9 1931,Brighton & Hove Albion,0-3,Crystal Palace
Wed Sep 9 1931,AFC Bournemouth,1-0,Norwich City
Thu Sep 10 1931,Queens Park Rangers,1-2,Swindon Town
Sat Sep 12 1931,Brighton & Hove Albion,1-1,Leyton Orient
Sat Sep 12 1931,Norwich City,4-2,Swindon Town
Sat Sep 12 1931,Southend United,1-1,Cardiff City
Sat Sep 12 1931,AFC Bournemouth,5-2,Exeter City
Sat Sep 12 1931,Brentford,4-2,Coventry City
Sat Sep 12 1931,Fulham,3-2,Luton Town
Sat Sep 12 1931,Mansfield Town,2-4,Torquay United
Sat Sep 12 1931,Reading,3-2,Northampton Town
Sat Sep 12 1931,Watford,5-2,Bristol Rovers
Sat Sep 12 1931,Thames,3-0,Gillingham
Sat Sep 12 1931,Crystal Palace,1-1,Queens Park Rangers
Mon Sep 14 1931,Luton Town,2-0,Gillingham
Mon Sep 14 1931,Cardiff City,6-1,Coventry City
Mon Sep 14 1931,Norwich City,1-2,AFC Bournemouth
Wed Sep 16 1931,Torquay United,2-3,Fulham
Wed Sep 16 1931,Bristol Rovers,2-1,Leyton Orient
Wed Sep 16 1931,Watford,4-1,Mansfield Town
Wed Sep 16 1931,Swindon Town,1-2,Queens Park Rangers
Wed Sep 16 1931,Crystal Palace,2-0,Brighton & Hove Albion
Wed Sep 16 1931,Exeter City,0-0,Northampton Town
Thu Sep 17 1931,Thames,1-3,Southend United
Sat Sep 19 1931,Gillingham,0-2,Brentford
Sat Sep 19 1931,Coventry City,4-0,Exeter City
Sat Sep 19 1931,Torquay United,1-1,Brighton & Hove Albion
Sat Sep 19 1931,Northampton Town,1-2,Southend United
Sat Sep 19 1931,Cardiff City,0-3,Fulham
Sat Sep 19 1931,Swindon Town,0-2,Reading
Sat Sep 19 1931,Leyton Orient,1-3,Norwich City
Sat Sep 19 1931,Luton Town,2-0,Thames
Sat Sep 19 1931,AFC Bournemouth,4-1,Crystal Palace
Sat Sep 19 1931,Bristol Rovers,1-1,Mansfield Town
Sat Sep 19 1931,Queens Park Rangers,4-4,Watford
Thu Sep 24 1931,Brentford,3-0,Reading
Sat Sep 26 1931,Watford,4-2,AFC Bournemouth
Sat Sep 26 1931,Mansfield Town,2-2,Queens Park Rangers
Sat Sep 26 1931,Southend United,1-1,Reading
