Date,Team 1,FT,Team 2
Sat Aug 6 2005,Southend United,1-2,Port Vale
Sat Aug 6 2005,Swansea City,1-0,Tranmere Rovers
Sat Aug 6 2005,Nottingham Forest,2-1,Huddersfield Town
Sat Aug 6 2005,Oldham Athletic,2-0,Yeovil
Sat Aug 6 2005,Barnsley,2-0,Swindon Town
Sat Aug 6 2005,Brentford,2-0,Scunthorpe United
Sat Aug 6 2005,Gillingham,2-1,Colchester United
Sat Aug 6 2005,Blackpool,1-3,Chesterfield
Sat Aug 6 2005,Rotherham United,1-2,Walsall
Sat Aug 6 2005,Bristol City,0-0,Doncaster Rovers
Sat Aug 6 2005,Hartlepool United,0-2,Bradford City
Sat Aug 6 2005,Milton Keynes Dons,2-2,AFC Bournemouth
Tue Aug 9 2005,Colchester United,1-2,Swansea City
Tue Aug 9 2005,Tranmere Rovers,2-2,Blackpool
Tue Aug 9 2005,Port Vale,0-0,Gillingham
Tue Aug 9 2005,AFC Bournemouth,1-1,Hartlepool United
Tue Aug 9 2005,Swindon Town,2-3,Oldham Athletic
Tue Aug 9 2005,Walsall,3-2,Nottingham Forest
Tue Aug 9 2005,Doncaster Rovers,1-1,Milton Keynes Dons
Tue Aug 9 2005,Scunthorpe United,2-1,Barnsley
Tue Aug 9 2005,Bradford City,0-2,Southend United
Tue Aug 9 2005,Huddersfield Town,1-0,Bristol City
Tue Aug 9 2005,Yeovil,0-0,Rotherham United
Wed Aug 10 2005,Chesterfield,1-3,Brentford
Fri Aug 12 2005,Tranmere Rovers,4-0,Oldham Athletic
Sat Aug 13 2005,Swindon Town,2-1,Nottingham Forest
Sat Aug 13 2005,Huddersfield Town,3-1,Swansea City
Sat Aug 13 2005,Colchester United,1-0,Barnsley
Sat Aug 13 2005,Yeovil,1-1,Blackpool
Sat Aug 13 2005,AFC Bournemouth,2-0,Bristol City
Sat Aug 13 2005,Doncaster Rovers,0-1,Hartlepool United
Sat Aug 13 2005,Chesterfield,0-1,Rotherham United
Sat Aug 13 2005,Bradford City,2-0,Milton Keynes Dons
Sat Aug 13 2005,Walsall,2-2,Southend United
Sat Aug 13 2005,Scunthorpe United,1-1,Gillingham
Mon Aug 15 2005,Port Vale,1-0,Brentford
Sat Aug 20 2005,Brentford,2-0,Tranmere Rovers
Sat Aug 20 2005,Rotherham United,1-1,Bradford City
