Date,Team 1,FT,Team 2
Sat Aug 12 2000,Blackpool,3-1,Hull City
Sat Aug 12 2000,Barnet,3-0,Shrewsbury Town
Sat Aug 12 2000,Exeter City,1-2,Cardiff City
Sat Aug 12 2000,Macclesfield,0-1,Scunthorpe United
Sat Aug 12 2000,Plymouth Argyle,0-1,Leyton Orient
Sat Aug 12 2000,Lincoln City,0-2,Hartlepool United
Sat Aug 12 2000,Southend United,2-0,Brighton & Hove Albion
Sat Aug 12 2000,Kidderminster Harriers,2-0,Torquay United
Sat Aug 12 2000,Rochdale,1-1,Darlington
Sat Aug 12 2000,Chesterfield,4-1,York City
Sat Aug 12 2000,Carlisle United,2-2,Halifax Town
Sat Aug 12 2000,Cheltenham,2-2,Mansfield Town
Sat Aug 19 2000,Shrewsbury Town,2-2,Macclesfield
Sat Aug 19 2000,York City,0-2,Cheltenham
Sat Aug 19 2000,Halifax Town,1-1,Lincoln City
Sat Aug 19 2000,Barnet,3-3,Mansfield Town
Sat Aug 19 2000,Hartlepool United,1-2,Chesterfield
Sat Aug 19 2000,Leyton Orient,1-0,Carlisle United
Sat Aug 19 2000,Scunthorpe United,2-0,Kidderminster Harriers
Sat Aug 19 2000,Brighton & Hove Albion,2-1,Rochdale
Sat Aug 19 2000,Darlington,1-1,Exeter City
Sat Aug 19 2000,Hull City,1-1,Plymouth Argyle
Sat Aug 19 2000,Cardiff City,1-1,Blackpool
Sat Aug 19 2000,Torquay United,1-1,Southend United
Fri Aug 25 2000,Carlisle United,1-1,York City
Sat Aug 26 2000,Rochdale,3-2,Scunthorpe United
Sat Aug 26 2000,Kidderminster Harriers,2-1,Halifax Town
Sat Aug 26 2000,Exeter City,1-1,Hartlepool United
Sat Aug 26 2000,Macclesfield,0-0,Hull City
Sat Aug 26 2000,Cheltenham,2-0,Torquay United
Sat Aug 26 2000,Southend United,0-2,Darlington
Sat Aug 26 2000,Chesterfield,3-0,Shrewsbury Town
Sat Aug 26 2000,Plymouth Argyle,2-0,Mansfield Town
Sat Aug 26 2000,Blackpool,2-2,Leyton Orient
Sat Aug 26 2000,Barnet,2-2,Cardiff City
Sat Aug 26 2000,Lincoln City,2-0,Brighton & Hove Albion
Mon Aug 28 2000,Leyton Orient,2-1,Exeter City
Mon Aug 28 2000,Mansfield Town,4-4,Macclesfield
Mon Aug 28 2000,Hartlepool United,0-0,Cheltenham
Mon Aug 28 2000,Cardiff City,2-2,Southend United
Mon Aug 28 2000,Hull City,1-1,Lincoln City
Mon Aug 28 2000,York City,1-0,Barnet
Mon Aug 28 2000,Brighton & Hove Albion,0-2,Kidderminster Harriers
Mon Aug 28 2000,Scunthorpe United,1-1,Chesterfield
Mon Aug 28 2000,Halifax Town,1-2,Rochdale
Mon Aug 28 2000,Torquay United,3-2,Blackpool
Tue Aug 29 2000,Darlington,1-0,Plymouth Argyle
Tue Aug 29 2000,Shrewsbury Town,0-1,Carlisle United
Sat Sep 2 2000,Kidderminster Harriers,0-1,Carlisle United
Sat Sep 2 2000,Lincoln City,3-0,Southend United
Sat Sep 2 2000,Halifax Town,2-2,Leyton Orient
Sat Sep 2 2000,Hartlepool United,1-3,Shrewsbury Town
Sat Sep 2 2000,Plymouth Argyle,0-1,Macclesfield
