Date,Team 1,Team 2,FT,HT
2009-08-08,Ayr,Partick,1-1,1-1
2009-08-08,Dundee,Morton,1-0,0-0
2009-08-08,Dunfermline,Inverness C,0-1,0-0
2009-08-08,Queen of Sth,Raith Rvs,1-1,0-1
2009-08-08,Ross County,Airdrie Utd,2-1,2-1
2009-08-15,Airdrie Utd,Queen of Sth,1-1,0-0
2009-08-15,Inverness C,Ayr,0-0,0-0
2009-08-15,Morton,Dunfermline,0-2,0-1
2009-08-15,Partick,Ross County,0-0,0-0
2009-08-15,Raith Rvs,Dundee,2-2,2-1
2009-08-22,Ayr,Morton,0-2,0-1
2009-08-22,Dundee,Inverness C,2-2,2-2
2009-08-22,Dunfermline,Airdrie Utd,2-0,1-0
2009-08-22,Queen of Sth,Partick,1-0,0-0
2009-08-22,Ross County,Raith Rvs,0-1,0-1
2009-08-29,Airdrie Utd,Dundee,1-1,1-1
2009-08-29,Dunfermline,Raith Rvs,0-2,0-1
2009-08-29,Inverness C,Ross County,1-3,0-1
2009-08-29,Partick,Morton,5-0,3-0
2009-08-29,Queen of Sth,Ayr,2-0,1-0
2009-09-12,Ayr,Airdrie Utd,1-1,0-1
2009-09-12,Dundee,Dunfermline,1-0,1-0
2009-09-12,Morton,Inverness C,0-3,0-1
2009-09-12,Raith Rvs,Partick,1-1,0-0
2009-09-12,Ross County,Queen of Sth,3-2,0-1
2009-09-19,Airdrie Utd,Inverness C,1-1,1-0
2009-09-19,Partick,Dunfermline,2-0,1-0
2009-09-19,Queen of Sth,Dundee,2-0,1-0
2009-09-19,Raith Rvs,Morton,3-0,1-0
2009-09-19,Ross County,Ayr,2-1,2-0
2009-09-26,Ayr,Raith Rvs,1-0,1-0
2009-09-26,Dundee,Ross County,2-0,0-0
2009-09-26,Dunfermline,Queen of Sth,1-4,1-4
2009-09-26,Inverness C,Partick,2-3,0-3
2009-09-26,Morton,Airdrie Utd,1-0,0-0
2009-10-03,Partick,Airdrie Utd,2-0,0-0
2009-10-03,Queen of Sth,Morton,2-3,0-2
2009-10-10,Airdrie Utd,Raith Rvs,1-2,0-1
2009-10-10,Dundee,Partick,2-0,1-0
2009-10-10,Dunfermline,Ayr,3-1,0-0
2009-10-10,Inverness C,Queen of Sth,1-3,1-1
2009-10-10,Morton,Ross County,0-1,0-0
2009-10-13,Raith Rvs,Inverness C,0-1,0-0
2009-10-13,Ross County,Dunfermline,0-0,0-0
2009-10-14,Ayr,Dundee,2-2,0-1
2009-10-17,Airdrie Utd,Ross County,0-1,0-0
2009-10-17,Inverness C,Dunfermline,1-1,1-0
2009-10-17,Morton,Dundee,0-1,0-0
2009-10-17,Partick,Ayr,2-0,2-0
2009-10-17,Raith Rvs,Queen of Sth,1-0,0-0
2009-10-24,Ayr,Inverness C,1-5,1-4
2009-10-24,Dundee,Raith Rvs,2-1,2-1
2009-10-24,Dunfermline,Morton,3-1,0-0
2009-10-24,Queen of Sth,Airdrie Utd,3-0,2-0
2009-10-24,Ross County,Partick,2-2,1-0
2009-10-31,Airdrie Utd,Ayr,3-1,1-1
2009-10-31,Dunfermline,Dundee,1-1,0-0
2009-10-31,Inverness C,Morton,4-1,3-1
2009-10-31,Partick,Raith Rvs,1-2,1-1
2009-10-31,Queen of Sth,Ross County,2-0,2-0
2009-11-07,Ayr,Queen of Sth,0-1,0-1
2009-11-07,Dundee,Airdrie Utd,2-1,2-1
2009-11-07,Morton,Partick,0-2,0-0
2009-11-07,Raith Rvs,Dunfermline,1-2,1-0
2009-11-07,Ross County,Inverness C,2-1,2-0
2009-11-14,Ayr,Ross County,1-1,0-1
2009-11-14,Dundee,Queen of Sth,0-0,0-0
2009-11-14,Dunfermline,Partick,3-1,2-0
2009-11-14,Inverness C,Airdrie Utd,2-0,1-0
2009-11-14,Morton,Raith Rvs,5-0,1-0
2009-11-21,Airdrie Utd,Morton,2-4,2-2
2009-11-21,Raith Rvs,Ayr,0-0,0-0
2009-11-28,Partick,Inverness C,2-1,0-1
2009-12-01,Queen of Sth,Dunfermline,1-2,1-2
2009-12-01,Ross County,Dundee,0-1,0-0
2009-12-05,Ayr,Dunfermline,1-0,0-0
2009-12-05,Partick,Dundee,0-2,0-1
2009-12-05,Queen of Sth,Inverness C,1-1,0-1
2009-12-08,Ross County,Morton,3-1,0-1
2009-12-12,Airdrie Utd,Partick,2-5,1-2
