Date,Team 1,Team 2,FT,HT
2009-08-08,Cowdenbeath,Arbroath,1-2,0-0
2009-08-08,Dumbarton,Alloa,1-3,0-1
2009-08-08,East Fife,Brechin,2-0,2-0
2009-08-08,Peterhead,Clyde,2-0,1-0
2009-08-08,Stirling,Stenhousemuir,0-0,0-0
2009-08-15,Alloa,Peterhead,1-0,0-0
2009-08-15,Arbroath,Dumbarton,3-1,1-0
2009-08-15,Brechin,Cowdenbeath,3-1,1-1
2009-08-15,Clyde,Stirling,0-1,0-1
2009-08-15,Stenhousemuir,East Fife,1-1,1-1
2009-08-22,Cowdenbeath,Alloa,1-1,1-1
2009-08-22,Dumbarton,Clyde,3-3,1-2
2009-08-22,East Fife,Arbroath,1-1,0-0
2009-08-22,Peterhead,Stenhousemuir,2-2,1-1
2009-08-22,Stirling,Brechin,1-0,1-0
2009-08-29,Brechin,Dumbarton,3-1,2-1
2009-08-29,Clyde,Alloa,0-1,0-1
2009-08-29,East Fife,Cowdenbeath,1-1,0-1
2009-08-29,Stenhousemuir,Arbroath,3-0,0-0
2009-08-29,Stirling,Peterhead,2-1,0-1
2009-09-12,Alloa,Stirling,1-0,1-0
2009-09-12,Arbroath,Brechin,1-4,0-0
2009-09-12,Cowdenbeath,Clyde,1-0,1-0
2009-09-12,Dumbarton,Stenhousemuir,0-0,0-0
2009-09-12,Peterhead,East Fife,1-1,1-0
2009-09-19,Arbroath,Peterhead,0-1,0-1
2009-09-19,Clyde,Brechin,1-0,1-0
2009-09-19,Dumbarton,Cowdenbeath,0-3,0-2
2009-09-19,Stenhousemuir,Alloa,1-0,1-0
2009-09-19,Stirling,East Fife,3-0,1-0
2009-09-26,Alloa,Arbroath,0-1,0-1
2009-09-26,Brechin,Stenhousemuir,1-0,1-0
2009-09-26,Cowdenbeath,Stirling,1-2,1-2
2009-09-26,East Fife,Clyde,1-0,1-0
2009-09-26,Peterhead,Dumbarton,1-2,0-0
2009-10-03,Alloa,East Fife,0-0,0-0
2009-10-03,Dumbarton,Stirling,2-3,2-1
2009-10-03,Stenhousemuir,Cowdenbeath,0-2,0-1
2009-10-10,Brechin,Alloa,2-1,1-1
2009-10-10,Clyde,Stenhousemuir,2-1,1-0
2009-10-10,Cowdenbeath,Peterhead,5-0,2-0
2009-10-10,East Fife,Dumbarton,0-1,0-0
2009-10-10,Stirling,Arbroath,2-2,2-2
2009-10-13,Peterhead,Brechin,1-0,0-0
2009-10-14,Arbroath,Clyde,0-3,0-1
2009-10-17,Alloa,Dumbarton,1-3,1-2
2009-10-17,Arbroath,Cowdenbeath,0-1,0-1
2009-10-17,Brechin,East Fife,3-2,1-1
2009-10-17,Clyde,Peterhead,1-3,0-1
2009-10-17,Stenhousemuir,Stirling,1-2,1-0
2009-10-24,Cowdenbeath,Brechin,0-0,0-0
2009-10-24,Dumbarton,Arbroath,1-0,1-0
2009-10-24,East Fife,Stenhousemuir,2-1,0-0
2009-10-24,Peterhead,Alloa,0-0,0-0
2009-10-24,Stirling,Clyde,1-1,0-0
2009-10-31,Alloa,Clyde,2-0,1-0
2009-10-31,Arbroath,Stenhousemuir,0-3,0-1
2009-10-31,Cowdenbeath,East Fife,2-1,2-1
2009-10-31,Dumbarton,Brechin,0-0,0-0
2009-10-31,Peterhead,Stirling,3-2,3-1
2009-11-07,Brechin,Arbroath,0-0,0-0
2009-11-07,Clyde,Cowdenbeath,0-1,0-0
2009-11-07,East Fife,Peterhead,1-2,1-0
2009-11-07,Stenhousemuir,Dumbarton,0-3,0-0
2009-11-07,Stirling,Alloa,0-1,0-1
2009-11-14,Alloa,Stenhousemuir,1-4,0-3
2009-11-14,Brechin,Clyde,2-2,0-1
2009-11-14,Cowdenbeath,Dumbarton,2-1,1-1
2009-11-14,East Fife,Stirling,1-2,1-0
2009-11-14,Peterhead,Arbroath,1-2,0-1
2009-11-21,Clyde,East Fife,1-3,0-1
2009-11-21,Stenhousemuir,Brechin,1-1,1-1
2009-11-21,Stirling,Cowdenbeath,2-2,0-1
2009-12-02,Arbroath,Alloa,2-2,0-1
2009-12-05,Clyde,Arbroath,1-0,1-0
2009-12-05,East Fife,Alloa,0-2,0-1
2009-12-08,Dumbarton,Peterhead,1-0,1-0
2009-12-12,Alloa,Brechin,2-1,0-0
2009-12-12,Arbroath,Stirling,3-4,0-3
2009-12-12,Dumbarton,East Fife,0-3,0-1
2009-12-12,Peterhead,Cowdenbeath,0-2,0-1
2009-12-12,Stenhousemuir,Clyde,1-0,0-0
2009-12-15,Brechin,Peterhead,3-0,1-0
2009-12-15,Cowdenbeath,Stenhousemuir,2-1,1-1
2009-12-15,Stirling,Dumbarton,2-2,0-0
2010-01-16,East Fife,Cowdenbeath,2-2,1-1
2010-01-16,Stenhousemuir,Arbroath,1-1,0-0
2010-01-23,Arbroath,Peterhead,1-4,1-3
2010-01-23,Clyde,Brechin,0-3,0-1
2010-01-23,Dumbarton,Cowdenbeath,2-1,0-1
2010-01-23,Stenhousemuir,Alloa,0-2,0-2
2010-01-23,Stirling,East Fife,3-3,1-1
2010-01-27,Arbroath,East Fife,0-1,0-0
2010-01-30,Alloa,Arbroath,1-0,0-0
2010-01-30,Brechin,Stenhousemuir,2-2,0-0
2010-02-06,Brechin,Alloa,1-1,0-0
2010-02-06,Clyde,Stenhousemuir,0-2,0-1
2010-02-06,Cowdenbeath,Peterhead,1-3,0-1
2010-02-06,East Fife,Dumbarton,2-3,1-3
2010-02-09,Alloa,Cowdenbeath,2-1,1-0
2010-02-13,Alloa,East Fife,2-0,1-0
2010-02-13,Arbroath,Clyde,2-0,0-0
2010-02-13,Peterhead,Brechin,0-3,0-1
2010-02-13,Stenhousemuir,Cowdenbeath,0-0,0-0
2010-02-16,Dumbarton,Stirling,2-4,2-3
2010-02-27,Alloa,Peterhead,2-1,1-1
2010-02-27,Arbroath,Dumbarton,3-1,0-1
2010-02-27,Stenhousemuir,East Fife,1-1,1-0
2010-03-02,Peterhead,Dumbarton,2-1,1-1
2010-03-02,Stirling,Stenhousemuir,1-1,1-1
2010-03-06,Alloa,Clyde,2-2,1-1
