Date,Team 1,FT,Team 2
Thu Sep 1 1910,Bolton Wanderers,2-2,Stockport County
Thu Sep 1 1910,Lincoln City,0-0,Bradford Park Avenue
Sat Sep 3 1910,Derby County,1-4,Chelsea
Sat Sep 3 1910,Bradford Park Avenue,0-1,Huddersfield Town
Sat Sep 3 1910,Leicester City,5-0,Bolton Wanderers
Sat Sep 3 1910,Leeds City,1-2,Blackpool
Sat Sep 3 1910,Fulham,3-0,Birmingham City
Sat Sep 3 1910,Hull City,1-1,West Bromwich Albion
Sat Sep 3 1910,Stockport County,0-3,Leyton Orient
Sat Sep 3 1910,Barnsley,2-2,Wolverhampton Wanderers
Sat Sep 3 1910,Gainsborough Trinity,3-0,Glossop North End
Sat Sep 3 1910,Burnley,3-1,Lincoln City
Mon Sep 5 1910,Wolverhampton Wanderers,1-2,Derby County
Mon Sep 5 1910,Burnley,0-0,Glossop North End
Mon Sep 5 1910,Bolton Wanderers,3-1,West Bromwich Albion
Sat Sep 10 1910,Huddersfield Town,0-1,Burnley
Sat Sep 10 1910,Chelsea,3-1,Barnsley
Sat Sep 10 1910,Wolverhampton Wanderers,1-0,Leicester City
Sat Sep 10 1910,West Bromwich Albion,2-1,Fulham
Sat Sep 10 1910,Bolton Wanderers,2-1,Hull City
Sat Sep 10 1910,Leyton Orient,1-0,Derby County
Sat Sep 10 1910,Lincoln City,0-0,Gainsborough Trinity
Sat Sep 10 1910,Birmingham City,1-0,Bradford Park Avenue
Sat Sep 10 1910,Glossop North End,2-1,Leeds City
Sat Sep 10 1910,Blackpool,2-1,Stockport County
Wed Sep 14 1910,Lincoln City,2-2,Glossop North End
Sat Sep 17 1910,Gainsborough Trinity,3-1,Huddersfield Town
Sat Sep 17 1910,Fulham,0-1,Hull City
Sat Sep 17 1910,Wolverhampton Wanderers,3-0,Bolton Wanderers
Sat Sep 17 1910,Barnsley,1-2,Leyton Orient
Sat Sep 17 1910,Stockport County,2-1,Glossop North End
Sat Sep 17 1910,Burnley,2-2,Birmingham City
Sat Sep 17 1910,Bradford Park Avenue,3-3,West Bromwich Albion
Sat Sep 17 1910,Leeds City,0-1,Lincoln City
Sat Sep 17 1910,Derby County,1-1,Blackpool
Sat Sep 17 1910,Leicester City,1-0,Chelsea
Sat Sep 24 1910,Lincoln City,2-0,Stockport County
Sat Sep 24 1910,Bolton Wanderers,2-0,Fulham
Sat Sep 24 1910,Blackpool,1-0,Barnsley
Sat Sep 24 1910,Chelsea,2-0,Wolverhampton Wanderers
Sat Sep 24 1910,Hull City,2-2,Bradford Park Avenue
Sat Sep 24 1910,Huddersfield Town,3-2,Leeds City
Sat Sep 24 1910,Glossop North End,2-2,Derby County
Sat Sep 24 1910,West Bromwich Albion,2-1,Burnley
Sat Sep 24 1910,Leyton Orient,3-1,Leicester City
