Date,Team 1,FT,Team 2
Sat Aug 22 1964,Workington,4-1,Port Vale
Sat Aug 22 1964,Brentford,2-2,Luton Town
Sat Aug 22 1964,Scunthorpe United,5-2,Bristol City
Sat Aug 22 1964,AFC Bournemouth,3-2,Reading
Sat Aug 22 1964,Bristol Rovers,4-1,Mansfield Town
Sat Aug 22 1964,Walsall,0-1,Gillingham
Sat Aug 22 1964,Watford,2-1,Hull City
Sat Aug 22 1964,Exeter City,4-2,Peterborough United
Sat Aug 22 1964,Colchester United,0-1,Carlisle United
Sat Aug 22 1964,Oldham Athletic,1-5,Grimsby Town
Sat Aug 22 1964,Southend United,1-0,Shrewsbury Town
Sat Aug 22 1964,Barnsley,0-0,Queens Park Rangers
Mon Aug 24 1964,Mansfield Town,4-1,Brentford
Mon Aug 24 1964,Carlisle United,1-1,Port Vale
Mon Aug 24 1964,Peterborough United,5-0,Oldham Athletic
Mon Aug 24 1964,Queens Park Rangers,2-0,Southend United
Tue Aug 25 1964,Workington,2-0,Watford
Tue Aug 25 1964,Grimsby Town,1-1,Bristol Rovers
Tue Aug 25 1964,Bristol City,5-1,Barnsley
Wed Aug 26 1964,AFC Bournemouth,2-2,Exeter City
Wed Aug 26 1964,Reading,3-1,Shrewsbury Town
Wed Aug 26 1964,Gillingham,0-0,Scunthorpe United
Wed Aug 26 1964,Luton Town,3-1,Colchester United
Wed Aug 26 1964,Hull City,2-0,Walsall
Fri Aug 28 1964,Carlisle United,0-1,Brentford
Fri Aug 28 1964,Queens Park Rangers,2-1,Scunthorpe United
Sat Aug 29 1964,Reading,2-0,Southend United
Sat Aug 29 1964,Gillingham,5-2,Watford
Sat Aug 29 1964,Mansfield Town,4-1,Oldham Athletic
Sat Aug 29 1964,Peterborough United,4-3,AFC Bournemouth
Sat Aug 29 1964,Shrewsbury Town,3-3,Barnsley
Sat Aug 29 1964,Grimsby Town,2-1,Exeter City
Sat Aug 29 1964,Bristol City,5-1,Walsall
Sat Aug 29 1964,Hull City,2-2,Workington
Sat Aug 29 1964,Luton Town,0-2,Bristol Rovers
Sat Aug 29 1964,Port Vale,1-2,Colchester United
Mon Aug 31 1964,Southend United,0-0,Queens Park Rangers
Mon Aug 31 1964,Brentford,1-0,Mansfield Town
Mon Aug 31 1964,Colchester United,0-1,Luton Town
Mon Aug 31 1964,Port Vale,1-3,Carlisle United
Tue Sep 1 1964,Bristol Rovers,5-3,Grimsby Town
Tue Sep 1 1964,Oldham Athletic,3-1,Peterborough United
Tue Sep 1 1964,Shrewsbury Town,4-0,Reading
Fri Sep 4 1964,Scunthorpe United,3-2,Shrewsbury Town
Fri Sep 4 1964,Barnsley,1-1,Reading
Sat Sep 5 1964,Peterborough United,4-2,Southend United
Sat Sep 5 1964,Oldham Athletic,0-2,Luton Town
Sat Sep 5 1964,Watford,2-2,Bristol City
Sat Sep 5 1964,Exeter City,2-3,Mansfield Town
Sat Sep 5 1964,AFC Bournemouth,1-2,Grimsby Town
Sat Sep 5 1964,Brentford,4-0,Port Vale
Sat Sep 5 1964,Colchester United,1-2,Hull City
Sat Sep 5 1964,Bristol Rovers,5-2,Carlisle United
Sat Sep 5 1964,Workington,1-1,Gillingham
Sat Sep 5 1964,Walsall,4-1,Queens Park Rangers
Mon Sep 7 1964,Peterborough United,3-1,Bristol Rovers
Mon Sep 7 1964,Queens Park Rangers,0-1,Reading
Mon Sep 7 1964,Mansfield Town,0-1,Colchester United
Tue Sep 8 1964,Carlisle United,1-1,Watford
Tue Sep 8 1964,Bristol City,4-0,Southend United
Tue Sep 8 1964,Shrewsbury Town,1-0,Exeter City
Wed Sep 9 1964,Gillingham,1-0,Barnsley
Wed Sep 9 1964,AFC Bournemouth,0-0,Oldham Athletic
Wed Sep 9 1964,Luton Town,1-1,Port Vale
Wed Sep 9 1964,Hull City,1-2,Scunthorpe United
Wed Sep 9 1964,Grimsby Town,2-1,Brentford
Fri Sep 11 1964,Queens Park Rangers,2-2,Watford
Fri Sep 11 1964,Shrewsbury Town,3-1,Walsall
Sat Sep 12 1964,Reading,2-0,Scunthorpe United
Sat Sep 12 1964,Carlisle United,2-0,Oldham Athletic
Sat Sep 12 1964,Southend United,2-0,Barnsley
Sat Sep 12 1964,Luton Town,1-2,Exeter City
Sat Sep 12 1964,Colchester United,0-3,Brentford
Sat Sep 12 1964,Grimsby Town,2-0,Peterborough United
Sat Sep 12 1964,Port Vale,1-1,Bristol Rovers
Sat Sep 12 1964,Mansfield Town,0-0,AFC Bournemouth
Sat Sep 12 1964,Bristol City,5-0,Workington
Sat Sep 12 1964,Gillingham,1-0,Hull City
Mon Sep 14 1964,Colchester United,0-1,Mansfield Town
Mon Sep 14 1964,Port Vale,1-0,Luton Town
Mon Sep 14 1964,Southend United,0-4,Bristol City
Tue Sep 15 1964,Walsall,1-4,Workington
Tue Sep 15 1964,Scunthorpe United,1-1,Hull City
Tue Sep 15 1964,Barnsley,1-0,Gillingham
Tue Sep 15 1964,Brentford,2-0,Grimsby Town
Tue Sep 15 1964,Oldham Athletic,1-1,AFC Bournemouth
Tue Sep 15 1964,Bristol Rovers,4-0,Peterborough United
Wed Sep 16 1964,Reading,5-3,Queens Park Rangers
Wed Sep 16 1964,Exeter City,0-1,Shrewsbury Town
Thu Sep 17 1964,Watford,0-0,Carlisle United
Fri Sep 18 1964,Workington,0-0,Queens Park Rangers
Fri Sep 18 1964,Scunthorpe United,2-1,Southend United
Sat Sep 19 1964,Hull City,3-2,Bristol City
Sat Sep 19 1964,Walsall,4-1,Reading
Sat Sep 19 1964,AFC Bournemouth,4-0,Luton Town
Sat Sep 19 1964,Oldham Athletic,0-1,Port Vale
Sat Sep 19 1964,Peterborough United,4-5,Mansfield Town
Sat Sep 19 1964,Exeter City,0-0,Carlisle United
Sat Sep 19 1964,Watford,2-2,Shrewsbury Town
Sat Sep 19 1964,Grimsby Town,3-2,Barnsley
Sat Sep 19 1964,Brentford,2-0,Gillingham
Sat Sep 19 1964,Bristol Rovers,2-2,Colchester United
Fri Sep 25 1964,Queens Park Rangers,2-1,Hull City
Fri Sep 25 1964,Barnsley,2-0,Scunthorpe United
Sat Sep 26 1964,Colchester United,2-2,Oldham Athletic
Sat Sep 26 1964,Bristol City,1-2,Gillingham
Sat Sep 26 1964,Southend United,0-0,Walsall
Sat Sep 26 1964,Reading,6-2,Watford
