Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 10 Aug 2013 (W32),Alloa Athletic (1),1-0,1-0,Livingston FC (1)
?,(Sat) 10 Aug 2013 (W32),Dumbarton (1),1-1,0-0,Falkirk (1)
?,(Sat) 10 Aug 2013 (W32),Greenock Morton (1),2-0,1-0,Cowdenbeath (1)
?,(Sat) 10 Aug 2013 (W32),Queen of the South (1),4-3,1-1,Dundee FC (1)
?,(Sat) 10 Aug 2013 (W32),Raith Rovers (1),0-1,0-0,Hamilton Academical FC (1)
?,(Sat) 17 Aug 2013 (W33),Cowdenbeath (2),3-4,2-2,Raith Rovers (2)
?,(Sat) 17 Aug 2013 (W33),Dundee FC (2),1-0,0-0,Alloa Athletic (2)
?,(Sat) 17 Aug 2013 (W33),Falkirk (2),3-1,2-0,Greenock Morton (2)
?,(Sat) 17 Aug 2013 (W33),Hamilton Academical FC (2),4-1,2-0,Dumbarton (2)
?,(Sat) 17 Aug 2013 (W33),Livingston FC (2),3-3,1-2,Queen of the South (2)
?,(Sat) 24 Aug 2013 (W34),Alloa Athletic (3),3-1,0-0,Cowdenbeath (3)
?,(Sat) 24 Aug 2013 (W34),Dumbarton (3),3-1,2-1,Greenock Morton (3)
?,(Sat) 24 Aug 2013 (W34),Hamilton Academical FC (3),2-0,1-0,Queen of the South (3)
?,(Sat) 24 Aug 2013 (W34),Livingston FC (3),0-3,0-2,Falkirk (3)
?,(Sat) 24 Aug 2013 (W34),Raith Rovers (3),0-0,0-0,Dundee FC (3)
?,(Fri) 30 Aug 2013 (W35),Dundee FC (4),3-0,1-0,Livingston FC (4)
?,(Sat) 31 Aug 2013 (W35),Cowdenbeath (4),3-2,1-0,Dumbarton (4)
?,(Sat) 31 Aug 2013 (W35),Falkirk (4),1-2,0-0,Hamilton Academical FC (4)
?,(Sat) 31 Aug 2013 (W35),Greenock Morton (4),1-1,1-0,Raith Rovers (4)
?,(Sat) 31 Aug 2013 (W35),Queen of the South (4),0-0,0-0,Alloa Athletic (4)
?,(Sat) 14 Sep 2013 (W37),Alloa Athletic (5),1-2,0-1,Dumbarton (5)
?,(Sat) 14 Sep 2013 (W37),Cowdenbeath (5),1-0,0-0,Falkirk (5)
?,(Sat) 14 Sep 2013 (W37),Dundee FC (5),0-0,0-0,Hamilton Academical FC (5)
?,(Sat) 14 Sep 2013 (W37),Livingston FC (5),2-2,2-2,Greenock Morton (5)
?,(Sat) 14 Sep 2013 (W37),Queen of the South (5),0-1,0-1,Raith Rovers (5)
?,(Sat) 21 Sep 2013 (W38),Dumbarton (6),1-2,1-0,Livingston FC (6)
?,(Sat) 21 Sep 2013 (W38),Falkirk (6),3-1,1-0,Dundee FC (6)
?,(Sat) 21 Sep 2013 (W38),Hamilton Academical FC (6),1-0,0-0,Cowdenbeath (6)
?,(Sat) 21 Sep 2013 (W38),Greenock Morton (6),0-2,0-1,Queen of the South (6)
?,(Sat) 21 Sep 2013 (W38),Raith Rovers (6),4-2,1-1,Alloa Athletic (6)
