Date,Team 1,Team 2,FT,HT
1999-08-07,Clydebank,Airdrie,0-2,
1999-08-07,Dunfermline,Inverness C,4-0,
1999-08-07,Falkirk,Morton,2-4,
1999-08-07,Livingston,Raith Rvs,1-1,
1999-08-07,St Mirren,Ayr,1-1,
1999-08-14,Airdrie,Dunfermline,2-2,
1999-08-14,Ayr,Livingston,1-2,
1999-08-14,Inverness C,Falkirk,2-3,
1999-08-14,Morton,Clydebank,0-0,
1999-08-14,Raith Rvs,St Mirren,0-6,
1999-08-21,Clydebank,Raith Rvs,1-1,
1999-08-21,Dunfermline,Morton,2-1,
1999-08-21,Falkirk,Ayr,2-1,
1999-08-21,Livingston,Airdrie,3-0,
1999-08-21,St Mirren,Inverness C,3-2,
1999-08-28,Airdrie,Raith Rvs,1-4,
1999-08-28,Ayr,Inverness C,1-0,
1999-08-28,Dunfermline,Falkirk,1-1,
1999-08-28,Morton,Livingston,2-2,
1999-08-29,Clydebank,St Mirren,2-3,
1999-09-04,Falkirk,Clydebank,3-2,
1999-09-04,Inverness C,Morton,1-1,
1999-09-04,Livingston,Dunfermline,0-1,
1999-09-04,Raith Rvs,Ayr,5-1,
1999-09-04,St Mirren,Airdrie,5-0,
1999-09-11,Ayr,Airdrie,2-0,
1999-09-11,Dunfermline,St Mirren,1-1,
1999-09-11,Falkirk,Livingston,0-2,
1999-09-11,Inverness C,Clydebank,1-0,
1999-09-11,Morton,Raith Rvs,2-0,
1999-09-18,Airdrie,Falkirk,0-0,
1999-09-18,Clydebank,Ayr,0-2,
1999-09-18,Livingston,Inverness C,2-2,
1999-09-18,Raith Rvs,Dunfermline,2-2,
1999-09-18,St Mirren,Morton,3-2,
1999-09-25,Dunfermline,Ayr,2-1,
1999-09-25,Falkirk,St Mirren,3-1,
1999-09-25,Inverness C,Raith Rvs,0-2,
1999-09-25,Livingston,Clydebank,2-1,
1999-09-25,Morton,Airdrie,0-2,
1999-10-02,Airdrie,Inverness C,1-1,
1999-10-02,Ayr,Morton,3-0,
1999-10-02,Raith Rvs,Falkirk,2-1,
1999-10-02,St Mirren,Livingston,1-1,
1999-10-09,Clydebank,Dunfermline,1-4,
1999-10-16,Clydebank,Morton,1-3,
1999-10-16,Dunfermline,Airdrie,0-0,
1999-10-16,Falkirk,Inverness C,0-2,
1999-10-16,Livingston,Ayr,4-1,
1999-10-16,St Mirren,Raith Rvs,3-2,
1999-10-23,Airdrie,Clydebank,1-0,
1999-10-23,Ayr,St Mirren,0-3,
1999-10-23,Inverness C,Dunfermline,1-1,
1999-10-23,Morton,Falkirk,2-3,
1999-10-23,Raith Rvs,Livingston,3-1,
1999-10-30,Airdrie,Ayr,2-1,
1999-10-30,Clydebank,Inverness C,0-3,
1999-10-30,Livingston,Falkirk,1-1,
1999-10-30,Raith Rvs,Morton,3-1,
