Date,Team 1,FT,Team 2
Wed Sep 16 1953,Liverpool,1-1,Wolverhampton Wanderers
Wed Sep 16 1953,Middlesbrough,1-4,Manchester United
Wed Sep 16 1953,Newcastle United,3-7,West Bromwich Albion
Wed Sep 16 1953,Tottenham Hotspur,2-3,Burnley
Wed Sep 16 1953,Manchester City,0-1,Huddersfield Town
Wed Sep 16 1953,Portsmouth,4-4,Blackpool
Wed Sep 16 1953,Cardiff City,2-0,Sheffield United
Wed Sep 16 1953,Sheffield Wednesday,2-1,Bolton Wanderers
Thu Sep 17 1953,Charlton Athletic,2-1,Preston North End
Sat Sep 19 1953,Portsmouth,4-1,Sunderland
Sat Sep 19 1953,Cardiff City,1-1,Bolton Wanderers
Sat Sep 19 1953,Sheffield United,3-6,Huddersfield Town
Sat Sep 19 1953,Middlesbrough,4-1,Sheffield Wednesday
Sat Sep 19 1953,Manchester United,1-0,Preston North End
Sat Sep 19 1953,Chelsea,1-2,Aston Villa
Sat Sep 19 1953,Blackpool,0-0,Wolverhampton Wanderers
Sat Sep 19 1953,Arsenal,2-2,Manchester City
Sat Sep 19 1953,Liverpool,4-0,Burnley
Sat Sep 19 1953,West Bromwich Albion,2-3,Charlton Athletic
Sat Sep 19 1953,Newcastle United,1-3,Tottenham Hotspur
Wed Sep 23 1953,Sheffield Wednesday,3-0,Newcastle United
Sat Sep 26 1953,Charlton Athletic,6-0,Liverpool
Sat Sep 26 1953,Cardiff City,0-3,Arsenal
Sat Sep 26 1953,Sheffield Wednesday,2-3,West Bromwich Albion
Sat Sep 26 1953,Aston Villa,4-0,Sheffield United
Sat Sep 26 1953,Sunderland,3-2,Blackpool
Sat Sep 26 1953,Burnley,1-2,Newcastle United
Sat Sep 26 1953,Manchester City,2-1,Portsmouth
Sat Sep 26 1953,Preston North End,3-1,Bolton Wanderers
Sat Sep 26 1953,Tottenham Hotspur,1-1,Manchester United
Sat Sep 26 1953,Wolverhampton Wanderers,8-1,Chelsea
Sat Sep 26 1953,Huddersfield Town,2-1,Middlesbrough
Sat Oct 3 1953,Liverpool,2-2,Sheffield Wednesday
Sat Oct 3 1953,Sheffield United,3-3,Wolverhampton Wanderers
Sat Oct 3 1953,Bolton Wanderers,2-0,Tottenham Hotspur
Sat Oct 3 1953,Arsenal,3-2,Preston North End
Sat Oct 3 1953,Huddersfield Town,4-0,Aston Villa
Sat Oct 3 1953,Chelsea,2-2,Sunderland
Sat Oct 3 1953,Portsmouth,1-1,Cardiff City
Sat Oct 3 1953,Newcastle United,0-2,Charlton Athletic
Sat Oct 3 1953,Manchester United,1-2,Burnley
Sat Oct 3 1953,Blackpool,2-0,Manchester City
Sat Oct 3 1953,West Bromwich Albion,2-1,Middlesbrough
Sat Oct 10 1953,Liverpool,6-1,Aston Villa
Sat Oct 10 1953,Middlesbrough,2-0,Sheffield United
Sat Oct 10 1953,West Bromwich Albion,4-0,Huddersfield Town
Sat Oct 10 1953,Sheffield Wednesday,2-0,Chelsea
Sat Oct 10 1953,Bolton Wanderers,3-2,Manchester City
Sat Oct 10 1953,Burnley,1-0,Portsmouth
Sat Oct 10 1953,Preston North End,1-2,Cardiff City
Sat Oct 10 1953,Charlton Athletic,4-2,Blackpool
Sat Oct 10 1953,Tottenham Hotspur,1-4,Arsenal
Sat Oct 10 1953,Manchester United,1-0,Sunderland
Sat Oct 10 1953,Newcastle United,1-2,Wolverhampton Wanderers
Sat Oct 17 1953,Sheffield United,1-2,West Bromwich Albion
Sat Oct 17 1953,Arsenal,2-5,Burnley
Sat Oct 17 1953,Aston Villa,1-2,Newcastle United
Sat Oct 17 1953,Portsmouth,3-1,Charlton Athletic
Sat Oct 17 1953,Wolverhampton Wanderers,3-1,Manchester United
Sat Oct 17 1953,Chelsea,1-1,Middlesbrough
Sat Oct 17 1953,Blackpool,1-2,Sheffield Wednesday
Sat Oct 17 1953,Huddersfield Town,2-0,Liverpool
Sat Oct 17 1953,Sunderland,1-2,Bolton Wanderers
Sat Oct 17 1953,Manchester City,1-4,Preston North End
Sat Oct 17 1953,Cardiff City,1-0,Tottenham Hotspur
Sat Oct 24 1953,Burnley,3-0,Cardiff City
Sat Oct 24 1953,Liverpool,3-0,Sheffield United
Sat Oct 24 1953,Tottenham Hotspur,3-0,Manchester City
Sat Oct 24 1953,Manchester United,1-0,Aston Villa
Sat Oct 24 1953,Middlesbrough,0-1,Blackpool
Sat Oct 24 1953,Newcastle United,0-2,Huddersfield Town
Sat Oct 24 1953,Bolton Wanderers,1-1,Wolverhampton Wanderers
Sat Oct 24 1953,West Bromwich Albion,5-2,Chelsea
Sat Oct 24 1953,Preston North End,6-2,Sunderland
Sat Oct 24 1953,Charlton Athletic,1-5,Arsenal
Sat Oct 24 1953,Sheffield Wednesday,4-4,Portsmouth
Sat Oct 31 1953,Manchester City,3-2,Burnley
Sat Oct 31 1953,Chelsea,5-2,Liverpool
Sat Oct 31 1953,Portsmouth,0-2,Middlesbrough
Sat Oct 31 1953,Wolverhampton Wanderers,1-0,Preston North End
Sat Oct 31 1953,Sheffield United,3-1,Newcastle United
Sat Oct 31 1953,Sunderland,4-3,Tottenham Hotspur
Sat Oct 31 1953,Arsenal,4-1,Sheffield Wednesday
Sat Oct 31 1953,Cardiff City,5-0,Charlton Athletic
Sat Oct 31 1953,Aston Villa,2-2,Bolton Wanderers
Sat Oct 31 1953,Huddersfield Town,0-0,Manchester United
Sat Oct 31 1953,Blackpool,4-1,West Bromwich Albion
Sat Nov 7 1953,Middlesbrough,3-3,Wolverhampton Wanderers
Sat Nov 7 1953,Newcastle United,4-0,Cardiff City
Sat Nov 7 1953,West Bromwich Albion,2-0,Sunderland
Sat Nov 7 1953,Burnley,2-1,Sheffield United
Sat Nov 7 1953,Preston North End,2-3,Blackpool
Sat Nov 7 1953,Tottenham Hotspur,2-1,Chelsea
Sat Nov 7 1953,Manchester United,2-2,Arsenal
Sat Nov 7 1953,Liverpool,2-2,Manchester City
Sat Nov 7 1953,Charlton Athletic,2-1,Huddersfield Town
Sat Nov 7 1953,Bolton Wanderers,6-1,Portsmouth
Sat Nov 14 1953,Wolverhampton Wanderers,1-0,West Bromwich Albion
Sat Nov 14 1953,Portsmouth,1-3,Preston North End
Sat Nov 14 1953,Huddersfield Town,2-0,Sheffield Wednesday
Sat Nov 14 1953,Arsenal,4-3,Bolton Wanderers
Sat Nov 14 1953,Sheffield United,1-1,Charlton Athletic
Sat Nov 14 1953,Manchester City,0-0,Newcastle United
Sat Nov 14 1953,Sunderland,3-2,Liverpool
Sat Nov 14 1953,Aston Villa,5-3,Middlesbrough
Sat Nov 14 1953,Blackpool,1-0,Tottenham Hotspur
Sat Nov 14 1953,Chelsea,2-1,Burnley
Sat Nov 14 1953,Cardiff City,1-6,Manchester United
Sat Nov 21 1953,Charlton Athletic,0-2,Wolverhampton Wanderers
Sat Nov 21 1953,Newcastle United,1-1,Portsmouth
Sat Nov 21 1953,Sheffield Wednesday,2-2,Sunderland
