Date,Team 1,FT,Team 2
Sat Aug 19 1978,Stockport County,3-0,Darlington
Sat Aug 19 1978,Aldershot,1-1,Wimbledon
Sat Aug 19 1978,Torquay United,0-1,Northampton Town
Sat Aug 19 1978,Portsmouth,0-1,Bradford City
Sat Aug 19 1978,Port Vale,2-2,Scunthorpe United
Sat Aug 19 1978,Grimsby Town,1-2,Reading
Sat Aug 19 1978,Barnsley,4-2,Halifax Town
Sat Aug 19 1978,Hereford United,0-0,Wigan Athletic
Sat Aug 19 1978,Rochdale,1-2,York City
Sat Aug 19 1978,AFC Bournemouth,3-1,Newport County
Sat Aug 19 1978,Huddersfield Town,0-0,Crewe Alexandra
Sat Aug 19 1978,Hartlepool United,3-4,Doncaster Rovers
Tue Aug 22 1978,Wimbledon,1-0,Port Vale
Tue Aug 22 1978,Darlington,1-0,Huddersfield Town
Tue Aug 22 1978,Halifax Town,2-1,Stockport County
Tue Aug 22 1978,Newport County,1-2,Aldershot
Tue Aug 22 1978,York City,5-3,Portsmouth
Tue Aug 22 1978,Scunthorpe United,1-0,AFC Bournemouth
Wed Aug 23 1978,Reading,2-0,Rochdale
Wed Aug 23 1978,Wigan Athletic,0-3,Grimsby Town
Wed Aug 23 1978,Crewe Alexandra,0-2,Barnsley
Wed Aug 23 1978,Bradford City,2-1,Hereford United
Wed Aug 23 1978,Northampton Town,1-1,Hartlepool United
Fri Aug 25 1978,Crewe Alexandra,1-5,Port Vale
Fri Aug 25 1978,Scunthorpe United,3-1,Huddersfield Town
Fri Aug 25 1978,Hartlepool United,1-1,Portsmouth
Sat Aug 26 1978,Torquay United,1-0,Hereford United
Sat Aug 26 1978,Newport County,1-2,Stockport County
Sat Aug 26 1978,Bradford City,1-2,Barnsley
Sat Aug 26 1978,Reading,2-0,Wigan Athletic
Sat Aug 26 1978,Wimbledon,4-1,Northampton Town
Sat Aug 26 1978,York City,1-1,Doncaster Rovers
Sat Aug 26 1978,Darlington,0-0,AFC Bournemouth
Sat Aug 26 1978,Rochdale,1-1,Aldershot
Sat Aug 26 1978,Halifax Town,1-2,Grimsby Town
Fri Sep 1 1978,Doncaster Rovers,0-0,Scunthorpe United
Fri Sep 1 1978,Stockport County,0-1,Wimbledon
Sat Sep 2 1978,Northampton Town,1-0,Bradford City
Sat Sep 2 1978,Portsmouth,3-0,Crewe Alexandra
Sat Sep 2 1978,Hereford United,1-0,Darlington
Sat Sep 2 1978,Aldershot,1-0,Halifax Town
Sat Sep 2 1978,Port Vale,1-1,Rochdale
Sat Sep 2 1978,Barnsley,3-0,York City
Sat Sep 2 1978,AFC Bournemouth,0-1,Hartlepool United
Sat Sep 2 1978,Grimsby Town,3-0,Torquay United
Sat Sep 2 1978,Wigan Athletic,2-3,Newport County
Sat Sep 2 1978,Huddersfield Town,1-1,Reading
Sat Sep 9 1978,Torquay United,2-0,Halifax Town
Sat Sep 9 1978,Crewe Alexandra,1-0,AFC Bournemouth
Sat Sep 9 1978,Huddersfield Town,2-1,Doncaster Rovers
Sat Sep 9 1978,Rochdale,0-2,Portsmouth
Sat Sep 9 1978,Reading,2-1,Newport County
Sat Sep 9 1978,Port Vale,1-1,Aldershot
Sat Sep 9 1978,Darlington,0-1,Grimsby Town
Sat Sep 9 1978,Bradford City,1-1,Stockport County
Sat Sep 9 1978,Hartlepool United,2-1,Hereford United
Sat Sep 9 1978,York City,1-0,Northampton Town
Sat Sep 9 1978,Scunthorpe United,0-1,Barnsley
Sat Sep 9 1978,Wimbledon,2-1,Wigan Athletic
Mon Sep 11 1978,Stockport County,4-0,Hartlepool United
Tue Sep 12 1978,Halifax Town,0-1,York City
Tue Sep 12 1978,Barnsley,1-2,Torquay United
Tue Sep 12 1978,Portsmouth,0-0,Scunthorpe United
Tue Sep 12 1978,Northampton Town,4-1,Darlington
Tue Sep 12 1978,Newport County,1-2,Crewe Alexandra
Tue Sep 12 1978,Aldershot,6-0,Bradford City
Tue Sep 12 1978,AFC Bournemouth,2-0,Huddersfield Town
Tue Sep 12 1978,Doncaster Rovers,1-3,Port Vale
Tue Sep 12 1978,Grimsby Town,2-2,Wimbledon
Wed Sep 13 1978,Hereford United,0-0,Reading
Wed Sep 13 1978,Wigan Athletic,3-0,Rochdale
Fri Sep 15 1978,Stockport County,2-0,York City
Fri Sep 15 1978,Northampton Town,1-0,Scunthorpe United
Sat Sep 16 1978,Halifax Town,0-2,Darlington
Sat Sep 16 1978,Wigan Athletic,1-3,Bradford City
Sat Sep 16 1978,Torquay United,2-1,Aldershot
Sat Sep 16 1978,Reading,3-0,Doncaster Rovers
Sat Sep 16 1978,Hereford United,6-1,Crewe Alexandra
Sat Sep 16 1978,Grimsby Town,0-1,Hartlepool United
Sat Sep 16 1978,Barnsley,1-0,Huddersfield Town
Sat Sep 16 1978,Newport County,1-3,Wimbledon
Sat Sep 16 1978,AFC Bournemouth,3-1,Rochdale
Sat Sep 16 1978,Portsmouth,2-0,Port Vale
Sat Sep 23 1978,Bradford City,1-3,Newport County
Sat Sep 23 1978,Scunthorpe United,1-0,Stockport County
Sat Sep 23 1978,Aldershot,0-2,Portsmouth
Sat Sep 23 1978,Darlington,1-2,Torquay United
Sat Sep 23 1978,Port Vale,1-2,AFC Bournemouth
Sat Sep 23 1978,York City,0-1,Wigan Athletic
Sat Sep 23 1978,Rochdale,0-2,Hereford United
Sat Sep 23 1978,Huddersfield Town,1-0,Northampton Town
Sat Sep 23 1978,Crewe Alexandra,0-3,Grimsby Town
Sat Sep 23 1978,Wimbledon,1-0,Reading
Sat Sep 23 1978,Doncaster Rovers,2-2,Barnsley
Sat Sep 23 1978,Hartlepool United,3-1,Halifax Town
Mon Sep 25 1978,Hartlepool United,0-0,Newport County
Mon Sep 25 1978,Rochdale,0-0,Wimbledon
Tue Sep 26 1978,York City,1-0,Hereford United
Tue Sep 26 1978,Huddersfield Town,2-0,Grimsby Town
Tue Sep 26 1978,Portsmouth,1-0,Wigan Athletic
Tue Sep 26 1978,Port Vale,2-2,Northampton Town
