Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 5 Aug 2017 (31),Celtic FC (1),4-1,1-0,Heart of Midlothian FC (1)
?,(Sat) 5 Aug 2017 (31),Dundee FC (1),1-2,0-1,Ross County (1)
?,(Sat) 5 Aug 2017 (31),Hibernian FC (1),3-1,2-1,Partick Thistle (1)
?,(Sat) 5 Aug 2017 (31),Kilmarnock FC (1),1-2,0-1,St Johnstone FC (1)
?,(Sun) 6 Aug 2017 (31),Aberdeen FC (1),2-0,1-0,Hamilton Academical FC (1)
?,(Sun) 6 Aug 2017 (31),Motherwell FC (1),1-2,1-1,Rangers FC (1)
?,(Fri) 11 Aug 2017 (32),Partick Thistle (2),0-1,0-1,Celtic FC (2)
?,(Sat) 12 Aug 2017 (32),Hamilton Academical FC (2),3-0,2-0,Dundee FC (2)
?,(Sat) 12 Aug 2017 (32),Kilmarnock FC (2),0-1,0-1,Heart of Midlothian FC (2)
?,(Sat) 12 Aug 2017 (32),Rangers FC (2),2-3,1-2,Hibernian FC (2)
?,(Sat) 12 Aug 2017 (32),Ross County (2),1-2,1-1,Aberdeen FC (2)
?,(Sat) 12 Aug 2017 (32),St Johnstone FC (2),4-1,2-1,Motherwell FC (2)
?,(Sat) 19 Aug 2017 (33),Aberdeen FC (3),2-1,1-0,Dundee FC (3)
?,(Sat) 19 Aug 2017 (33),Hibernian FC (3),1-3,0-0,Hamilton Academical FC (3)
?,(Sat) 19 Aug 2017 (33),Kilmarnock FC (3),0-2,0-1,Celtic FC (3)
?,(Sat) 19 Aug 2017 (33),Motherwell FC (3),2-0,0-0,Ross County (3)
?,(Sat) 19 Aug 2017 (33),Rangers FC (3),0-0,0-0,Heart of Midlothian FC (3)
?,(Sat) 19 Aug 2017 (33),St Johnstone FC (3),1-0,1-0,Partick Thistle (3)
?,(Sat) 26 Aug 2017 (34),Celtic FC (4),1-1,0-1,St Johnstone FC (4)
?,(Sat) 26 Aug 2017 (34),Kilmarnock FC (4),2-2,1-0,Hamilton Academical FC (4)
?,(Sat) 26 Aug 2017 (34),Motherwell FC (4),2-1,2-1,Heart of Midlothian FC (4)
?,(Sat) 26 Aug 2017 (34),Partick Thistle (4),3-4,2-2,Aberdeen FC (4)
?,(Sun) 27 Aug 2017 (34),Dundee FC (4),1-1,1-1,Hibernian FC (4)
?,(Sun) 27 Aug 2017 (34),Ross County (4),1-3,0-2,Rangers FC (4)
?,(Fri) 8 Sep 2017 (36),Hamilton Academical FC (5),1-4,0-3,Celtic FC (5)
?,(Sat) 9 Sep 2017 (36),Heart of Midlothian FC (5),0-0,0-0,Aberdeen FC (5)
?,(Sat) 9 Sep 2017 (36),Motherwell FC (5),2-0,0-0,Kilmarnock FC (5)
?,(Sat) 9 Sep 2017 (36),Rangers FC (5),4-1,1-0,Dundee FC (5)
?,(Sat) 9 Sep 2017 (36),Ross County (5),1-1,0-1,Partick Thistle (5)
?,(Sat) 9 Sep 2017 (36),St Johnstone FC (5),1-1,0-0,Hibernian FC (5)
?,(Fri) 15 Sep 2017 (37),Partick Thistle (6),2-2,0-1,Rangers FC (6)
?,(Sat) 16 Sep 2017 (37),Aberdeen FC (6),1-1,1-0,Kilmarnock FC (6)
?,(Sat) 16 Sep 2017 (37),Celtic FC (6),4-0,2-0,Ross County (6)
?,(Sat) 16 Sep 2017 (37),Dundee FC (6),3-2,1-0,St Johnstone FC (6)
?,(Sat) 16 Sep 2017 (37),Hamilton Academical FC (6),1-2,1-2,Heart of Midlothian FC (6)
?,(Sat) 16 Sep 2017 (37),Hibernian FC (6),2-2,1-0,Motherwell FC (6)
?,(Sat) 23 Sep 2017 (38),Kilmarnock FC (7),1-1,0-1,Dundee FC (7)
?,(Sat) 23 Sep 2017 (38),Partick Thistle (7),1-1,1-0,Heart of Midlothian FC (7)
?,(Sat) 23 Sep 2017 (38),Rangers FC (7),0-2,0-0,Celtic FC (7)
?,(Sat) 23 Sep 2017 (38),Ross County (7),0-1,0-1,Hibernian FC (7)
?,(Sat) 23 Sep 2017 (38),St Johnstone FC (7),2-1,0-1,Hamilton Academical FC (7)
?,(Sun) 24 Sep 2017 (38),Motherwell FC (7),0-1,0-0,Aberdeen FC (7)
?,(Fri) 29 Sep 2017 (39),Hamilton Academical FC (8),1-4,1-3,Rangers FC (8)
?,(Sat) 30 Sep 2017 (39),Aberdeen FC (8),3-0,2-0,St Johnstone FC (8)
?,(Sat) 30 Sep 2017 (39),Celtic FC (8),2-2,1-0,Hibernian FC (8)
?,(Sat) 30 Sep 2017 (39),Dundee FC (8),2-1,1-0,Heart of Midlothian FC (8)
?,(Sat) 30 Sep 2017 (39),Kilmarnock FC (8),0-2,0-2,Ross County (8)
?,(Sat) 30 Sep 2017 (39),Motherwell FC (8),3-0,1-0,Partick Thistle (8)
?,(Fri) 13 Oct 2017 (41),St Johnstone FC (9),0-3,0-1,Rangers FC (9)
?,(Sat) 14 Oct 2017 (41),Celtic FC (9),1-0,0-0,Dundee FC (9)
?,(Sat) 14 Oct 2017 (41),Hamilton Academical FC (9),1-2,1-1,Motherwell FC (9)
?,(Sat) 14 Oct 2017 (41),Hibernian FC (9),0-1,0-1,Aberdeen FC (9)
?,(Sat) 14 Oct 2017 (41),Partick Thistle (9),0-2,0-1,Kilmarnock FC (9)
?,(Sat) 14 Oct 2017 (41),Ross County (9),1-2,1-1,Heart of Midlothian FC (9)
?,(Sat) 21 Oct 2017 (42),Heart of Midlothian FC (10),1-0,0-0,St Johnstone FC (10)
?,(Sat) 21 Oct 2017 (42),Partick Thistle (10),2-1,0-1,Dundee FC (10)
?,(Sat) 21 Oct 2017 (42),Ross County (10),2-1,0-0,Hamilton Academical FC (10)
?,(Tue) 24 Oct 2017 (43),Hamilton Academical FC (11),0-0,0-0,Partick Thistle (11)
?,(Tue) 24 Oct 2017 (43),Hibernian FC (10),1-0,1-0,Heart of Midlothian FC (11)
?,(Tue) 24 Oct 2017 (43),St Johnstone FC (11),0-0,0-0,Ross County (11)
?,(Wed) 25 Oct 2017 (43),Aberdeen FC (10),0-3,0-2,Celtic FC (10)
?,(Wed) 25 Oct 2017 (43),Dundee FC (11),0-1,0-1,Motherwell FC (10)
?,(Wed) 25 Oct 2017 (43),Rangers FC (10),1-1,1-0,Kilmarnock FC (10)
?,(Sat) 28 Oct 2017 (43),Aberdeen FC (11),2-1,1-1,Ross County (12)
?,(Sat) 28 Oct 2017 (43),Celtic FC (11),1-1,1-0,Kilmarnock FC (11)
?,(Sat) 28 Oct 2017 (43),Dundee FC (12),1-3,0-1,Hamilton Academical FC (12)
?,(Sat) 28 Oct 2017 (43),Heart of Midlothian FC (12),1-3,1-1,Rangers FC (11)
?,(Sat) 28 Oct 2017 (43),Motherwell FC (11),0-1,0-1,Hibernian FC (11)
?,(Sat) 28 Oct 2017 (43),Partick Thistle (12),1-0,1-0,St Johnstone FC (12)
?,(Tue) 31 Oct 2017 (44),Kilmarnock FC (12),0-3,0-1,Hibernian FC (12)
?,(Sat) 4 Nov 2017 (44),Hamilton Academical FC (13),2-2,1-1,Aberdeen FC (12)
?,(Sat) 4 Nov 2017 (44),Hibernian FC (13),2-1,1-1,Dundee FC (13)
?,(Sat) 4 Nov 2017 (44),Rangers FC (12),3-0,2-0,Partick Thistle (13)
?,(Sat) 4 Nov 2017 (44),Ross County (13),3-2,3-0,Motherwell FC (12)
?,(Sat) 4 Nov 2017 (44),St Johnstone FC (13),0-4,0-1,Celtic FC (12)
?,(Sun) 5 Nov 2017 (44),Heart of Midlothian FC (13),1-2,0-1,Kilmarnock FC (13)
?,(Sat) 18 Nov 2017 (46),Aberdeen FC (13),0-2,0-1,Motherwell FC (13)
?,(Sat) 18 Nov 2017 (46),Dundee FC (14),0-0,0-0,Kilmarnock FC (14)
?,(Sat) 18 Nov 2017 (46),Hibernian FC (14),1-2,0-0,St Johnstone FC (14)
?,(Sat) 18 Nov 2017 (46),Rangers FC (13),0-2,0-0,Hamilton Academical FC (14)
?,(Sat) 18 Nov 2017 (46),Ross County (14),0-1,0-0,Celtic FC (13)
?,(Sun) 19 Nov 2017 (46),Heart of Midlothian FC (14),1-1,0-0,Partick Thistle (14)
?,(Fri) 24 Nov 2017 (47),Dundee FC (15),2-1,0-0,Rangers FC (14)
?,(Sat) 25 Nov 2017 (47),Hamilton Academical FC (15),1-1,0-1,Hibernian FC (15)
