Date,Team 1,FT,Team 2
Sat Aug 30 1930,Rotherham United,2-1,York City
Sat Aug 30 1930,Southport,1-1,Wrexham
Sat Aug 30 1930,Darlington,2-3,Wigan Borough
Sat Aug 30 1930,Accrington Stanley,3-1,Crewe Alexandra
Sat Aug 30 1930,Halifax Town,3-1,Hartlepool United
Sat Aug 30 1930,Barrow,1-3,Tranmere Rovers
Sat Aug 30 1930,Rochdale,5-4,Nelson
Sat Aug 30 1930,Gateshead,2-1,Doncaster Rovers
Sat Aug 30 1930,Stockport County,3-2,Hull City
Sat Aug 30 1930,Chesterfield,2-1,Carlisle United
Sat Aug 30 1930,New Brighton,2-1,Lincoln City
Mon Sep 1 1930,Halifax Town,3-0,Gateshead
Mon Sep 1 1930,Rochdale,2-3,Chesterfield
Mon Sep 1 1930,Lincoln City,2-0,Wigan Borough
Mon Sep 1 1930,Barrow,0-0,Accrington Stanley
Mon Sep 1 1930,Stockport County,2-0,New Brighton
Mon Sep 1 1930,Hartlepool United,0-2,Southport
Mon Sep 1 1930,Tranmere Rovers,2-0,Carlisle United
Mon Sep 1 1930,Crewe Alexandra,2-3,Rotherham United
Mon Sep 1 1930,Doncaster Rovers,1-2,Darlington
Tue Sep 2 1930,Nelson,0-2,Hull City
Wed Sep 3 1930,Wrexham,3-2,York City
Sat Sep 6 1930,Crewe Alexandra,3-1,Rochdale
Sat Sep 6 1930,Lincoln City,6-1,Stockport County
Sat Sep 6 1930,Hartlepool United,4-1,New Brighton
Sat Sep 6 1930,Carlisle United,0-1,Barrow
Sat Sep 6 1930,Tranmere Rovers,3-1,Southport
Sat Sep 6 1930,Hull City,4-0,Gateshead
Sat Sep 6 1930,Wrexham,6-1,Accrington Stanley
Sat Sep 6 1930,Nelson,3-1,Darlington
Sat Sep 6 1930,Wigan Borough,3-0,Halifax Town
Sat Sep 6 1930,York City,2-2,Chesterfield
Sat Sep 6 1930,Doncaster Rovers,3-3,Rotherham United
Mon Sep 8 1930,Halifax Town,0-2,Doncaster Rovers
Mon Sep 8 1930,Barrow,0-0,Rochdale
Mon Sep 8 1930,Chesterfield,2-0,Crewe Alexandra
Mon Sep 8 1930,Gateshead,4-0,New Brighton
Mon Sep 8 1930,Rotherham United,1-4,Wrexham
Wed Sep 10 1930,Wigan Borough,3-2,Hartlepool United
Wed Sep 10 1930,York City,3-1,Tranmere Rovers
Wed Sep 10 1930,Darlington,2-4,Hull City
Wed Sep 10 1930,Nelson,1-2,Lincoln City
Wed Sep 10 1930,Accrington Stanley,2-0,Southport
Thu Sep 11 1930,Carlisle United,5-1,Stockport County
Sat Sep 13 1930,Doncaster Rovers,0-2,Hull City
Sat Sep 13 1930,Stockport County,3-1,Hartlepool United
Sat Sep 13 1930,Gateshead,0-1,Lincoln City
Sat Sep 13 1930,Accrington Stanley,5-2,Tranmere Rovers
Sat Sep 13 1930,Chesterfield,2-1,Rotherham United
Sat Sep 13 1930,Southport,1-2,Carlisle United
Sat Sep 13 1930,New Brighton,0-2,Wigan Borough
Sat Sep 13 1930,Halifax Town,1-0,Nelson
Sat Sep 13 1930,Darlington,1-2,Crewe Alexandra
Sat Sep 13 1930,Rochdale,4-3,Wrexham
Sat Sep 13 1930,Barrow,1-2,York City
Mon Sep 15 1930,Hull City,1-1,Darlington
Mon Sep 15 1930,New Brighton,0-0,Gateshead
Mon Sep 15 1930,Lincoln City,2-0,Nelson
Mon Sep 15 1930,Rochdale,4-2,Barrow
Mon Sep 15 1930,Stockport County,3-0,Carlisle United
Tue Sep 16 1930,Southport,3-3,Accrington Stanley
Wed Sep 17 1930,Wrexham,3-2,Rotherham United
Wed Sep 17 1930,Crewe Alexandra,2-1,Chesterfield
Thu Sep 18 1930,Doncaster Rovers,3-3,Halifax Town
Thu Sep 18 1930,Tranmere Rovers,4-1,York City
Sat Sep 20 1930,Hull City,3-1,Chesterfield
Sat Sep 20 1930,Rotherham United,6-0,Barrow
Sat Sep 20 1930,Tranmere Rovers,7-3,Rochdale
Sat Sep 20 1930,Carlisle United,7-3,Accrington Stanley
Sat Sep 20 1930,Hartlepool United,2-3,Gateshead
Sat Sep 20 1930,Darlington,4-1,Halifax Town
Sat Sep 20 1930,Nelson,2-2,New Brighton
Sat Sep 20 1930,York City,3-1,Southport
Sat Sep 20 1930,Wrexham,7-0,Crewe Alexandra
Sat Sep 20 1930,Lincoln City,1-0,Doncaster Rovers
Sat Sep 20 1930,Wigan Borough,2-1,Stockport County
Sat Sep 27 1930,Barrow,0-3,Chesterfield
Sat Sep 27 1930,Gateshead,4-2,Wigan Borough
Sat Sep 27 1930,Doncaster Rovers,1-1,Hartlepool United
Sat Sep 27 1930,Crewe Alexandra,1-2,Tranmere Rovers
Sat Sep 27 1930,Accrington Stanley,4-2,York City
Sat Sep 27 1930,Southport,4-1,Rotherham United
Sat Sep 27 1930,Rochdale,1-3,Carlisle United
Sat Sep 27 1930,Stockport County,1-0,Nelson
Sat Sep 27 1930,Hull City,1-3,Lincoln City
Sat Sep 27 1930,Halifax Town,0-0,Wrexham
Sat Sep 27 1930,New Brighton,1-5,Darlington
Tue Sep 30 1930,Accrington Stanley,3-1,Barrow
Sat Oct 4 1930,Lincoln City,5-0,Barrow
Sat Oct 4 1930,York City,3-0,Rochdale
Sat Oct 4 1930,Chesterfield,2-1,Southport
Sat Oct 4 1930,Halifax Town,1-0,New Brighton
Sat Oct 4 1930,Wigan Borough,3-0,Doncaster Rovers
Sat Oct 4 1930,Carlisle United,4-1,Crewe Alexandra
Sat Oct 4 1930,Hartlepool United,1-3,Hull City
Sat Oct 4 1930,Tranmere Rovers,2-1,Wrexham
Sat Oct 4 1930,Nelson,2-2,Gateshead
Sat Oct 4 1930,Darlington,1-2,Stockport County
Sat Oct 4 1930,Rotherham United,8-1,Accrington Stanley
Sat Oct 11 1930,Stockport County,3-0,Halifax Town
Sat Oct 11 1930,Accrington Stanley,1-3,Chesterfield
Sat Oct 11 1930,Hull City,0-0,Wigan Borough
Sat Oct 11 1930,Wrexham,2-1,Carlisle United
Sat Oct 11 1930,Gateshead,1-1,Darlington
Sat Oct 11 1930,Crewe Alexandra,5-1,York City
Sat Oct 11 1930,Doncaster Rovers,2-0,Nelson
Sat Oct 11 1930,Rochdale,6-1,Rotherham United
Sat Oct 11 1930,Southport,3-2,Barrow
Sat Oct 11 1930,Lincoln City,1-0,Hartlepool United
Sat Oct 11 1930,New Brighton,1-3,Tranmere Rovers
Sat Oct 18 1930,Wrexham,2-0,Darlington
Sat Oct 18 1930,Accrington Stanley,0-2,Hartlepool United
Sat Oct 18 1930,York City,1-2,Stockport County
Sat Oct 18 1930,Tranmere Rovers,2-2,Halifax Town
Sat Oct 18 1930,Rochdale,0-4,Wigan Borough
Sat Oct 18 1930,Carlisle United,2-0,New Brighton
Sat Oct 18 1930,Chesterfield,2-1,Doncaster Rovers
Sat Oct 18 1930,Rotherham United,1-1,Gateshead
Sat Oct 18 1930,Crewe Alexandra,4-2,Nelson
Sat Oct 18 1930,Barrow,3-0,Hull City
Sat Oct 18 1930,Southport,1-2,Lincoln City
Sat Oct 25 1930,Wigan Borough,1-0,Southport
Sat Oct 25 1930,New Brighton,1-1,Wrexham
Sat Oct 25 1930,Darlington,1-1,Rochdale
Sat Oct 25 1930,Gateshead,1-0,Carlisle United
Sat Oct 25 1930,Hartlepool United,3-2,Barrow
Sat Oct 25 1930,Hull City,2-2,Rotherham United
Sat Oct 25 1930,Nelson,4-2,Accrington Stanley
Sat Oct 25 1930,Halifax Town,4-0,Crewe Alexandra
Sat Oct 25 1930,Lincoln City,1-1,Chesterfield
Sat Oct 25 1930,Stockport County,1-1,Tranmere Rovers
Sat Oct 25 1930,Doncaster Rovers,0-2,York City
Sat Nov 1 1930,Chesterfield,1-1,Stockport County
Sat Nov 1 1930,Barrow,0-0,Gateshead
Sat Nov 1 1930,York City,4-1,Halifax Town
Sat Nov 1 1930,Wrexham,2-0,Wigan Borough
Sat Nov 1 1930,Carlisle United,2-1,Darlington
Sat Nov 1 1930,Southport,2-1,Doncaster Rovers
Sat Nov 1 1930,Rotherham United,2-0,New Brighton
Sat Nov 1 1930,Accrington Stanley,1-3,Hull City
Sat Nov 1 1930,Rochdale,4-2,Lincoln City
Sat Nov 1 1930,Crewe Alexandra,2-1,Hartlepool United
Sat Nov 1 1930,Tranmere Rovers,7-1,Nelson
Sat Nov 8 1930,Doncaster Rovers,6-1,Accrington Stanley
Sat Nov 8 1930,Gateshead,2-3,Southport
Sat Nov 8 1930,New Brighton,3-1,Chesterfield
Sat Nov 8 1930,Lincoln City,3-1,Crewe Alexandra
Sat Nov 8 1930,Halifax Town,0-1,Rotherham United
Sat Nov 8 1930,Wigan Borough,4-3,Tranmere Rovers
Sat Nov 8 1930,Stockport County,6-0,Barrow
Sat Nov 8 1930,Hull City,3-1,Rochdale
Sat Nov 8 1930,Nelson,1-2,Carlisle United
Sat Nov 8 1930,Hartlepool United,2-1,Wrexham
Sat Nov 8 1930,Darlington,3-0,York City
Sat Nov 15 1930,Rotherham United,0-2,Darlington
Sat Nov 15 1930,Accrington Stanley,2-1,Gateshead
Sat Nov 15 1930,Wrexham,2-2,Lincoln City
Sat Nov 15 1930,Crewe Alexandra,3-4,Hull City
Sat Nov 15 1930,Tranmere Rovers,5-4,Hartlepool United
Sat Nov 15 1930,Southport,2-0,Stockport County
Sat Nov 15 1930,Chesterfield,7-0,Halifax Town
Sat Nov 15 1930,York City,3-0,Nelson
Sat Nov 15 1930,Carlisle United,6-1,Wigan Borough
Sat Nov 15 1930,Rochdale,3-5,Doncaster Rovers
Sat Nov 15 1930,Barrow,4-1,New Brighton
Sat Nov 22 1930,Doncaster Rovers,2-0,Crewe Alexandra
Sat Nov 22 1930,Hull City,2-3,Wrexham
Sat Nov 22 1930,Lincoln City,1-3,Tranmere Rovers
Sat Nov 22 1930,Hartlepool United,3-5,Carlisle United
Sat Nov 22 1930,Halifax Town,4-0,Barrow
Sat Nov 22 1930,New Brighton,1-2,Southport
Sat Nov 22 1930,Darlington,5-1,Chesterfield
Sat Nov 22 1930,Nelson,0-0,Rotherham United
Sat Nov 22 1930,Stockport County,4-1,Accrington Stanley
Sat Nov 22 1930,Gateshead,0-2,Rochdale
Sat Nov 22 1930,Wigan Borough,3-1,York City
Sat Dec 6 1930,Hull City,1-1,Carlisle United
Sat Dec 6 1930,New Brighton,2-1,Rochdale
Sat Dec 6 1930,Stockport County,2-0,Crewe Alexandra
Sat Dec 6 1930,Lincoln City,4-1,York City
Sat Dec 6 1930,Nelson,0-3,Barrow
Sat Dec 6 1930,Doncaster Rovers,6-0,Tranmere Rovers
Sat Dec 6 1930,Halifax Town,1-1,Accrington Stanley
Sat Dec 6 1930,Darlington,2-3,Southport
Sat Dec 6 1930,Wigan Borough,1-5,Chesterfield
Sat Dec 6 1930,Gateshead,4-3,Wrexham
Sat Dec 6 1930,Hartlepool United,4-2,Rotherham United
Sat Dec 13 1930,Tranmere Rovers,4-0,Hull City
Sat Dec 13 1930,Chesterfield,3-0,Hartlepool United
Sat Dec 13 1930,Barrow,4-1,Wigan Borough
Mon Dec 15 1930,Accrington Stanley,2-1,Darlington
Mon Dec 15 1930,Rotherham United,2-2,Lincoln City
Wed Dec 17 1930,Wrexham,3-2,Stockport County
Wed Dec 17 1930,Crewe Alexandra,1-3,New Brighton
Sat Dec 20 1930,Hull City,5-1,Southport
Sat Dec 20 1930,New Brighton,5-3,York City
Sat Dec 20 1930,Halifax Town,1-5,Carlisle United
Sat Dec 20 1930,Doncaster Rovers,0-0,Barrow
Sat Dec 20 1930,Nelson,2-0,Wrexham
Sat Dec 20 1930,Wigan Borough,6-0,Crewe Alexandra
Sat Dec 20 1930,Gateshead,3-3,Chesterfield
Sat Dec 20 1930,Stockport County,5-2,Rotherham United
Sat Dec 20 1930,Hartlepool United,4-0,Rochdale
Sat Dec 20 1930,Darlington,2-0,Tranmere Rovers
Sat Dec 20 1930,Lincoln City,5-2,Accrington Stanley
Thu Dec 25 1930,Accrington Stanley,3-0,Wigan Borough
Thu Dec 25 1930,Rotherham United,4-6,Tranmere Rovers
Thu Dec 25 1930,Halifax Town,1-1,Hull City
