Date,Team 1,FT,Team 2
Sat Aug 30 1924,Norwich City,1-1,Plymouth Argyle
Sat Aug 30 1924,Exeter City,1-0,Reading
Sat Aug 30 1924,Bristol Rovers,1-0,Merthyr Town
Sat Aug 30 1924,Aberdare Athletic,1-2,Bristol City
Sat Aug 30 1924,Swansea City,2-0,Swindon Town
Sat Aug 30 1924,Luton Town,0-0,Gillingham
Sat Aug 30 1924,Brentford,2-4,Brighton & Hove Albion
Sat Aug 30 1924,Millwall,3-1,AFC Bournemouth
Sat Aug 30 1924,Southend United,0-3,Charlton Athletic
Sat Aug 30 1924,Newport County,0-0,Queens Park Rangers
Sat Aug 30 1924,Watford,1-0,Northampton Town
Mon Sep 1 1924,Luton Town,1-1,Millwall
Mon Sep 1 1924,Merthyr Town,1-0,Southend United
Mon Sep 1 1924,Swansea City,2-2,Bristol Rovers
Mon Sep 1 1924,Bristol City,0-1,Exeter City
Mon Sep 1 1924,Swindon Town,1-0,Plymouth Argyle
Mon Sep 1 1924,Charlton Athletic,0-0,Northampton Town
Wed Sep 3 1924,AFC Bournemouth,0-0,Norwich City
Wed Sep 3 1924,Queens Park Rangers,0-0,Watford
Wed Sep 3 1924,Gillingham,1-0,Brentford
Wed Sep 3 1924,Reading,0-1,Newport County
Thu Sep 4 1924,Northampton Town,5-0,Aberdare Athletic
Sat Sep 6 1924,Swindon Town,2-0,Aberdare Athletic
Sat Sep 6 1924,Plymouth Argyle,7-1,Brentford
Sat Sep 6 1924,Northampton Town,0-1,Southend United
Sat Sep 6 1924,Charlton Athletic,1-0,Newport County
Sat Sep 6 1924,Bristol City,2-0,Norwich City
Sat Sep 6 1924,Queens Park Rangers,1-2,Bristol Rovers
Sat Sep 6 1924,Merthyr Town,0-1,Exeter City
Sat Sep 6 1924,AFC Bournemouth,2-1,Luton Town
Sat Sep 6 1924,Gillingham,0-0,Watford
Sat Sep 6 1924,Reading,2-0,Swansea City
Sat Sep 6 1924,Brighton & Hove Albion,3-3,Millwall
Mon Sep 8 1924,Brentford,2-1,Gillingham
Mon Sep 8 1924,Northampton Town,2-1,Charlton Athletic
Mon Sep 8 1924,Luton Town,1-1,Exeter City
Mon Sep 8 1924,Norwich City,2-2,Brighton & Hove Albion
Mon Sep 8 1924,Bristol Rovers,3-0,Swansea City
Mon Sep 8 1924,Plymouth Argyle,2-0,Swindon Town
Wed Sep 10 1924,Exeter City,0-2,Bristol City
Wed Sep 10 1924,Southend United,2-1,Merthyr Town
Wed Sep 10 1924,Watford,1-0,Queens Park Rangers
Thu Sep 11 1924,Newport County,1-1,Reading
Sat Sep 13 1924,Luton Town,3-1,Brighton & Hove Albion
Sat Sep 13 1924,Norwich City,4-0,Swindon Town
Sat Sep 13 1924,Brentford,1-0,Bristol City
Sat Sep 13 1924,Millwall,0-0,Plymouth Argyle
Sat Sep 13 1924,Swansea City,2-0,Merthyr Town
Sat Sep 13 1924,Newport County,1-0,Northampton Town
Sat Sep 13 1924,Aberdare Athletic,3-0,Reading
Sat Sep 13 1924,Gillingham,0-0,AFC Bournemouth
Sat Sep 13 1924,Exeter City,1-3,Queens Park Rangers
Sat Sep 13 1924,Southend United,0-4,Watford
Sat Sep 13 1924,Bristol Rovers,4-0,Charlton Athletic
Mon Sep 15 1924,Brentford,2-0,Newport County
Mon Sep 15 1924,Millwall,0-0,Bristol Rovers
Mon Sep 15 1924,Northampton Town,1-0,Luton Town
Wed Sep 17 1924,Southend United,1-0,Queens Park Rangers
Wed Sep 17 1924,Bristol City,0-0,Swindon Town
Thu Sep 18 1924,Charlton Athletic,1-1,Watford
Sat Sep 20 1924,Charlton Athletic,1-0,Exeter City
Sat Sep 20 1924,Northampton Town,5-0,Bristol Rovers
Sat Sep 20 1924,Watford,0-5,Newport County
Sat Sep 20 1924,Swindon Town,2-0,Brentford
Sat Sep 20 1924,Plymouth Argyle,4-0,Luton Town
Sat Sep 20 1924,Merthyr Town,0-0,Reading
Sat Sep 20 1924,AFC Bournemouth,1-0,Southend United
Sat Sep 20 1924,Aberdare Athletic,2-1,Norwich City
Sat Sep 20 1924,Bristol City,4-1,Millwall
Sat Sep 20 1924,Brighton & Hove Albion,2-0,Gillingham
Sat Sep 20 1924,Queens Park Rangers,0-0,Swansea City
Mon Sep 22 1924,Luton Town,2-0,Northampton Town
