Date,Team 1,FT,Team 2
Sat Aug 26 1922,Swindon Town,2-0,Northampton Town
Sat Aug 26 1922,Brighton & Hove Albion,0-0,Norwich City
Sat Aug 26 1922,Bristol City,2-1,Reading
Sat Aug 26 1922,Portsmouth,0-0,Bristol Rovers
Sat Aug 26 1922,Newport County,0-2,Southend United
Sat Aug 26 1922,Aberdare Athletic,3-1,Exeter City
Sat Aug 26 1922,Millwall,0-0,Plymouth Argyle
Sat Aug 26 1922,Swansea City,1-1,Merthyr Town
Sat Aug 26 1922,Gillingham,2-0,Brentford
Sat Aug 26 1922,Luton Town,2-2,Charlton Athletic
Sat Aug 26 1922,Queens Park Rangers,1-2,Watford
Mon Aug 28 1922,Charlton Athletic,0-2,Portsmouth
Mon Aug 28 1922,Merthyr Town,1-1,Swindon Town
Mon Aug 28 1922,Bristol Rovers,3-1,Newport County
Mon Aug 28 1922,Brentford,3-2,Luton Town
Mon Aug 28 1922,Norwich City,1-1,Queens Park Rangers
Mon Aug 28 1922,Plymouth Argyle,5-1,Bristol City
Mon Aug 28 1922,Northampton Town,1-0,Gillingham
Wed Aug 30 1922,Exeter City,1-0,Brighton & Hove Albion
Wed Aug 30 1922,Reading,4-4,Swansea City
Wed Aug 30 1922,Watford,0-0,Millwall
Sat Sep 2 1922,Bristol Rovers,0-1,Portsmouth
Sat Sep 2 1922,Charlton Athletic,2-1,Luton Town
Sat Sep 2 1922,Watford,0-3,Queens Park Rangers
Sat Sep 2 1922,Norwich City,1-0,Brighton & Hove Albion
Sat Sep 2 1922,Plymouth Argyle,1-0,Millwall
Sat Sep 2 1922,Northampton Town,1-2,Swindon Town
Sat Sep 2 1922,Brentford,2-0,Gillingham
Sat Sep 2 1922,Reading,0-0,Bristol City
Sat Sep 2 1922,Merthyr Town,2-1,Swansea City
Sat Sep 2 1922,Southend United,3-1,Newport County
Sat Sep 2 1922,Exeter City,1-0,Aberdare Athletic
Mon Sep 4 1922,Queens Park Rangers,2-0,Norwich City
Mon Sep 4 1922,Bristol City,2-0,Plymouth Argyle
Mon Sep 4 1922,Luton Town,4-0,Brentford
Mon Sep 4 1922,Swindon Town,4-0,Merthyr Town
Mon Sep 4 1922,Millwall,5-1,Watford
Mon Sep 4 1922,Swansea City,2-2,Reading
Wed Sep 6 1922,Gillingham,0-3,Northampton Town
Wed Sep 6 1922,Portsmouth,3-0,Charlton Athletic
Wed Sep 6 1922,Brighton & Hove Albion,3-0,Exeter City
Thu Sep 7 1922,Newport County,4-1,Bristol Rovers
Sat Sep 9 1922,Northampton Town,1-1,Watford
Sat Sep 9 1922,Aberdare Athletic,0-2,Portsmouth
Sat Sep 9 1922,Norwich City,0-2,Brentford
Sat Sep 9 1922,Bristol City,2-0,Newport County
Sat Sep 9 1922,Luton Town,1-1,Brighton & Hove Albion
Sat Sep 9 1922,Reading,0-1,Bristol Rovers
Sat Sep 9 1922,Plymouth Argyle,2-0,Merthyr Town
Sat Sep 9 1922,Millwall,1-1,Swindon Town
Sat Sep 9 1922,Exeter City,0-0,Charlton Athletic
Sat Sep 9 1922,Swansea City,1-0,Southend United
Sat Sep 9 1922,Queens Park Rangers,2-1,Gillingham
Mon Sep 11 1922,Aberdare Athletic,1-1,Southend United
Mon Sep 11 1922,Brentford,1-3,Queens Park Rangers
Wed Sep 13 1922,Bristol Rovers,1-2,Watford
