Date,Team 1,FT,Team 2
Sat Aug 15 1970,Brighton & Hove Albion,0-0,Torquay United
Sat Aug 15 1970,Plymouth Argyle,0-1,Tranmere Rovers
Sat Aug 15 1970,Doncaster Rovers,1-2,Mansfield Town
Sat Aug 15 1970,Walsall,1-2,Bradford City
Sat Aug 15 1970,Rochdale,1-1,Bristol Rovers
Sat Aug 15 1970,Preston North End,1-1,Halifax Town
Sat Aug 15 1970,Gillingham,0-0,Reading
Sat Aug 15 1970,Barnsley,0-1,Fulham
Sat Aug 15 1970,Swansea City,0-2,Port Vale
Sat Aug 15 1970,Chesterfield,2-3,Aston Villa
Sat Aug 15 1970,Shrewsbury Town,4-2,Rotherham United
Sat Aug 15 1970,Wrexham,3-2,Bury
Fri Aug 21 1970,Tranmere Rovers,0-0,Chesterfield
Sat Aug 22 1970,Aston Villa,1-1,Plymouth Argyle
Sat Aug 22 1970,Mansfield Town,1-0,Brighton & Hove Albion
Sat Aug 22 1970,Bury,2-1,Gillingham
Sat Aug 22 1970,Halifax Town,2-0,Wrexham
Sat Aug 22 1970,Reading,1-2,Walsall
Sat Aug 22 1970,Fulham,4-1,Swansea City
Sat Aug 22 1970,Rotherham United,2-0,Doncaster Rovers
Sat Aug 22 1970,Bristol Rovers,2-2,Shrewsbury Town
Sat Aug 22 1970,Bradford City,1-0,Barnsley
Sat Aug 22 1970,Torquay United,3-1,Preston North End
Sat Aug 22 1970,Port Vale,4-1,Rochdale
Fri Aug 28 1970,Barnsley,1-1,Bury
Fri Aug 28 1970,Shrewsbury Town,5-2,Mansfield Town
Sat Aug 29 1970,Doncaster Rovers,2-2,Tranmere Rovers
Sat Aug 29 1970,Walsall,3-2,Fulham
Sat Aug 29 1970,Rochdale,0-0,Bradford City
Sat Aug 29 1970,Swansea City,1-2,Aston Villa
Sat Aug 29 1970,Brighton & Hove Albion,1-1,Rotherham United
Sat Aug 29 1970,Gillingham,2-1,Halifax Town
Sat Aug 29 1970,Wrexham,1-0,Torquay United
Sat Aug 29 1970,Plymouth Argyle,2-1,Port Vale
Sat Aug 29 1970,Chesterfield,4-0,Reading
Sat Aug 29 1970,Preston North End,3-2,Bristol Rovers
Mon Aug 31 1970,Rochdale,1-0,Doncaster Rovers
Mon Aug 31 1970,Preston North End,3-2,Wrexham
Mon Aug 31 1970,Aston Villa,0-1,Mansfield Town
Tue Sep 1 1970,Rotherham United,3-2,Bury
Tue Sep 1 1970,Swansea City,5-0,Shrewsbury Town
Tue Sep 1 1970,Walsall,1-2,Barnsley
Tue Sep 1 1970,Bristol Rovers,3-0,Port Vale
Wed Sep 2 1970,Chesterfield,2-0,Gillingham
Wed Sep 2 1970,Reading,1-1,Tranmere Rovers
Wed Sep 2 1970,Plymouth Argyle,1-1,Brighton & Hove Albion
Wed Sep 2 1970,Fulham,5-0,Bradford City
Fri Sep 4 1970,Torquay United,3-0,Rochdale
Fri Sep 4 1970,Tranmere Rovers,2-2,Barnsley
Fri Sep 4 1970,Mansfield Town,1-5,Plymouth Argyle
Sat Sep 5 1970,Bury,0-2,Brighton & Hove Albion
Sat Sep 5 1970,Aston Villa,3-2,Doncaster Rovers
Sat Sep 5 1970,Port Vale,1-0,Preston North End
Sat Sep 5 1970,Fulham,2-0,Chesterfield
Sat Sep 5 1970,Bradford City,1-0,Shrewsbury Town
Sat Sep 5 1970,Halifax Town,2-1,Walsall
Sat Sep 5 1970,Reading,3-1,Swansea City
Sat Sep 5 1970,Bristol Rovers,3-2,Wrexham
Sat Sep 5 1970,Rotherham United,0-0,Gillingham
Fri Sep 11 1970,Doncaster Rovers,1-2,Halifax Town
Sat Sep 12 1970,Barnsley,1-1,Aston Villa
Sat Sep 12 1970,Wrexham,1-1,Rotherham United
Sat Sep 12 1970,Chesterfield,0-0,Bury
Sat Sep 12 1970,Preston North End,4-1,Reading
Sat Sep 12 1970,Brighton & Hove Albion,1-2,Bradford City
Sat Sep 12 1970,Shrewsbury Town,7-3,Port Vale
Sat Sep 12 1970,Swansea City,2-4,Mansfield Town
Sat Sep 12 1970,Plymouth Argyle,0-0,Bristol Rovers
Sat Sep 12 1970,Walsall,2-0,Tranmere Rovers
Sat Sep 12 1970,Rochdale,1-2,Fulham
Sat Sep 12 1970,Gillingham,1-2,Torquay United
Fri Sep 18 1970,Tranmere Rovers,0-0,Swansea City
Fri Sep 18 1970,Torquay United,1-1,Chesterfield
Sat Sep 19 1970,Reading,2-0,Barnsley
Sat Sep 19 1970,Bury,1-1,Shrewsbury Town
Sat Sep 19 1970,Bristol Rovers,3-0,Walsall
Sat Sep 19 1970,Rotherham United,5-1,Rochdale
Sat Sep 19 1970,Port Vale,1-1,Gillingham
Sat Sep 19 1970,Halifax Town,0-1,Brighton & Hove Albion
Sat Sep 19 1970,Fulham,1-1,Doncaster Rovers
Sat Sep 19 1970,Mansfield Town,1-1,Wrexham
Sat Sep 19 1970,Aston Villa,2-0,Preston North End
Sat Sep 19 1970,Bradford City,0-1,Plymouth Argyle
Mon Sep 21 1970,Torquay United,0-1,Barnsley
Mon Sep 21 1970,Port Vale,0-2,Chesterfield
Tue Sep 22 1970,Bury,0-1,Preston North End
Tue Sep 22 1970,Rotherham United,2-0,Swansea City
Tue Sep 22 1970,Bristol Rovers,2-0,Doncaster Rovers
Tue Sep 22 1970,Halifax Town,4-1,Plymouth Argyle
Wed Sep 23 1970,Bradford City,1-3,Wrexham
Wed Sep 23 1970,Reading,2-1,Shrewsbury Town
Wed Sep 23 1970,Aston Villa,2-1,Gillingham
Wed Sep 23 1970,Fulham,1-0,Brighton & Hove Albion
Fri Sep 25 1970,Shrewsbury Town,3-1,Tranmere Rovers
Sat Sep 26 1970,Brighton & Hove Albion,0-0,Bristol Rovers
Sat Sep 26 1970,Preston North End,1-1,Fulham
Sat Sep 26 1970,Barnsley,2-2,Halifax Town
Sat Sep 26 1970,Walsall,3-1,Port Vale
Sat Sep 26 1970,Swansea City,3-0,Bury
Sat Sep 26 1970,Wrexham,2-3,Aston Villa
Sat Sep 26 1970,Gillingham,2-2,Mansfield Town
Sat Sep 26 1970,Plymouth Argyle,4-1,Rotherham United
Sat Sep 26 1970,Chesterfield,0-1,Bradford City
Sat Sep 26 1970,Doncaster Rovers,0-1,Torquay United
Sat Sep 26 1970,Rochdale,1-2,Reading
Mon Sep 28 1970,Fulham,2-0,Tranmere Rovers
Mon Sep 28 1970,Mansfield Town,2-0,Port Vale
Tue Sep 29 1970,Halifax Town,1-3,Rotherham United
Tue Sep 29 1970,Barnsley,3-1,Gillingham
Tue Sep 29 1970,Walsall,2-1,Chesterfield
Tue Sep 29 1970,Doncaster Rovers,2-0,Brighton & Hove Albion
Tue Sep 29 1970,Swansea City,3-0,Wrexham
Wed Sep 30 1970,Torquay United,2-1,Bury
Wed Sep 30 1970,Shrewsbury Town,0-1,Preston North End
Wed Sep 30 1970,Aston Villa,1-1,Bristol Rovers
Wed Sep 30 1970,Bradford City,0-1,Reading
Fri Oct 2 1970,Bradford City,0-2,Preston North End
Fri Oct 2 1970,Tranmere Rovers,1-0,Gillingham
Sat Oct 3 1970,Rotherham United,1-0,Walsall
Sat Oct 3 1970,Bristol Rovers,3-2,Chesterfield
Sat Oct 3 1970,Port Vale,1-1,Barnsley
Sat Oct 3 1970,Bury,2-3,Doncaster Rovers
Sat Oct 3 1970,Mansfield Town,3-2,Rochdale
Sat Oct 3 1970,Aston Villa,0-0,Brighton & Hove Albion
Sat Oct 3 1970,Reading,0-0,Wrexham
Sat Oct 3 1970,Halifax Town,2-0,Shrewsbury Town
Sat Oct 3 1970,Fulham,1-1,Plymouth Argyle
Sat Oct 3 1970,Torquay United,2-1,Swansea City
Sat Oct 10 1970,Gillingham,1-4,Bristol Rovers
Sat Oct 10 1970,Swansea City,2-0,Bradford City
Sat Oct 10 1970,Preston North End,2-1,Mansfield Town
Sat Oct 10 1970,Doncaster Rovers,2-0,Reading
Sat Oct 10 1970,Shrewsbury Town,0-1,Fulham
Sat Oct 10 1970,Chesterfield,5-0,Halifax Town
Sat Oct 10 1970,Walsall,1-4,Torquay United
Sat Oct 10 1970,Wrexham,4-1,Tranmere Rovers
Sat Oct 10 1970,Plymouth Argyle,3-4,Bury
Sat Oct 10 1970,Rochdale,1-1,Aston Villa
