Date,Team 1,FT,Team 2
Sat Aug 9 2008,AFC Bournemouth,1-1,Gillingham
Sat Aug 9 2008,Accrington,0-1,Aldershot
Sat Aug 9 2008,Wycombe Wanderers,1-1,Morecambe
Sat Aug 9 2008,Grimsby Town,0-0,Rochdale
Sat Aug 9 2008,Darlington,1-1,Exeter City
Sat Aug 9 2008,Bradford City,2-1,Notts County
Sat Aug 9 2008,Bury,1-0,Brentford
Sat Aug 9 2008,Rotherham United,1-0,Lincoln City
Sat Aug 9 2008,Dagenham and Redbridge,6-0,Chester
Sat Aug 9 2008,Luton Town,1-3,Port Vale
Sat Aug 9 2008,Shrewsbury Town,4-0,Macclesfield
Sat Aug 9 2008,Barnet,1-3,Chesterfield
Sat Aug 16 2008,Morecambe,1-3,Rotherham United
Sat Aug 16 2008,Aldershot,1-1,AFC Bournemouth
Sat Aug 16 2008,Chester,0-2,Wycombe Wanderers
Sat Aug 16 2008,Port Vale,0-2,Accrington
Sat Aug 16 2008,Rochdale,3-1,Barnet
Sat Aug 16 2008,Exeter City,0-1,Shrewsbury Town
Sat Aug 16 2008,Macclesfield,0-2,Bradford City
Sat Aug 16 2008,Gillingham,0-1,Luton Town
Sat Aug 16 2008,Notts County,0-0,Darlington
Sat Aug 16 2008,Lincoln City,1-3,Dagenham and Redbridge
Sat Aug 16 2008,Chesterfield,1-3,Bury
Sat Aug 16 2008,Brentford,4-0,Grimsby Town
Sat Aug 23 2008,Dagenham and Redbridge,1-1,Port Vale
Sat Aug 23 2008,Grimsby Town,0-1,Chesterfield
Sat Aug 23 2008,Shrewsbury Town,1-0,Aldershot
Sat Aug 23 2008,Darlington,1-2,Gillingham
Sat Aug 23 2008,Rotherham United,3-1,Chester
Sat Aug 23 2008,Barnet,0-1,Brentford
Sat Aug 23 2008,Accrington,2-0,Macclesfield
Sat Aug 23 2008,Luton Town,1-1,Notts County
Sat Aug 23 2008,Wycombe Wanderers,1-0,Lincoln City
Sat Aug 23 2008,AFC Bournemouth,0-1,Exeter City
Sat Aug 23 2008,Bradford City,2-0,Rochdale
Sat Aug 23 2008,Bury,2-1,Morecambe
Sat Aug 30 2008,Chesterfield,0-1,Wycombe Wanderers
Sat Aug 30 2008,Exeter City,0-1,Luton Town
Sat Aug 30 2008,Notts County,2-2,Shrewsbury Town
Sat Aug 30 2008,Macclesfield,0-6,Darlington
Sat Aug 30 2008,Chester,5-1,Barnet
Sat Aug 30 2008,Rochdale,1-1,Bury
Sat Aug 30 2008,Brentford,0-0,Rotherham United
Sat Aug 30 2008,Aldershot,3-2,Bradford City
Sat Aug 30 2008,Lincoln City,1-1,Grimsby Town
Sat Aug 30 2008,Gillingham,1-0,Accrington
Sat Aug 30 2008,Morecambe,1-2,Dagenham and Redbridge
Sat Aug 30 2008,Port Vale,3-1,AFC Bournemouth
Sat Sep 6 2008,Macclesfield,2-1,Luton Town
Sat Sep 6 2008,Morecambe,1-0,Shrewsbury Town
Sat Sep 6 2008,Lincoln City,2-0,Barnet
Sat Sep 6 2008,Notts County,1-1,AFC Bournemouth
Sat Sep 6 2008,Rochdale,0-1,Wycombe Wanderers
Sat Sep 6 2008,Port Vale,0-2,Bradford City
Sat Sep 6 2008,Chester,1-1,Bury
Sat Sep 6 2008,Aldershot,2-1,Darlington
Sat Sep 6 2008,Chesterfield,1-0,Rotherham United
Sat Sep 6 2008,Gillingham,3-0,Grimsby Town
Sat Sep 6 2008,Exeter City,2-1,Accrington
Sat Sep 6 2008,Brentford,2-1,Dagenham and Redbridge
Sat Sep 13 2008,Luton Town,3-1,Aldershot
Sat Sep 13 2008,Rotherham United,2-2,Rochdale
Sat Sep 13 2008,Dagenham and Redbridge,3-0,Chesterfield
Sat Sep 13 2008,Barnet,1-1,Morecambe
Sat Sep 13 2008,Bury,3-1,Lincoln City
Sat Sep 13 2008,Accrington,1-1,Notts County
Sat Sep 13 2008,AFC Bournemouth,0-1,Macclesfield
Sat Sep 13 2008,Grimsby Town,1-3,Chester
Sat Sep 13 2008,Shrewsbury Town,7-0,Gillingham
Sat Sep 13 2008,Wycombe Wanderers,0-0,Brentford
Sat Sep 13 2008,Darlington,2-1,Port Vale
Sat Sep 13 2008,Bradford City,4-1,Exeter City
Sat Sep 20 2008,Exeter City,2-2,Notts County
Sat Sep 20 2008,Morecambe,1-1,Grimsby Town
Sat Sep 20 2008,Barnet,1-2,Bury
Sat Sep 20 2008,Brentford,1-1,Lincoln City
Sat Sep 20 2008,Wycombe Wanderers,2-1,Dagenham and Redbridge
Sat Sep 20 2008,Rotherham United,1-0,Luton Town
Sat Sep 20 2008,Rochdale,2-1,Chesterfield
Sat Sep 20 2008,Darlington,3-0,Accrington
Sat Sep 20 2008,Aldershot,2-1,Gillingham
Sat Sep 20 2008,Port Vale,1-4,Macclesfield
Sat Sep 20 2008,Bradford City,1-3,AFC Bournemouth
Sun Sep 21 2008,Chester,1-1,Shrewsbury Town
Sat Sep 27 2008,Chesterfield,0-1,Brentford
Sat Sep 27 2008,Grimsby Town,0-1,Barnet
Sat Sep 27 2008,Gillingham,1-0,Port Vale
Sat Sep 27 2008,Dagenham and Redbridge,1-1,Rotherham United
Sat Sep 27 2008,Macclesfield,1-4,Exeter City
Sat Sep 27 2008,Shrewsbury Town,2-0,Bradford City
Sat Sep 27 2008,Bury,0-0,Wycombe Wanderers
Sat Sep 27 2008,Notts County,2-1,Aldershot
Sat Sep 27 2008,Lincoln City,1-1,Morecambe
Sat Sep 27 2008,Luton Town,1-1,Chester
Sat Sep 27 2008,AFC Bournemouth,3-1,Darlington
Sun Sep 28 2008,Accrington,1-3,Rochdale
Sat Oct 4 2008,Morecambe,2-2,Chesterfield
Sat Oct 4 2008,Darlington,1-1,Shrewsbury Town
Sat Oct 4 2008,Brentford,1-0,Macclesfield
Sat Oct 4 2008,Chester,0-2,Lincoln City
Sat Oct 4 2008,Rotherham United,4-1,Grimsby Town
Sat Oct 4 2008,Wycombe Wanderers,3-1,AFC Bournemouth
Sat Oct 4 2008,Rochdale,0-2,Dagenham and Redbridge
Sat Oct 4 2008,Exeter City,3-0,Gillingham
Sat Oct 4 2008,Barnet,2-1,Accrington
Sat Oct 4 2008,Aldershot,3-3,Bury
Sat Oct 4 2008,Bradford City,1-1,Luton Town
Sat Oct 4 2008,Port Vale,1-2,Notts County
Fri Oct 10 2008,Lincoln City,1-1,Rochdale
Fri Oct 10 2008,Dagenham and Redbridge,2-0,Barnet
Sat Oct 11 2008,Luton Town,1-2,Darlington
Sat Oct 11 2008,Shrewsbury Town,1-2,Port Vale
Sat Oct 11 2008,Grimsby Town,1-1,Wycombe Wanderers
Sat Oct 11 2008,Chesterfield,1-1,Chester
Sat Oct 11 2008,Macclesfield,4-2,Aldershot
Sat Oct 11 2008,Bury,0-1,Exeter City
Sat Oct 11 2008,Accrington,2-3,Bradford City
Sat Oct 11 2008,AFC Bournemouth,0-0,Rotherham United
Sat Oct 11 2008,Gillingham,5-0,Morecambe
Mon Oct 13 2008,Notts County,1-1,Brentford
Sat Oct 18 2008,Rotherham United,3-4,Barnet
Sat Oct 18 2008,Morecambe,1-1,Rochdale
Sat Oct 18 2008,Exeter City,0-0,Grimsby Town
Sat Oct 18 2008,Bradford City,2-2,Gillingham
Sat Oct 18 2008,Luton Town,1-2,Accrington
Sat Oct 18 2008,Shrewsbury Town,4-1,AFC Bournemouth
Sat Oct 18 2008,Dagenham and Redbridge,1-3,Bury
Sat Oct 18 2008,Aldershot,1-1,Brentford
Sat Oct 18 2008,Wycombe Wanderers,1-1,Darlington
Sat Oct 18 2008,Notts County,1-1,Macclesfield
Sat Oct 18 2008,Lincoln City,3-1,Chesterfield
Sun Oct 19 2008,Chester,1-2,Port Vale
Mon Oct 20 2008,Darlington,2-1,Bradford City
Tue Oct 21 2008,Macclesfield,1-2,Lincoln City
Tue Oct 21 2008,Port Vale,1-3,Exeter City
Tue Oct 21 2008,Gillingham,2-2,Notts County
Tue Oct 21 2008,Bury,1-2,Rotherham United
Tue Oct 21 2008,Rochdale,6-1,Chester
Tue Oct 21 2008,Brentford,3-1,Morecambe
Tue Oct 21 2008,Grimsby Town,2-2,Luton Town
Tue Oct 21 2008,AFC Bournemouth,2-1,Dagenham and Redbridge
Tue Oct 21 2008,Accrington,2-1,Shrewsbury Town
Tue Oct 21 2008,Barnet,1-1,Wycombe Wanderers
Wed Oct 22 2008,Chesterfield,5-1,Aldershot
Fri Oct 24 2008,Grimsby Town,1-3,Bradford City
Sat Oct 25 2008,Darlington,3-0,Dagenham and Redbridge
Sat Oct 25 2008,AFC Bournemouth,0-1,Lincoln City
Sat Oct 25 2008,Chesterfield,3-1,Notts County
Sat Oct 25 2008,Accrington,0-1,Wycombe Wanderers
Sat Oct 25 2008,Gillingham,2-0,Chester
Sat Oct 25 2008,Rochdale,3-1,Aldershot
Sat Oct 25 2008,Macclesfield,1-2,Rotherham United
