Round,Date,Team 1,FT,HT,Team 2
?,(Tue) 4 Aug 1998 (W32),Alloa Athletic (1),1-2,?,Forfar Athletic (1)
?,(Tue) 4 Aug 1998 (W32),Arbroath (1),0-2,?,East Fife (1)
?,(Tue) 4 Aug 1998 (W32),Clyde (1),2-0,?,Queen of the South (1)
?,(Tue) 4 Aug 1998 (W32),Livingston FC (1),1-1,?,Stirling Albion (1)
?,(Tue) 4 Aug 1998 (W32),Partick Thistle (1),0-1,?,Inverness Caledonian Thistle (1)
?,(Sat) 15 Aug 1998 (W33),East Fife (2),2-2,?,Alloa Athletic (2)
?,(Sat) 15 Aug 1998 (W33),Forfar Athletic (2),0-1,?,Partick Thistle (2)
?,(Sat) 15 Aug 1998 (W33),Inverness Caledonian Thistle (2),2-1,?,Livingston FC (2)
?,(Sat) 15 Aug 1998 (W33),Queen of the South (2),0-0,?,Arbroath (2)
?,(Sat) 15 Aug 1998 (W33),Stirling Albion (2),1-2,?,Clyde (2)
?,(Sat) 22 Aug 1998 (W34),Alloa Athletic (3),1-1,?,Inverness Caledonian Thistle (3)
?,(Sat) 22 Aug 1998 (W34),Arbroath (3),0-3,?,Stirling Albion (3)
?,(Sat) 22 Aug 1998 (W34),Clyde (3),0-0,?,East Fife (3)
?,(Sat) 22 Aug 1998 (W34),Livingston FC (3),1-1,?,Forfar Athletic (3)
?,(Sat) 22 Aug 1998 (W34),Partick Thistle (3),2-2,?,Queen of the South (3)
?,(Sat) 29 Aug 1998 (W35),Alloa Athletic (4),7-0,?,Stirling Albion (4)
?,(Sat) 29 Aug 1998 (W35),Arbroath (4),2-1,?,Forfar Athletic (4)
?,(Sat) 29 Aug 1998 (W35),Clyde (4),1-2,?,Partick Thistle (4)
?,(Sat) 29 Aug 1998 (W35),East Fife (4),1-5,?,Inverness Caledonian Thistle (4)
?,(Sat) 29 Aug 1998 (W35),Queen of the South (4),0-1,?,Livingston FC (4)
?,(Sat) 5 Sep 1998 (W36),Forfar Athletic (5),2-2,?,Clyde (5)
?,(Sat) 5 Sep 1998 (W36),Inverness Caledonian Thistle (5),2-1,?,Arbroath (5)
?,(Sat) 5 Sep 1998 (W36),Livingston FC (5),3-1,?,East Fife (5)
?,(Sat) 5 Sep 1998 (W36),Partick Thistle (5),1-0,?,Alloa Athletic (5)
?,(Sat) 5 Sep 1998 (W36),Stirling Albion (5),1-0,?,Queen of the South (5)
?,(Sat) 12 Sep 1998 (W37),Alloa Athletic (6),3-0,?,Clyde (6)
?,(Sat) 12 Sep 1998 (W37),Forfar Athletic (6),1-2,?,East Fife (6)
?,(Sat) 12 Sep 1998 (W37),Inverness Caledonian Thistle (6),3-2,?,Queen of the South (6)
?,(Sat) 12 Sep 1998 (W37),Livingston FC (6),2-1,?,Arbroath (6)
?,(Sat) 12 Sep 1998 (W37),Partick Thistle (6),1-0,?,Stirling Albion (6)
?,(Sat) 19 Sep 1998 (W38),Arbroath (7),0-2,?,Alloa Athletic (7)
?,(Sat) 19 Sep 1998 (W38),Clyde (7),1-1,?,Livingston FC (7)
?,(Sat) 19 Sep 1998 (W38),East Fife (7),1-3,?,Partick Thistle (7)
?,(Sat) 19 Sep 1998 (W38),Queen of the South (7),3-0,?,Forfar Athletic (7)
?,(Sat) 19 Sep 1998 (W38),Stirling Albion (7),0-1,?,Inverness Caledonian Thistle (7)
?,(Sat) 26 Sep 1998 (W39),Alloa Athletic (8),3-4,?,Livingston FC (8)
?,(Sat) 26 Sep 1998 (W39),Clyde (8),4-1,?,Inverness Caledonian Thistle (8)
?,(Sat) 26 Sep 1998 (W39),Forfar Athletic (8),1-2,?,Stirling Albion (8)
?,(Sat) 26 Sep 1998 (W39),Partick Thistle (8),2-0,?,Arbroath (8)
?,(Sun) 27 Sep 1998 (W39),East Fife (8),2-0,?,Queen of the South (8)
?,(Sat) 3 Oct 1998 (W40),Arbroath (9),0-0,?,Clyde (9)
?,(Sat) 3 Oct 1998 (W40),Inverness Caledonian Thistle (9),2-2,?,Forfar Athletic (9)
?,(Sat) 3 Oct 1998 (W40),Livingston FC (9),1-0,?,Partick Thistle (9)
?,(Sat) 3 Oct 1998 (W40),Queen of the South (9),2-1,?,Alloa Athletic (9)
?,(Sat) 3 Oct 1998 (W40),Stirling Albion (9),3-2,?,East Fife (9)
?,(Sat) 10 Oct 1998 (W41),Alloa Athletic (10),5-1,?,East Fife (10)
?,(Sat) 10 Oct 1998 (W41),Arbroath (10),2-1,?,Queen of the South (10)
?,(Sat) 10 Oct 1998 (W41),Clyde (10),2-1,?,Stirling Albion (10)
?,(Sat) 10 Oct 1998 (W41),Livingston FC (10),2-1,?,Inverness Caledonian Thistle (10)
?,(Sun) 11 Oct 1998 (W41),Partick Thistle (10),2-0,?,Forfar Athletic (10)
?,(Sat) 17 Oct 1998 (W42),East Fife (11),0-3,?,Arbroath (11)
?,(Sat) 17 Oct 1998 (W42),Forfar Athletic (11),1-2,?,Alloa Athletic (11)
?,(Sat) 17 Oct 1998 (W42),Inverness Caledonian Thistle (11),3-2,?,Partick Thistle (11)
?,(Sat) 17 Oct 1998 (W42),Queen of the South (11),2-1,?,Clyde (11)
?,(Sat) 17 Oct 1998 (W42),Stirling Albion (11),1-3,?,Livingston FC (11)
?,(Sat) 24 Oct 1998 (W43),Inverness Caledonian Thistle (12),4-2,?,East Fife (12)
?,(Sat) 24 Oct 1998 (W43),Livingston FC (12),2-0,?,Queen of the South (12)
?,(Sat) 24 Oct 1998 (W43),Partick Thistle (12),0-2,?,Clyde (12)
?,(Sat) 24 Oct 1998 (W43),Stirling Albion (12),4-2,?,Alloa Athletic (12)
?,(Mon) 26 Oct 1998 (W44),Forfar Athletic (12),1-3,?,Arbroath (12)
?,(Sat) 31 Oct 1998 (W44),Alloa Athletic (13),3-1,?,Partick Thistle (13)
?,(Sat) 31 Oct 1998 (W44),Arbroath (13),0-1,?,Inverness Caledonian Thistle (13)
?,(Sat) 31 Oct 1998 (W44),Clyde (13),3-1,?,Forfar Athletic (13)
?,(Sat) 31 Oct 1998 (W44),East Fife (13),2-3,?,Livingston FC (13)
?,(Sat) 31 Oct 1998 (W44),Queen of the South (13),2-3,?,Stirling Albion (13)
?,(Sat) 7 Nov 1998 (W45),Alloa Athletic (14),1-1,?,Arbroath (14)
?,(Sat) 7 Nov 1998 (W45),Forfar Athletic (14),1-0,?,Queen of the South (14)
