Date,Team 1,Team 2,FT,HT
1998-08-01,Celtic,Dunfermline,5-0,1-0
1998-08-01,Dundee,Aberdeen,0-2,0-2
1998-08-01,Kilmarnock,Dundee United,2-0,1-0
1998-08-01,Motherwell,St Johnstone,1-0,0-0
1998-08-02,Hearts,Rangers,2-1,2-1
1998-08-15,Dunfermline,Dundee,2-0,1-0
1998-08-15,Rangers,Motherwell,2-1,1-0
1998-08-15,St Johnstone,Kilmarnock,0-0,0-0
1998-08-16,Aberdeen,Celtic,3-2,1-0
1998-08-16,Dundee United,Hearts,0-0,0-0
1998-08-22,Celtic,Dundee United,2-1,0-1
1998-08-22,Hearts,Aberdeen,2-0,2-0
1998-08-22,Kilmarnock,Rangers,1-3,0-2
1998-08-22,Motherwell,Dunfermline,0-0,0-0
1998-08-23,Dundee,St Johnstone,0-1,0-0
1998-08-29,Dundee,Celtic,1-1,0-0
1998-08-29,Dunfermline,Aberdeen,1-1,0-0
1998-08-29,Rangers,St Johnstone,4-0,2-0
1998-08-30,Kilmarnock,Hearts,3-0,1-0
1998-08-30,Motherwell,Dundee United,1-0,1-0
1998-09-12,Aberdeen,Motherwell,1-1,1-1
1998-09-12,Celtic,Kilmarnock,1-1,1-0
1998-09-12,Dundee United,Rangers,0-0,0-0
1998-09-12,Hearts,Dundee,0-2,0-0
1998-09-12,St Johnstone,Dunfermline,1-1,1-0
1998-09-19,Dundee,Dundee United,2-2,0-0
1998-09-19,Motherwell,Kilmarnock,0-0,0-0
1998-09-19,St Johnstone,Aberdeen,2-0,1-0
1998-09-20,Dunfermline,Hearts,1-1,1-0
1998-09-20,Rangers,Celtic,0-0,0-0
1998-09-23,Aberdeen,Rangers,1-1,1-0
1998-09-23,Celtic,St Johnstone,0-1,0-1
1998-09-23,Dundee United,Dunfermline,1-1,1-1
1998-09-23,Hearts,Motherwell,3-0,0-0
1998-09-23,Kilmarnock,Dundee,2-1,1-1
1998-09-26,Celtic,Hearts,1-1,1-0
1998-09-26,Dundee,Motherwell,1-0,1-0
1998-09-26,Dunfermline,Rangers,0-2,0-1
1998-09-26,St Johnstone,Dundee United,1-3,0-2
1998-09-27,Aberdeen,Kilmarnock,0-1,0-1
1998-10-03,Kilmarnock,Dunfermline,0-0,0-0
1998-10-03,Motherwell,Celtic,1-2,0-2
