Date,Team 1,FT,Team 2
Sat Aug 25 1928,New Brighton,1-3,Barrow
Sat Aug 25 1928,Halifax Town,2-2,Crewe Alexandra
Sat Aug 25 1928,Stockport County,4-1,Tranmere Rovers
Sat Aug 25 1928,Accrington Stanley,2-3,Carlisle United
Sat Aug 25 1928,Darlington,2-2,South Shields
Sat Aug 25 1928,Southport,2-1,Ashington
Sat Aug 25 1928,Bradford City,11-1,Rotherham United
Sat Aug 25 1928,Rochdale,1-3,Doncaster Rovers
Sat Aug 25 1928,Hartlepool United,2-2,Nelson
Sat Aug 25 1928,Lincoln City,1-3,Wigan Borough
Sat Aug 25 1928,Wrexham,4-3,Chesterfield
Mon Aug 27 1928,Doncaster Rovers,4-2,Southport
Mon Aug 27 1928,Tranmere Rovers,1-1,Wrexham
Mon Aug 27 1928,Ashington,4-2,Darlington
Mon Aug 27 1928,Rotherham United,3-2,Lincoln City
Mon Aug 27 1928,Barrow,3-3,Rochdale
Wed Aug 29 1928,Wigan Borough,1-1,Halifax Town
Thu Aug 30 1928,Carlisle United,2-2,Bradford City
Sat Sep 1 1928,Doncaster Rovers,1-2,New Brighton
Sat Sep 1 1928,Tranmere Rovers,2-1,Halifax Town
Sat Sep 1 1928,Chesterfield,1-2,Stockport County
Sat Sep 1 1928,Nelson,2-1,Darlington
Sat Sep 1 1928,Ashington,2-1,Rochdale
Sat Sep 1 1928,South Shields,4-0,Southport
Sat Sep 1 1928,Wigan Borough,2-0,Bradford City
Sat Sep 1 1928,Crewe Alexandra,1-3,Lincoln City
Sat Sep 1 1928,Rotherham United,2-1,Accrington Stanley
Sat Sep 1 1928,Barrow,2-2,Wrexham
Sat Sep 1 1928,Carlisle United,8-0,Hartlepool United
Mon Sep 3 1928,Crewe Alexandra,2-0,Stockport County
Mon Sep 3 1928,Bradford City,4-2,Carlisle United
Mon Sep 3 1928,Lincoln City,1-1,Rotherham United
Tue Sep 4 1928,Rochdale,4-2,Barrow
Wed Sep 5 1928,Wrexham,3-1,Tranmere Rovers
Wed Sep 5 1928,Hartlepool United,2-0,Darlington
Sat Sep 8 1928,Accrington Stanley,2-0,Wigan Borough
Sat Sep 8 1928,New Brighton,3-2,Ashington
Sat Sep 8 1928,Hartlepool United,1-1,Rotherham United
Sat Sep 8 1928,Darlington,0-0,Carlisle United
Sat Sep 8 1928,Bradford City,4-1,Crewe Alexandra
Sat Sep 8 1928,Rochdale,1-2,South Shields
Sat Sep 8 1928,Halifax Town,1-1,Stockport County
Sat Sep 8 1928,Chesterfield,3-0,Barrow
Sat Sep 8 1928,Wrexham,4-2,Doncaster Rovers
Sat Sep 8 1928,Southport,5-1,Nelson
Sat Sep 8 1928,Lincoln City,3-1,Tranmere Rovers
Mon Sep 10 1928,Stockport County,4-0,Ashington
Mon Sep 10 1928,New Brighton,2-3,Chesterfield
Wed Sep 12 1928,Nelson,1-0,South Shields
Thu Sep 13 1928,Rotherham United,2-0,Chesterfield
Thu Sep 13 1928,Carlisle United,4-2,Southport
Sat Sep 15 1928,Darlington,3-1,Southport
Sat Sep 15 1928,Wigan Borough,2-0,Hartlepool United
Sat Sep 15 1928,Barrow,1-3,Halifax Town
Sat Sep 15 1928,South Shields,0-2,New Brighton
Sat Sep 15 1928,Stockport County,7-3,Lincoln City
Sat Sep 15 1928,Tranmere Rovers,1-0,Bradford City
Sat Sep 15 1928,Rotherham United,4-0,Carlisle United
Sat Sep 15 1928,Doncaster Rovers,2-0,Chesterfield
Sat Sep 15 1928,Ashington,2-2,Wrexham
Sat Sep 15 1928,Nelson,3-0,Rochdale
Sat Sep 15 1928,Crewe Alexandra,4-0,Accrington Stanley
Mon Sep 17 1928,Halifax Town,1-0,Wigan Borough
Wed Sep 19 1928,Darlington,4-0,Ashington
Sat Sep 22 1928,Rochdale,5-0,Darlington
Sat Sep 22 1928,Wrexham,1-0,South Shields
Sat Sep 22 1928,Lincoln City,3-0,Halifax Town
Sat Sep 22 1928,Southport,2-0,Rotherham United
Sat Sep 22 1928,Carlisle United,2-1,Wigan Borough
Sat Sep 22 1928,Chesterfield,4-1,Ashington
Sat Sep 22 1928,New Brighton,0-1,Nelson
Sat Sep 22 1928,Barrow,2-2,Doncaster Rovers
Sat Sep 22 1928,Hartlepool United,2-1,Crewe Alexandra
Sat Sep 22 1928,Bradford City,2-1,Stockport County
Sat Sep 22 1928,Accrington Stanley,2-0,Tranmere Rovers
Tue Sep 25 1928,Nelson,3-4,Lincoln City
Tue Sep 25 1928,Accrington Stanley,2-2,Hartlepool United
Sat Sep 29 1928,Halifax Town,1-1,Bradford City
Sat Sep 29 1928,Wigan Borough,1-0,Rotherham United
Sat Sep 29 1928,South Shields,6-3,Chesterfield
Sat Sep 29 1928,Southport,1-1,Rochdale
Sat Sep 29 1928,Crewe Alexandra,1-1,Carlisle United
Sat Sep 29 1928,Doncaster Rovers,0-0,Lincoln City
Sat Sep 29 1928,Tranmere Rovers,3-0,Hartlepool United
Sat Sep 29 1928,Nelson,1-3,Wrexham
Sat Sep 29 1928,Ashington,1-0,Barrow
Sat Sep 29 1928,Darlington,3-1,New Brighton
Sat Sep 29 1928,Stockport County,6-1,Accrington Stanley
Tue Oct 2 1928,Nelson,2-4,Doncaster Rovers
Sat Oct 6 1928,Chesterfield,3-2,Nelson
Sat Oct 6 1928,Accrington Stanley,1-1,Halifax Town
Sat Oct 6 1928,Rochdale,0-0,Wigan Borough
Sat Oct 6 1928,Rotherham United,1-2,Crewe Alexandra
Sat Oct 6 1928,Barrow,1-1,South Shields
Sat Oct 6 1928,Hartlepool United,1-1,Stockport County
Sat Oct 6 1928,Wrexham,4-3,Darlington
Sat Oct 6 1928,Carlisle United,4-1,Tranmere Rovers
Sat Oct 6 1928,Doncaster Rovers,2-1,Ashington
Sat Oct 6 1928,New Brighton,3-1,Southport
Sat Oct 6 1928,Bradford City,2-3,Lincoln City
Sat Oct 13 1928,Stockport County,2-2,Carlisle United
Sat Oct 13 1928,Halifax Town,2-0,Hartlepool United
Sat Oct 13 1928,Rochdale,4-2,New Brighton
Sat Oct 13 1928,Crewe Alexandra,0-4,Wigan Borough
Sat Oct 13 1928,Darlington,2-2,Chesterfield
Sat Oct 13 1928,Tranmere Rovers,3-0,Rotherham United
Sat Oct 13 1928,Southport,1-3,Wrexham
Sat Oct 13 1928,Nelson,3-4,Barrow
Sat Oct 13 1928,Ashington,2-8,Bradford City
Sat Oct 13 1928,South Shields,1-0,Doncaster Rovers
Sat Oct 13 1928,Lincoln City,3-1,Accrington Stanley
Sat Oct 20 1928,Halifax Town,1-1,Chesterfield
Sat Oct 20 1928,Wigan Borough,1-0,Southport
