Date,Team 1,Team 2,FT,HT
2012-08-04,Celtic,Aberdeen,1-0,0-0
2012-08-04,Hearts,St Johnstone,2-0,1-0
2012-08-04,Kilmarnock,Dundee,0-0,0-0
2012-08-04,Ross County,Motherwell,0-0,0-0
2012-08-04,St Mirren,Inverness C,2-2,1-0
2012-08-05,Dundee United,Hibernian,3-0,1-0
2012-08-11,Aberdeen,Ross County,0-0,0-0
2012-08-11,Dundee,St Mirren,0-2,0-1
2012-08-11,Inverness C,Kilmarnock,1-1,1-1
2012-08-11,Motherwell,St Johnstone,1-1,0-0
2012-08-12,Hibernian,Hearts,1-1,1-1
2012-08-18,Hearts,Inverness C,2-2,2-0
2012-08-18,Kilmarnock,Motherwell,1-2,1-2
2012-08-18,Ross County,Celtic,1-1,0-0
2012-08-18,St Johnstone,Aberdeen,1-2,0-1
2012-08-18,St Mirren,Hibernian,1-2,0-1
2012-08-19,Dundee United,Dundee,3-0,3-0
2012-08-25,Dundee,Ross County,0-1,0-0
2012-08-25,Hibernian,St Johnstone,2-0,1-0
2012-08-25,Inverness C,Celtic,2-4,0-2
2012-08-25,Kilmarnock,Dundee United,3-1,0-0
2012-08-26,Aberdeen,Hearts,0-0,0-0
2012-08-26,Motherwell,St Mirren,1-1,1-0
2012-09-01,Aberdeen,St Mirren,0-0,0-0
2012-09-01,Celtic,Hibernian,2-2,1-0
2012-09-01,Ross County,Kilmarnock,0-0,0-0
2012-09-01,St Johnstone,Dundee United,0-0,0-0
2012-09-02,Hearts,Dundee,0-1,0-1
2012-09-02,Motherwell,Inverness C,4-1,2-1
2012-09-14,Dundee United,Ross County,0-0,0-0
2012-09-15,Dundee,Motherwell,1-2,1-0
2012-09-15,Hibernian,Kilmarnock,2-1,2-1
2012-09-15,Inverness C,Aberdeen,1-1,0-0
2012-09-15,St Johnstone,Celtic,2-1,1-1
2012-09-15,St Mirren,Hearts,2-0,1-0
2012-09-22,Celtic,Dundee,2-0,1-0
2012-09-22,Dundee United,Hearts,0-3,0-2
2012-09-22,Hibernian,Inverness C,2-2,2-1
2012-09-22,Kilmarnock,St Mirren,3-1,1-0
2012-09-22,Ross County,St Johnstone,1-2,0-1
2012-09-23,Aberdeen,Motherwell,3-3,1-1
2012-09-29,Aberdeen,Hibernian,2-1,1-1
2012-09-29,Dundee,St Johnstone,1-3,1-2
2012-09-29,Hearts,Kilmarnock,1-3,0-1
2012-09-29,Inverness C,Dundee United,4-0,2-0
2012-09-29,Motherwell,Celtic,0-2,0-2
2012-09-29,St Mirren,Ross County,5-4,1-2
2012-10-05,Inverness C,Ross County,3-1,2-0
2012-10-06,Hibernian,Dundee,3-0,1-0
2012-10-06,Kilmarnock,Aberdeen,1-3,1-0
2012-10-06,St Johnstone,St Mirren,2-1,2-0
2012-10-07,Celtic,Hearts,1-0,1-0
2012-10-19,Dundee,Inverness C,1-4,1-2
2012-10-20,Dundee United,Aberdeen,1-1,1-0
2012-10-20,Ross County,Hibernian,3-2,2-2
2012-10-20,St Johnstone,Kilmarnock,2-1,1-0
2012-10-20,St Mirren,Celtic,0-5,0-4
2012-10-21,Hearts,Motherwell,1-0,1-0
2012-10-26,Motherwell,Hibernian,0-4,0-1
2012-10-27,Aberdeen,Dundee,2-0,1-0
2012-10-27,Celtic,Kilmarnock,0-2,0-1
2012-10-27,Hearts,Ross County,2-2,1-0
2012-10-27,Inverness C,St Johnstone,1-1,0-0
2012-10-27,St Mirren,Dundee United,0-1,0-0
2012-11-03,Dundee,Hearts,1-0,1-0
2012-11-03,Hibernian,St Mirren,2-1,1-1
2012-11-03,Kilmarnock,Inverness C,1-2,0-1
2012-11-03,Ross County,Aberdeen,2-1,1-0
2012-11-03,St Johnstone,Motherwell,1-3,0-2
2012-11-04,Dundee United,Celtic,2-2,0-0
2012-11-07,Motherwell,Dundee United,0-1,0-0
2012-11-10,Inverness C,Hearts,1-1,1-0
