Date,Team 1,FT,Team 2
Sat Aug 29 1936,Newport County,1-3,Watford
Sat Aug 29 1936,Swindon Town,2-0,Northampton Town
Sat Aug 29 1936,Bristol City,3-2,Queens Park Rangers
Sat Aug 29 1936,Gillingham,1-0,Brighton & Hove Albion
Sat Aug 29 1936,Torquay United,2-2,Reading
Sat Aug 29 1936,Aldershot,1-3,AFC Bournemouth
Sat Aug 29 1936,Millwall,1-2,Bristol Rovers
Sat Aug 29 1936,Leyton Orient,1-1,Crystal Palace
Sat Aug 29 1936,Luton Town,1-0,Southend United
Sat Aug 29 1936,Walsall,1-0,Cardiff City
Sat Aug 29 1936,Notts County,3-1,Exeter City
Mon Aug 31 1936,Cardiff City,2-1,Leyton Orient
Mon Aug 31 1936,Millwall,2-0,Queens Park Rangers
Mon Aug 31 1936,Northampton Town,5-3,Aldershot
Mon Aug 31 1936,Walsall,0-1,Luton Town
Wed Sep 2 1936,Southend United,1-1,Watford
Wed Sep 2 1936,AFC Bournemouth,1-0,Gillingham
Wed Sep 2 1936,Reading,2-1,Bristol City
Wed Sep 2 1936,Brighton & Hove Albion,2-0,Newport County
Wed Sep 2 1936,Crystal Palace,1-2,Notts County
Wed Sep 2 1936,Bristol Rovers,2-1,Swindon Town
Wed Sep 2 1936,Exeter City,2-1,Torquay United
Sat Sep 5 1936,Cardiff City,3-0,Luton Town
Sat Sep 5 1936,Queens Park Rangers,3-0,Torquay United
Sat Sep 5 1936,AFC Bournemouth,5-2,Swindon Town
Sat Sep 5 1936,Northampton Town,2-2,Millwall
Sat Sep 5 1936,Crystal Palace,3-1,Walsall
Sat Sep 5 1936,Bristol Rovers,3-1,Bristol City
Sat Sep 5 1936,Brighton & Hove Albion,1-0,Aldershot
Sat Sep 5 1936,Southend United,9-2,Newport County
Sat Sep 5 1936,Exeter City,0-2,Leyton Orient
Sat Sep 5 1936,Reading,4-1,Notts County
Sat Sep 5 1936,Watford,6-1,Gillingham
Mon Sep 7 1936,Luton Town,2-0,Walsall
Mon Sep 7 1936,Notts County,0-1,Crystal Palace
Wed Sep 9 1936,Gillingham,1-0,AFC Bournemouth
Wed Sep 9 1936,Aldershot,0-2,Northampton Town
Wed Sep 9 1936,Torquay United,0-1,Exeter City
Wed Sep 9 1936,Watford,1-3,Southend United
Thu Sep 10 1936,Newport County,1-4,Brighton & Hove Albion
Thu Sep 10 1936,Leyton Orient,0-1,Cardiff City
Sat Sep 12 1936,Newport County,2-3,Cardiff City
Sat Sep 12 1936,Aldershot,2-2,Watford
Sat Sep 12 1936,Luton Town,5-2,Crystal Palace
Sat Sep 12 1936,Torquay United,5-2,Bristol City
Sat Sep 12 1936,Bristol Rovers,2-0,Northampton Town
Sat Sep 12 1936,Leyton Orient,3-2,Reading
Sat Sep 12 1936,Notts County,1-2,Queens Park Rangers
Sat Sep 12 1936,Walsall,4-2,Exeter City
Sat Sep 12 1936,Gillingham,1-0,Southend United
Sat Sep 12 1936,Millwall,0-2,AFC Bournemouth
Sat Sep 12 1936,Swindon Town,1-2,Brighton & Hove Albion
Mon Sep 14 1936,Cardiff City,3-1,Bristol City
Wed Sep 16 1936,Swindon Town,5-1,Aldershot
Wed Sep 16 1936,Torquay United,2-2,Luton Town
Wed Sep 16 1936,Bristol Rovers,1-1,Newport County
Wed Sep 16 1936,Southend United,2-0,Northampton Town
Wed Sep 16 1936,Reading,1-0,Exeter City
Thu Sep 17 1936,Leyton Orient,2-0,Brighton & Hove Albion
Thu Sep 17 1936,Queens Park Rangers,0-1,Millwall
Sat Sep 19 1936,Queens Park Rangers,2-1,Leyton Orient
Sat Sep 19 1936,Exeter City,2-4,Luton Town
Sat Sep 19 1936,Brighton & Hove Albion,2-2,Millwall
Sat Sep 19 1936,Reading,0-2,Walsall
Sat Sep 19 1936,Northampton Town,3-0,Torquay United
Sat Sep 19 1936,Newport County,0-0,Gillingham
Sat Sep 19 1936,Southend United,2-2,Aldershot
Sat Sep 19 1936,Bristol City,1-1,Notts County
Sat Sep 19 1936,Watford,2-2,Swindon Town
Sat Sep 19 1936,AFC Bournemouth,3-0,Bristol Rovers
Sat Sep 19 1936,Crystal Palace,2-2,Cardiff City
Mon Sep 21 1936,Millwall,3-0,Gillingham
Wed Sep 23 1936,Bristol City,1-2,Reading
Wed Sep 23 1936,Swindon Town,4-1,Bristol Rovers
Wed Sep 23 1936,Watford,4-0,AFC Bournemouth
Wed Sep 23 1936,Crystal Palace,0-0,Queens Park Rangers
Sat Sep 26 1936,Swindon Town,4-0,Southend United
Sat Sep 26 1936,Leyton Orient,0-0,Bristol City
Sat Sep 26 1936,Bristol Rovers,2-0,Brighton & Hove Albion
Sat Sep 26 1936,Notts County,2-0,Torquay United
Sat Sep 26 1936,Millwall,2-1,Watford
Sat Sep 26 1936,Gillingham,2-0,Crystal Palace
Sat Sep 26 1936,Aldershot,2-0,Newport County
Sat Sep 26 1936,Northampton Town,0-0,AFC Bournemouth
Sat Sep 26 1936,Cardiff City,3-1,Exeter City
Sat Sep 26 1936,Luton Town,4-0,Reading
Sat Sep 26 1936,Walsall,2-4,Queens Park Rangers
Mon Sep 28 1936,Cardiff City,1-1,Southend United
Thu Oct 1 1936,Notts County,3-3,Walsall
Sat Oct 3 1936,Torquay United,4-1,Leyton Orient
Sat Oct 3 1936,Brighton & Hove Albion,1-2,Northampton Town
Sat Oct 3 1936,Newport County,1-1,Swindon Town
Sat Oct 3 1936,Queens Park Rangers,2-1,Luton Town
Sat Oct 3 1936,Watford,3-0,Bristol Rovers
Sat Oct 3 1936,Reading,3-0,Cardiff City
Sat Oct 3 1936,Southend United,0-0,Millwall
Sat Oct 3 1936,Bristol City,0-0,Walsall
Sat Oct 3 1936,Gillingham,1-2,Aldershot
Sat Oct 3 1936,Exeter City,3-2,Crystal Palace
Sat Oct 3 1936,AFC Bournemouth,1-0,Notts County
Sat Oct 10 1936,Crystal Palace,3-1,Reading
Sat Oct 10 1936,Cardiff City,2-0,Queens Park Rangers
Sat Oct 10 1936,Swindon Town,3-0,Gillingham
Sat Oct 10 1936,Bristol Rovers,1-2,Southend United
Sat Oct 10 1936,AFC Bournemouth,1-0,Brighton & Hove Albion
Sat Oct 10 1936,Walsall,1-0,Torquay United
Sat Oct 10 1936,Leyton Orient,1-1,Notts County
Sat Oct 10 1936,Northampton Town,0-1,Watford
Sat Oct 10 1936,Aldershot,1-1,Exeter City
