Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 13 Aug 1994 (32),Aberdeen FC (1),3-1,?,Heart of Midlothian FC (1)
?,(Sat) 13 Aug 1994 (32),Falkirk (1),1-1,?,Celtic FC (1)
?,(Sat) 13 Aug 1994 (32),Hibernian FC (1),5-0,?,Dundee United (1)
?,(Sat) 13 Aug 1994 (32),Partick Thistle (1),2-0,?,Kilmarnock FC (1)
?,(Sat) 13 Aug 1994 (32),Rangers FC (1),2-1,?,Motherwell FC (1)
?,(Sat) 20 Aug 1994 (33),Aberdeen FC (2),2-2,?,Falkirk (2)
?,(Sat) 20 Aug 1994 (33),Celtic FC (2),2-1,?,Dundee United (2)
?,(Sat) 20 Aug 1994 (33),Hibernian FC (2),0-0,?,Kilmarnock FC (2)
?,(Sat) 20 Aug 1994 (33),Motherwell FC (2),1-1,?,Heart of Midlothian FC (2)
?,(Sat) 20 Aug 1994 (33),Partick Thistle (2),0-2,?,Rangers FC (2)
?,(Sun) 28 Aug 1994 (34),Dundee United (3),2-1,?,Aberdeen FC (3)
?,(Sun) 28 Aug 1994 (34),Falkirk (3),2-1,?,Partick Thistle (3)
?,(Sun) 28 Aug 1994 (34),Heart of Midlothian FC (3),0-1,?,Hibernian FC (3)
?,(Sun) 28 Aug 1994 (34),Kilmarnock FC (3),0-1,?,Motherwell FC (3)
?,(Sun) 28 Aug 1994 (34),Rangers FC (3),0-2,?,Celtic FC (3)
?,(Sat) 10 Sep 1994 (36),Dundee United (4),1-1,?,Motherwell FC (4)
?,(Sat) 10 Sep 1994 (36),Hibernian FC (4),2-2,?,Aberdeen FC (4)
?,(Sat) 10 Sep 1994 (36),Kilmarnock FC (4),1-1,?,Falkirk (4)
?,(Sat) 10 Sep 1994 (36),Partick Thistle (4),1-2,?,Celtic FC (4)
?,(Sun) 11 Sep 1994 (36),Rangers FC (4),3-0,?,Heart of Midlothian FC (4)
?,(Sat) 17 Sep 1994 (37),Aberdeen FC (5),1-1,?,Partick Thistle (5)
?,(Sat) 17 Sep 1994 (37),Celtic FC (5),1-1,?,Kilmarnock FC (5)
?,(Sat) 17 Sep 1994 (37),Falkirk (5),0-2,?,Rangers FC (5)
?,(Sat) 17 Sep 1994 (37),Heart of Midlothian FC (5),2-1,?,Dundee United (5)
?,(Sat) 17 Sep 1994 (37),Motherwell FC (5),1-1,?,Hibernian FC (5)
?,(Sat) 24 Sep 1994 (38),Aberdeen FC (6),2-2,?,Rangers FC (6)
?,(Sat) 24 Sep 1994 (38),Celtic FC (6),2-0,?,Hibernian FC (6)
?,(Sat) 24 Sep 1994 (38),Dundee United (6),1-0,?,Falkirk (6)
?,(Sat) 24 Sep 1994 (38),Heart of Midlothian FC (6),3-0,?,Kilmarnock FC (6)
?,(Sat) 24 Sep 1994 (38),Partick Thistle (6),2-2,?,Motherwell FC (6)
?,(Sat) 1 Oct 1994 (39),Falkirk (7),2-1,?,Heart of Midlothian FC (7)
?,(Sat) 1 Oct 1994 (39),Hibernian FC (7),3-0,?,Partick Thistle (7)
?,(Sat) 1 Oct 1994 (39),Kilmarnock FC (7),2-1,?,Aberdeen FC (7)
?,(Sat) 1 Oct 1994 (39),Motherwell FC (7),1-1,?,Celtic FC (7)
?,(Sat) 1 Oct 1994 (39),Rangers FC (7),2-0,?,Dundee United (7)
?,(Sat) 8 Oct 1994 (40),Celtic FC (8),0-0,?,Aberdeen FC (8)
?,(Sat) 8 Oct 1994 (40),Hibernian FC (8),2-1,?,Rangers FC (8)
?,(Sat) 8 Oct 1994 (40),Kilmarnock FC (8),0-2,?,Dundee United (8)
?,(Sat) 8 Oct 1994 (40),Motherwell FC (8),5-3,?,Falkirk (8)
?,(Sat) 8 Oct 1994 (40),Partick Thistle (8),0-1,?,Heart of Midlothian FC (8)
?,(Sat) 15 Oct 1994 (41),Aberdeen FC (9),1-3,?,Motherwell FC (9)
?,(Sat) 15 Oct 1994 (41),Dundee United (9),0-1,?,Partick Thistle (9)
?,(Sat) 15 Oct 1994 (41),Falkirk (9),0-0,?,Hibernian FC (9)
?,(Sat) 15 Oct 1994 (41),Heart of Midlothian FC (9),1-0,?,Celtic FC (9)
?,(Sat) 15 Oct 1994 (41),Rangers FC (9),2-0,?,Kilmarnock FC (9)
?,(Sat) 22 Oct 1994 (42),Celtic FC (10),0-2,?,Falkirk (10)
?,(Sat) 22 Oct 1994 (42),Dundee United (10),0-0,?,Hibernian FC (10)
?,(Sat) 22 Oct 1994 (42),Heart of Midlothian FC (10),2-0,?,Aberdeen FC (10)
?,(Sat) 22 Oct 1994 (42),Kilmarnock FC (10),2-0,?,Partick Thistle (10)
?,(Sat) 22 Oct 1994 (42),Motherwell FC (10),2-1,?,Rangers FC (10)
?,(Sat) 29 Oct 1994 (43),Aberdeen FC (11),3-0,?,Dundee United (11)
?,(Sat) 29 Oct 1994 (43),Hibernian FC (11),2-1,?,Heart of Midlothian FC (11)
?,(Sat) 29 Oct 1994 (43),Motherwell FC (11),3-2,?,Kilmarnock FC (11)
